,Origin,Predict
0,0.0,12.141649
1,169.0,387.1472
2,0.0,150.67963
3,31.0,32.387802
4,64.0,103.092514
5,70.0,199.66615
6,43.0,77.40273
7,20.0,78.47917
8,0.0,32.406597
9,0.0,8.976249
10,0.0,156.50612
11,32.0,15.361932
12,145.0,24.247744
13,183.0,138.29437
14,0.0,51.961018
15,302.0,395.84296
16,116.0,54.610947
17,231.0,241.71019
18,322.0,106.01725
19,300.0,305.12314
20,129.0,170.58339
21,90.0,123.6516
22,6.0,20.656536
23,39.0,77.680565
24,0.0,13.262547
25,43.0,40.414837
26,199.0,152.85796
27,186.0,107.25343
28,250.0,224.97902
29,0.0,2.1183217
30,78.0,187.25076
31,84.0,45.81961
32,95.0,159.83124
33,94.0,120.88433
34,32.0,72.272804
35,0.0,128.89986
36,68.0,45.236507
37,93.0,124.35756
38,0.0,15.584164
39,154.0,125.07312
40,61.0,129.04445
41,36.0,1.2401745
42,359.0,280.45374
43,115.0,128.59816
44,0.0,12.666516
45,152.0,160.35007
46,201.0,244.42952
47,0.0,181.00874
48,0.0,28.298786
49,162.0,112.2425
50,48.0,12.248777
51,245.0,245.28
52,178.0,179.30733
53,163.0,75.84946
54,0.0,4.945729
55,162.0,56.684574
56,212.0,140.95824
57,74.0,18.807865
58,27.0,3.0802763
59,102.0,84.55951
60,49.0,199.2563
61,71.0,0.81315863
62,0.0,22.071959
63,121.0,78.18968
64,144.0,61.45752
65,92.0,132.73357
66,0.0,1.9102495
67,157.0,262.9416
68,168.0,136.33766
69,0.0,8.3915415
70,202.0,312.36832
71,149.0,135.7218
72,200.0,263.01184
73,101.0,83.58821
74,133.0,92.848145
75,167.0,160.20625
76,20.0,25.53511
77,339.0,209.8086
78,0.0,5.836725
79,80.0,69.44288
80,96.0,9.167813
81,253.0,229.42938
82,74.0,115.86652
83,0.0,23.051031
84,153.0,205.14714
85,30.0,78.65153
86,280.0,148.06303
87,64.0,53.727676
88,127.0,119.9193
89,132.0,220.41043
90,188.0,192.22601
91,0.0,4.1907887
92,41.0,111.38914
93,165.0,111.89579
94,271.0,476.65634
95,110.0,77.376175
96,108.0,106.91251
97,70.0,102.96823
98,355.0,269.48322
99,0.0,24.183725
100,0.0,25.42245
101,234.0,177.36844
102,279.0,209.15073
103,186.0,347.17593
104,0.0,7.862881
105,38.0,32.445942
106,5.0,54.14234
107,204.0,149.86018
108,72.0,101.54034
109,70.0,118.564156
110,251.0,175.18321
111,73.0,75.10462
112,60.0,79.75499
113,205.0,164.19032
114,158.0,245.75208
115,0.0,48.420998
116,81.0,176.87631
117,116.0,49.506645
118,0.0,1.03501
119,75.0,132.69481
120,194.0,131.96121
121,380.0,166.19595
122,161.0,94.53404
123,189.0,213.71149
124,66.0,37.449463
125,268.0,140.60948
126,145.0,76.74521
127,194.0,145.92244
128,32.0,29.137957
129,18.0,56.982918
130,427.0,63.901436
131,333.0,355.25754
132,255.0,136.57503
133,243.0,332.705
134,261.0,241.351
135,137.0,147.42413
136,475.0,393.5151
137,92.0,89.679115
138,0.0,11.372763
139,276.0,158.45134
140,0.0,11.276724
141,138.0,66.36785
142,0.0,17.11091
143,104.0,149.87898
144,172.0,93.758446
145,126.0,83.25518
146,188.0,188.48897
147,320.0,201.7685
148,197.0,237.0616
149,21.0,33.320316
150,22.0,34.77494
151,0.0,12.933558
152,269.0,93.30539
153,202.0,105.41762
154,0.0,247.93501
155,115.0,82.46933
156,22.0,21.040798
157,147.0,189.81667
158,210.0,287.8064
159,129.0,56.022823
160,396.0,242.64413
161,0.0,77.968506
162,106.0,141.4885
163,56.0,51.906746
164,0.0,4.044031
165,320.0,236.9556
166,152.0,147.91908
167,307.0,262.6761
168,32.0,68.97156
169,36.0,25.733217
170,72.0,87.29786
171,0.0,4.706698
172,114.0,118.04505
173,0.0,15.836418
174,44.0,63.102737
175,183.0,202.68217
176,306.0,117.192825
177,44.0,238.57317
178,215.0,231.25018
179,42.0,20.192863
180,188.0,181.74461
181,0.0,12.95044
182,52.0,24.511314
183,0.0,4.950642
184,0.0,10.227239
185,69.0,135.77907
186,170.0,178.6832
187,150.0,297.9769
188,244.0,144.03867
189,144.0,129.3166
190,177.0,131.58984
191,0.0,26.842615
192,0.0,11.629763
193,159.0,104.63721
194,70.0,3.4097261
195,355.0,368.39722
196,106.0,70.594734
197,0.0,81.59739
198,78.0,83.26098
199,60.0,59.4835
200,20.0,123.2942
201,21.0,94.00533
202,0.0,4.21795
203,48.0,34.223904
204,145.0,73.85196
205,0.0,9.023087
206,123.0,37.275948
207,0.0,8.061582
208,166.0,83.120316
209,139.0,308.86322
210,0.0,145.8196
211,0.0,83.84705
212,189.0,122.94569
213,18.0,37.710896
214,80.0,105.31831
215,0.0,11.343559
216,168.0,195.14308
217,204.0,209.62209
218,222.0,73.04979
219,0.0,77.10733
220,162.0,203.00882
221,0.0,29.994854
222,12.0,45.46788
223,215.0,261.2144
224,168.0,104.6346
225,73.0,64.34752
226,0.0,90.719246
227,227.0,234.15533
228,171.0,270.4816
229,76.0,65.97384
230,47.0,68.60877
231,273.0,172.73813
232,208.0,223.62988
233,0.0,9.971904
234,140.0,130.9641
235,25.0,35.95606
236,133.0,103.576
237,0.0,13.017244
238,58.0,251.6724
239,99.0,100.87122
240,107.0,118.81656
241,239.0,398.0371
242,55.0,38.839268
243,244.0,148.9202
244,165.0,259.71506
245,144.0,132.86537
246,52.0,195.10075
247,58.0,114.81585
248,0.0,6.155766
249,40.0,2.8068302
250,104.0,63.24101
251,150.0,182.15869
252,0.0,63.11921
253,32.0,71.018295
254,0.0,25.332071
255,93.0,42.276382
256,0.0,35.365818
257,0.0,20.915083
258,101.0,160.8567
259,127.0,98.182434
260,149.0,162.1371
261,0.0,1.9033041
262,167.0,198.6593
263,97.0,131.93172
264,318.0,95.15417
265,18.0,27.591253
266,0.0,49.688587
