,Origin,Predict
0,0.0,5.1536236
1,7.0,5.1319003
2,0.0,3.6681926
3,15.0,8.007575
4,0.0,7.766814
5,0.0,0.4574571
6,10.0,8.719031
7,10.0,4.84162
8,0.0,1.2858021
9,0.0,0.22254603
10,0.0,4.541258
11,15.0,8.272257
12,0.0,0.7113615
13,0.0,5.063895
14,10.0,4.1287646
15,5.0,4.3057795
16,5.0,4.8016148
17,0.0,5.139254
18,13.0,7.6586194
19,0.0,1.3743874
20,0.0,2.880475
21,8.0,6.2377195
22,5.0,5.9223423
23,0.0,4.0155063
24,10.0,3.846094
25,5.0,7.437443
26,0.0,4.3192964
27,9.0,3.33859
28,0.0,2.1902983
29,5.0,4.822086
