,Origin,Predict
0,122.5,114.549644
1,89.0,117.358055
2,122.3,97.791145
3,0.0,20.974207
4,129.8,123.604774
5,106.1,108.17421
6,73.1,89.29322
7,113.2,112.12372
8,151.5,134.36598
9,104.9,108.02656
10,0.0,6.850325
11,140.8,125.88328
12,130.9,134.98381
13,109.1,104.261246
14,93.5,90.41701
15,101.2,111.686226
16,107.2,109.09278
17,0.0,0.6453031
18,87.9,85.07574
19,100.1,117.38294
20,102.4,98.59874
21,88.5,94.264
22,126.8,122.987625
23,115.1,136.21144
24,0.0,4.0501943
25,0.0,30.814981
26,97.8,71.39511
27,101.1,117.09855
28,124.6,135.95427
29,143.5,121.93433
