,Origin,Predict
0,0.0,128.02187
1,0.0,4.182329
2,607.0,500.8058
3,1070.0,1445.0491
4,1356.0,1083.4535
5,1439.0,351.56284
6,3200.0,3645.0076
7,1516.0,1142.3647
8,657.0,557.4793
9,961.0,1068.8872
10,351.0,532.6612
11,1450.0,221.04742
12,1088.0,1038.1895
13,264.0,188.67685
14,834.0,1171.0908
15,1217.0,1496.9803
16,1273.0,352.76172
17,730.0,734.4413
18,1245.0,1430.3651
19,2324.0,2330.8003
20,0.0,61.963722
21,0.0,76.91988
22,1376.0,2225.9854
23,1463.0,1496.3795
24,628.0,525.9825
25,449.0,465.5129
26,1540.0,1204.6799
27,983.0,2079.6318
28,378.0,726.7965
29,0.0,820.58264
30,1442.0,1323.0734
31,1225.0,1763.8368
32,317.0,507.92346
33,1883.0,1864.8916
34,1303.0,1800.8439
35,1317.0,1178.5164
36,1081.0,1209.1349
37,1732.0,831.34357
38,1028.0,892.78284
39,1190.0,845.9614
40,731.0,596.0448
41,294.0,437.1438
42,575.0,423.6675
43,3024.0,2925.952
44,0.0,144.47757
45,476.0,347.53644
46,1487.0,1283.7825
47,1296.0,511.411
48,469.0,270.07654
49,1480.0,1418.7229
50,423.0,292.59213
51,980.0,1332.2827
52,1203.0,564.878
53,802.0,601.518
54,661.0,275.18857
55,1138.0,1232.9113
56,875.0,1070.0708
57,1954.0,1504.9609
58,1332.0,1457.3776
59,2984.0,1337.5477
60,835.0,665.0042
61,1079.0,1009.2886
62,355.0,427.75394
63,228.0,374.6974
64,917.0,885.52716
65,1193.0,1128.1082
66,0.0,9.994376
67,1273.0,1401.1306
68,730.0,61.575092
69,3048.0,2360.4453
70,842.0,747.60474
71,206.0,342.03427
72,271.0,394.4518
73,0.0,37.24439
74,1293.0,1449.3854
75,221.0,298.8039
76,516.0,581.6219
77,907.0,1168.0347
78,1256.0,1613.6201
79,780.0,1148.9594
80,593.0,629.73206
81,1348.0,1303.8837
82,949.0,1335.7893
83,0.0,390.09494
84,1172.0,725.04785
85,0.0,162.51227
86,747.0,475.09564
87,208.0,426.7415
88,0.0,163.07668
89,0.0,63.479965
90,1309.0,1105.1338
91,415.0,411.6924
92,0.0,21.19055
93,829.0,846.90643
94,570.0,479.4442
95,2421.0,527.7837
96,742.0,743.38513
97,0.0,165.19795
98,1362.0,64.10864
99,1827.0,1866.1593
100,1928.0,1983.3398
101,495.0,619.54156
102,1034.0,1064.3439
103,227.0,918.303
104,0.0,175.16858
105,0.0,1013.3211
106,911.0,1211.0748
107,365.0,286.7239
108,654.0,407.56207
109,1552.0,1144.7853
110,820.0,1275.396
111,708.0,764.3018
112,482.0,587.9364
113,307.0,250.19724
114,1355.0,1755.8661
115,1346.0,457.75842
116,924.0,643.838
117,404.0,936.0384
118,1777.0,1786.1599
119,0.0,116.84922
120,1412.0,888.5793
121,1759.0,1395.2916
122,892.0,782.70135
123,1517.0,1991.1023
124,319.0,422.9947
125,857.0,714.15247
126,704.0,712.65027
127,522.0,424.7775
128,0.0,47.006138
129,1191.0,1695.8933
130,749.0,601.3347
131,1341.0,1122.0754
132,0.0,132.26526
133,653.0,563.9113
134,896.0,123.37785
135,1577.0,1585.8163
136,521.0,137.32092
137,436.0,490.47543
138,606.0,255.95876
139,960.0,456.21082
140,0.0,21.063103
141,859.0,723.726
142,1204.0,1292.6132
143,697.0,290.2183
144,426.0,507.42767
145,1311.0,1158.0522
146,941.0,461.7452
147,857.0,613.4214
148,830.0,889.3945
149,1447.0,1726.7562
150,986.0,1180.4221
151,849.0,794.60736
152,1059.0,126.29636
153,139.0,208.87898
154,1659.0,1669.2085
155,940.0,748.6249
156,0.0,56.966297
157,1761.0,2223.7773
158,1213.0,1081.0024
159,2009.0,1944.1062
160,501.0,908.8866
161,2854.0,2093.4333
162,691.0,162.09698
163,681.0,385.84952
164,1840.0,1199.3722
165,893.0,1295.1906
166,573.0,405.67953
167,1455.0,1211.2894
168,1698.0,1600.6156
169,867.0,889.95685
170,868.0,924.85095
171,789.0,669.5782
172,779.0,691.42957
173,701.0,270.2366
174,764.0,225.94809
175,0.0,290.46484
176,1338.0,1135.2489
177,970.0,1086.714
178,666.0,624.5101
179,1463.0,972.18726
180,1126.0,950.40845
181,604.0,653.6565
182,0.0,29.576735
183,791.0,924.2241
184,901.0,782.08966
185,0.0,136.05003
186,697.0,550.57983
187,1071.0,1209.1256
188,1451.0,1241.4059
189,1261.0,1512.4521
190,1206.0,664.2361
191,0.0,69.88338
192,928.0,651.0286
193,202.0,221.13423
194,1109.0,782.5084
195,649.0,389.8831
196,478.0,526.52747
197,1160.0,847.1631
198,767.0,725.96063
199,1043.0,344.96356
200,1378.0,1257.7051
201,911.0,532.9086
202,846.0,745.8398
203,1071.0,848.78564
204,1207.0,1530.7158
205,0.0,108.743164
206,868.0,1480.296
207,815.0,854.19727
208,815.0,477.1265
209,393.0,565.90283
210,574.0,800.43713
211,982.0,631.6328
212,1046.0,893.54193
213,473.0,688.26544
214,0.0,60.98297
215,1502.0,2254.5762
216,797.0,667.32666
217,1121.5,848.66736
218,1772.0,2301.714
219,354.0,359.7544
220,644.0,350.45062
221,0.0,57.08441
222,1890.0,1665.7563
223,887.0,864.2651
224,942.0,1317.1234
225,920.0,840.9389
226,866.0,1102.5587
227,0.0,456.166
228,408.0,667.85175
229,0.0,179.12994
230,801.0,462.3443
231,915.0,591.925
232,1141.0,1049.986
233,554.0,567.4582
234,612.0,766.0205
235,1847.0,1664.7358
236,1918.0,1033.1572
237,505.0,186.08998
238,0.0,126.52946
239,2402.0,2474.9966
240,1588.0,825.2666
241,1171.0,1106.6003
242,1985.0,2040.394
243,2203.0,1480.1202
244,0.0,79.399666
245,705.0,775.2201
246,1495.0,1071.0901
247,0.0,564.0354
248,0.0,32.86229
249,1132.0,438.02505
250,0.0,14.279764
251,1107.0,1020.9935
252,1775.0,2031.4073
253,1076.0,989.0388
254,0.0,2262.449
255,0.0,7.51941
256,337.0,535.89124
257,707.0,1021.98505
258,1086.0,792.91736
259,1032.0,1272.5354
260,667.0,1041.8503
261,1319.0,1151.2703
262,1099.0,715.7528
263,989.0,601.1424
264,0.0,179.16867
265,2151.0,1325.8087
266,295.5,56.72226
