,Origin,Predict
0,51.8,52.412807
1,38.8,43.497955
2,0.0,2.7292364
3,60.0,65.73084
4,35.0,26.820898
5,0.0,12.861345
6,40.0,53.863792
7,0.0,27.80596
8,75.0,85.77528
9,81.1,88.25018
10,86.7,83.33184
11,40.0,68.02691
12,51.3,49.76176
13,25.0,32.06263
14,25.0,64.4515
15,40.0,53.381535
16,67.7,78.8273
17,0.0,15.41792
18,80.0,79.99236
19,94.2,103.97134
20,0.0,19.229715
21,31.5,39.293373
22,76.8,93.99018
23,40.0,73.36073
24,85.0,75.71709
25,0.0,28.770363
26,84.5,99.737785
27,95.0,71.310036
28,60.0,42.321556
29,100.0,109.71361
30,89.0,89.8688
31,80.3,81.79883
32,75.0,77.81867
33,0.0,25.658232
34,0.0,5.403519
35,75.0,79.76761
36,70.0,61.17108
37,82.0,92.03932
38,70.0,63.296432
39,0.0,10.377994
40,47.5,39.93442
41,75.0,73.275856
42,65.0,62.052734
43,0.0,40.598038
44,0.0,20.621075
45,0.0,17.005228
46,52.8,46.140045
47,40.0,27.272947
48,0.0,0.23819305
49,0.0,14.366277
50,67.9,61.494053
51,86.1,79.90511
52,63.8,60.487907
53,75.0,69.70665
54,45.6,43.36805
55,67.9,54.146145
56,70.0,60.133972
57,0.0,5.04374
58,80.0,73.03688
59,25.0,17.204021
60,38.8,43.38584
61,65.0,49.665077
62,60.0,24.777483
63,70.0,79.25347
64,63.6,59.323257
65,54.0,64.401
66,73.5,68.15683
67,85.0,85.63898
68,50.0,48.01177
69,80.0,72.965355
70,70.0,66.625626
71,62.1,74.83382
72,64.0,68.59869
73,70.0,72.47165
74,0.0,15.114454
75,70.0,93.901634
76,0.0,0.3040354
77,75.0,73.73238
78,67.1,76.81091
79,0.0,90.90637
80,0.0,18.65021
81,84.7,60.74649
82,0.0,10.812484
83,55.0,31.397612
84,51.5,53.794537
85,57.2,58.49265
86,0.0,1.5207704
87,63.2,67.526085
88,25.0,20.756016
89,89.4,79.56232
90,40.0,60.721104
91,65.0,61.570343
92,84.7,75.48453
93,85.0,63.447517
94,75.0,82.903404
95,0.0,43.105305
96,40.0,26.24758
97,85.0,100.52274
98,28.6,29.331963
99,25.0,39.433853
100,80.0,81.71487
101,60.0,38.97711
102,60.0,71.75324
103,90.0,74.23763
104,84.7,71.417694
105,0.0,1.9648806
106,67.3,47.188324
107,0.0,20.500658
108,75.0,73.804436
109,34.3,41.3036
110,95.0,91.51166
111,70.0,75.33795
112,70.0,61.848503
113,80.0,80.07687
114,60.0,66.1956
115,40.0,47.189873
116,70.0,66.02569
117,0.0,2.5584323
118,92.6,85.45414
119,0.0,4.05919
120,77.0,96.107414
121,70.0,71.9499
122,90.0,79.18264
123,90.0,68.03681
124,80.0,70.33853
