,Origin,Predict
0,194.0,12.742148
1,340.0,213.96162
2,226.0,75.20995
3,84.0,132.08667
4,246.0,219.89021
5,0.0,0.59592044
6,140.0,131.2781
7,222.0,218.11105
8,98.0,19.667637
9,84.0,123.28016
10,30.0,54.11613
11,154.0,269.93124
12,402.0,171.83165
13,107.0,168.27185
14,162.0,146.90198
15,250.0,336.69214
16,0.0,88.47762
17,66.0,214.20659
18,0.0,191.80807
19,136.0,159.39313
20,84.0,141.68187
21,346.0,504.62646
22,36.0,248.21417
23,0.0,6.949407
24,108.0,250.05629
25,218.0,228.64879
26,94.0,58.699333
27,192.0,200.72867
28,279.0,261.5119
29,150.0,159.22859
30,304.0,345.18665
31,0.0,46.825806
32,0.0,19.767643
33,587.0,117.48114
34,134.0,87.74485
35,336.4,363.8385
36,0.0,16.313576
37,50.0,55.383377
38,0.0,98.34856
39,204.0,175.7902
40,206.0,122.29189
41,0.0,28.961922
42,214.0,226.56093
43,80.0,90.053795
44,390.0,529.44574
45,155.0,61.96016
46,8.0,79.91542
47,0.0,11.8026705
48,26.0,169.44208
49,0.0,12.561348
50,0.0,2.4688113
51,0.0,21.135841
52,0.0,7.4341073
53,20.0,123.94621
54,66.0,209.28601
55,413.0,394.33752
56,380.0,245.4911
57,0.0,30.936808
58,0.0,42.97774
59,406.0,266.24475
60,117.0,131.64413
61,290.0,260.89023
62,138.0,115.83793
63,236.0,379.34024
64,36.0,16.563156
65,54.0,42.60145
66,194.0,451.00583
67,282.0,381.92285
68,0.0,4.107915
69,42.0,32.74816
70,222.0,239.31729
71,85.8,130.5364
72,151.0,96.34204
73,90.0,91.31875
74,88.0,28.646078
75,200.0,161.47585
76,0.0,1.0067987
77,0.0,238.49216
78,6.0,181.12541
79,99.0,40.520966
80,0.0,2.1205866
81,168.0,209.73288
82,0.0,237.73514
83,0.0,27.400185
84,138.0,153.50278
85,289.0,186.98819
86,450.0,69.69532
87,193.0,59.555183
88,120.0,50.27186
89,0.0,7.591692
90,206.0,353.87857
91,56.0,74.11948
92,60.0,113.25732
93,304.0,114.017685
94,188.0,261.02728
95,158.0,103.387764
96,38.0,194.09758
97,642.0,94.93986
98,54.0,27.783056
99,250.0,303.73175
100,0.0,14.105014
101,50.0,40.356983
102,0.0,58.055313
103,198.0,358.18988
104,220.0,283.21667
105,300.0,473.77264
106,70.0,136.3546
107,114.0,73.12944
108,226.0,35.068085
109,310.0,265.47983
110,0.0,1.4818667
111,124.0,73.2474
112,86.0,67.04994
113,115.0,142.0906
114,342.0,474.9408
115,346.0,353.65942
116,320.0,93.008354
117,108.0,250.49272
118,282.0,278.97433
119,423.0,743.8637
120,102.0,164.07613
121,32.0,19.48607
122,244.0,275.03522
123,188.0,269.65652
124,36.0,30.312223
125,100.0,69.13914
126,348.0,142.31343
127,248.0,119.87991
128,59.0,139.91371
129,294.0,435.59476
130,108.0,2.6596107
131,56.0,46.648952
132,0.0,26.717773
133,206.0,122.06417
134,60.0,75.6885
135,37.0,274.66928
136,265.0,172.0065
137,78.0,45.865627
138,54.0,32.34796
139,335.0,158.49872
140,0.0,20.808847
141,0.0,151.58969
142,154.0,69.33378
143,126.0,194.94058
144,0.0,29.101412
145,356.0,217.68419
146,256.0,241.76305
147,0.0,68.618484
148,400.0,410.9455
149,180.0,218.34232
150,518.0,262.8854
151,360.0,159.9358
152,105.0,514.51434
153,111.0,277.87573
154,0.0,37.471268
155,144.0,256.87683
156,0.0,35.287254
157,0.0,27.71078
158,256.0,43.083683
159,0.0,3.2232227
160,16.0,65.62315
161,126.0,60.16288
162,66.0,104.33404
163,178.0,152.58311
164,506.0,391.5508
165,150.0,153.70268
166,424.0,857.06244
167,0.0,10.013353
168,290.0,379.0764
169,40.0,72.131386
170,90.0,115.71182
171,0.0,3.0494506
172,0.0,21.932775
173,126.0,128.5483
174,0.0,1.1755527
175,230.0,198.1256
176,360.0,156.33458
177,6.0,126.30267
178,0.0,10.434567
