,Origin,Predict
0,0.0,0.69195235
1,120.0,128.30583
2,0.0,0.121029615
3,0.0,11.326806
4,130.0,68.92678
5,124.3,168.93239
6,0.0,0.36942732
7,0.0,0.11796857
8,120.0,141.0862
9,0.0,0.36319894
10,0.0,0.5780548
11,0.0,0.16383152
12,107.6,136.63869
13,0.0,1.0446888
14,0.0,0.7898918
15,94.5,88.58361
16,0.0,0.08044115
17,84.3,52.74679
18,102.6,129.62186
19,0.0,0.58392847
20,0.0,0.20696813
21,0.0,23.780611
22,0.0,9.184525
23,0.0,2.8950152
24,0.0,1.1352142
25,0.0,0.7380314
26,0.0,36.346825
27,0.0,0.21335962
28,50.0,45.243706
29,0.0,0.70949084
30,0.0,0.13331929
31,0.0,0.1995491
32,120.0,135.92632
33,0.0,1.2246544
34,120.0,122.23067
35,30.0,20.838934
36,0.0,0.389906
37,0.0,1.3571076
38,0.0,13.544735
39,0.0,0.16577907
40,0.0,0.032846265
41,110.0,108.479965
42,0.0,7.5582013
43,0.0,23.716389
44,0.0,0.9159335
45,68.9,94.22675
46,0.0,0.16454896
47,0.0,0.016352393
48,114.0,155.40616
49,0.0,0.10477272
50,119.2,145.75981
51,113.4,88.90565
52,0.0,0.41062796
53,100.0,124.45515
54,188.5,188.74223
55,130.0,122.50353
56,0.0,0.16719311
57,124.6,147.10167
58,0.0,0.10789785
59,0.0,0.6245608
60,153.5,143.76743
61,0.0,0.6939568
62,120.0,157.35146
63,0.0,56.05039
64,123.0,133.37668
65,68.0,65.943146
66,0.0,0.57544255
67,0.0,0.23457536
68,0.0,2.1802711
69,114.8,111.99471
70,0.0,112.81101
71,50.6,37.27063
72,0.0,19.654547
73,150.0,93.99144
74,70.0,64.75812
75,0.0,0.16765977
76,85.0,72.86253
77,71.9,81.62241
78,0.0,0.027771072
79,0.0,0.26952472
80,0.0,0.616787
81,0.0,0.4484989
82,115.1,105.98219
83,140.5,145.45207
84,0.0,51.570274
85,94.6,79.936386
86,0.0,1.1281756
87,60.0,55.955704
88,0.0,0.55568707
89,80.0,50.797096
90,100.0,89.43223
91,150.0,81.64725
92,0.0,0.45667258
93,0.0,0.7659696
94,128.0,141.88492
95,0.0,0.3364265
96,0.0,0.13982563
97,0.0,0.054970697
98,0.0,7.159124
99,0.0,0.7329405
100,0.0,0.4223341
101,85.0,82.05055
102,0.0,0.96219474
103,0.0,89.01598
104,0.0,0.46092528
105,40.0,68.52281
106,0.0,0.29971957
107,0.0,0.53102106
108,0.0,0.026019534
109,0.0,0.19225872
110,34.6,18.246021
111,0.0,3.963962
112,0.0,0.24411485
113,85.0,119.84585
114,119.5,123.318375
115,0.0,0.36612502
116,0.0,0.09757281
117,0.0,2.1312506
118,0.0,35.32245
119,0.0,3.2196023
120,136.5,160.5494
121,116.8,63.53349
122,0.0,0.4888117
123,161.7,146.52681
124,130.0,126.55577
125,0.0,0.73246515
126,0.0,1.3466642
127,0.0,0.5982329
128,0.0,0.44426152
129,90.3,114.34686
130,0.0,19.883768
131,0.0,42.47529
132,0.0,0.6838714
133,0.0,0.95961344
134,0.0,0.61633354
135,0.0,0.41874057
136,0.0,0.512652
137,0.0,0.0309251
138,57.1,53.34225
139,80.0,10.5983925
140,0.0,1.058655
141,0.0,1.137256
142,0.0,28.277603
143,131.3,162.25807
144,0.0,0.14947617
145,0.0,40.52467
146,0.0,45.472797
147,0.0,0.08935892
148,0.0,41.371128
149,0.0,2.1295514
150,0.0,31.365498
151,0.0,3.7714484
152,50.0,41.559353
153,103.3,107.23737
154,0.0,0.39643922
155,0.0,0.5061715
156,0.0,9.784516
157,0.0,0.1360828
158,0.0,0.668193
159,0.0,0.27738103
160,0.0,0.4560114
161,0.0,1.7699018
162,0.0,0.028874267
163,0.0,0.42788
164,0.0,0.5667126
