,Origin,Predict
0,900.0,278.85568
1,2015.0,123.2675
2,0.0,131.8739
3,840.0,187.05188
4,0.0,65.483536
5,0.0,563.2446
6,3409.0,1507.0728
7,75.0,1821.5109
8,0.0,12.644338
9,1620.0,1422.062
10,840.0,557.59503
11,3918.0,1154.7291
12,0.0,437.8256
13,1027.0,1973.3137
14,960.0,744.42914
15,433.0,2319.3906
16,904.0,1383.257
17,0.0,95.827515
18,0.0,74.89595
19,600.0,1084.4132
20,0.0,258.3544
21,2391.0,639.4703
22,2940.0,4042.9106
23,1664.0,2687.8352
24,650.0,78.31749
25,1984.0,1871.3883
26,130.0,473.69427
27,1713.0,2171.0637
28,0.0,1897.1163
29,1715.0,1593.44
30,0.0,661.29535
31,1350.0,829.5167
32,1099.0,3259.2065
33,0.0,293.17902
34,1050.0,1083.6587
35,0.0,1.8640486
36,1336.0,49.523174
37,650.0,285.88168
38,2630.0,1471.4484
39,890.0,1358.7014
40,2445.0,1310.0563
41,0.0,600.09125
42,1370.0,213.64589
43,1050.0,1887.9807
44,945.0,448.16364
45,315.0,333.15662
46,178.0,182.08243
47,3816.0,2772.1667
48,754.0,279.7759
49,1622.0,1513.275
50,702.0,609.7631
51,565.0,561.1052
52,2310.0,1887.9263
53,710.0,1184.4423
54,1840.0,1153.7174
55,325.0,1547.4022
56,0.0,105.05267
57,1355.0,1899.1774
58,0.0,410.41534
59,0.0,1041.2367
60,1690.0,1971.9369
61,120.0,176.97357
62,3533.0,2009.6333
63,600.0,120.95666
64,375.0,670.6216
65,2895.0,3686.0073
66,875.0,1220.206
67,690.0,1044.2615
68,465.0,389.8854
69,2010.0,1071.9862
70,1315.0,1853.0742
71,525.0,1682.5026
72,450.0,91.83271
73,0.0,462.0112
74,0.0,142.6162
75,0.0,155.44409
76,850.0,955.20844
77,1440.0,1617.4635
78,0.0,1061.2753
79,900.0,734.6514
80,600.0,1213.571
81,0.0,56.515236
82,989.0,1384.508
83,444.0,303.65903
84,2611.0,1055.479
85,1860.0,1669.6163
86,0.0,25.745718
87,495.0,359.77264
88,2300.0,3708.1106
89,450.0,469.52686
90,675.0,888.00934
91,0.0,595.7635
92,4425.0,3659.6094
93,2200.0,1528.6307
94,1504.0,2694.4106
95,1125.0,805.5867
96,686.0,2857.6763
97,754.0,1184.2758
98,1155.0,419.51373
99,0.0,133.60396
100,480.0,152.74103
101,2825.0,3025.8928
102,1410.0,1543.7979
103,1540.0,1219.4542
104,150.0,10.000405
105,0.0,112.19462
106,880.0,127.32077
107,36.0,580.3198
108,450.0,364.3823
109,670.0,1322.4926
110,825.0,455.99347
111,1130.0,121.13584
112,650.0,169.71996
113,0.0,264.4294
114,2525.0,1523.6278
115,0.0,73.24704
116,1651.0,1972.2532
117,0.0,273.07626
118,0.0,205.79572
119,0.0,346.91803
120,4920.0,2479.1516
121,390.0,469.88492
122,1080.0,357.72556
123,225.0,23.60583
124,1672.0,697.0451
125,1200.0,1233.8813
126,1168.0,745.6687
127,217.0,627.79016
128,1300.0,941.3033
129,400.0,1075.5232
130,135.0,278.41293
131,20.0,8.745917
132,770.0,1134.9885
133,450.0,429.8744
134,130.0,1029.6321
135,840.0,212.80333
136,0.0,45.874977
137,54.0,239.51495
138,690.0,1319.9872
139,1300.0,154.05774
140,1040.0,162.76843
141,13.0,1088.7302
142,450.0,727.98346
143,1755.0,2576.6812
144,1551.0,1781.2478
145,1090.0,1707.9524
146,420.0,1288.5178
147,4263.0,4316.8267
148,15.0,1168.2628
149,600.0,831.0409
150,1650.0,1920.8849
151,1805.0,2319.5342
152,3570.0,2919.8706
153,444.0,186.26373
154,1006.0,1389.3615
155,120.0,2492.7532
156,595.0,1842.608
157,3413.0,2026.548
158,900.0,219.96696
159,1120.0,1822.7032
160,0.0,371.99158
161,0.0,159.17577
162,0.0,1.9383988
163,1130.0,280.5063
164,0.0,158.23634
165,0.0,176.69447
166,3645.0,1416.2832
167,936.0,896.03906
168,150.0,1293.7838
169,3163.0,1253.5447
170,30.0,227.509
171,900.0,304.5555
172,2135.0,1341.9395
173,0.0,324.1107
174,445.0,1335.5624
175,2003.8,2914.626
176,0.0,39.3983
177,1200.0,1780.4467
178,435.0,545.89966
179,725.0,1305.6953
180,0.0,149.45128
181,270.0,139.04233
182,0.0,421.8283
183,0.0,114.861275
184,1530.0,395.87796
185,900.0,827.66943
186,1815.0,931.8592
187,3318.0,2561.5476
188,0.0,245.63681
189,0.0,65.82016
190,1260.0,155.58762
191,300.0,161.62733
192,903.0,1130.3387
193,1230.0,614.83685
194,3189.0,1677.5431
195,2603.0,868.1938
196,0.0,79.75342
197,915.0,90.93451
198,1620.0,1067.8639
199,0.0,122.11079
200,255.0,404.5323
201,800.0,480.7118
202,2845.0,1066.0063
203,2095.0,1521.959
204,1119.0,897.80054
205,450.0,139.26448
206,574.0,726.19763
207,9744.0,151.63217
208,660.0,1500.5466
209,30.0,1922.2559
210,0.0,275.0542
211,65.0,1178.0577
212,157.0,2172.4514
213,150.0,1145.9622
214,390.0,74.59726
215,2690.0,2359.1262
216,1699.0,973.98315
217,390.0,1893.0813
218,826.0,642.7681
219,1405.0,782.0429
220,600.0,1303.2047
221,530.0,111.34649
222,1162.0,2546.8
223,75.0,17.713781
224,165.0,1070.9624
225,1463.0,2991.235
226,0.0,1014.8158
227,650.0,94.76452
