,Origin,Predict
0,62.4,59.432114
1,0.0,8.8131895
2,30.0,22.25396
3,52.0,17.587166
4,20.0,31.720802
5,44.0,40.583584
6,55.0,45.37001
7,0.0,5.869377
8,0.0,6.5293026
9,60.0,49.401394
10,30.0,39.56502
11,62.7,56.3961
12,90.5,83.68069
13,36.9,39.26655
14,65.0,59.243454
15,50.0,39.642315
16,32.0,33.48667
17,42.5,51.902157
18,20.0,25.915865
19,20.0,20.349352
20,40.0,35.35369
21,0.0,21.786863
22,50.0,34.084316
23,68.8,65.617004
24,53.4,49.71105
25,50.0,54.647217
26,0.0,3.3770669
27,65.0,39.305965
28,66.9,62.327114
29,50.0,32.726124
30,0.0,19.079607
31,50.0,71.159355
32,40.0,34.740353
33,70.0,66.87713
34,45.7,40.14754
35,0.0,1.9048421
36,40.0,34.786102
37,44.3,53.286472
38,15.0,36.488846
39,50.0,23.3668
40,35.9,34.348537
41,70.0,81.47676
42,40.0,34.926563
43,7.0,8.5154505
44,70.0,99.24509
45,0.0,7.1762996
46,23.7,44.5651
47,35.8,38.983433
48,0.0,4.6592264
49,0.0,14.12631
50,65.2,52.514698
51,40.0,41.99032
52,38.9,23.867706
53,55.6,49.135223
54,45.0,27.11823
55,57.1,53.65515
56,70.0,68.25465
57,49.1,55.606247
58,0.0,11.153529
59,0.0,9.657199
60,54.4,56.144543
61,80.0,55.280457
62,20.0,24.097134
63,0.0,2.0894995
64,0.0,2.6907787
65,73.0,60.313328
66,53.9,52.841793
67,40.0,35.75682
68,52.0,53.958916
69,45.0,36.590137
70,47.0,43.085464
71,0.0,14.216119
72,0.0,15.606844
73,60.0,40.75382
74,70.0,69.69763
75,70.0,65.88886
76,75.0,73.101555
77,90.0,89.92568
78,0.0,19.655228
79,30.0,36.079086
80,0.0,8.346661
81,83.8,58.027496
82,78.4,62.54928
83,22.0,20.16965
84,50.0,43.39223
85,70.0,77.664856
86,50.2,44.8081
87,65.0,86.6959
88,40.0,44.692333
89,0.0,23.972654
90,0.0,9.333037
91,0.0,9.258293
92,70.0,74.27457
93,23.0,25.386244
94,39.0,50.347473
95,0.0,1.3108943
96,0.0,10.664329
97,30.0,30.728025
98,0.0,11.20045
99,52.0,54.766903
100,0.0,10.924684
101,0.0,2.5217469
102,45.1,29.547892
103,0.0,3.0700333
104,0.0,0.50981075
105,27.5,26.150307
106,30.0,36.988873
107,48.1,48.68376
108,71.4,67.8011
109,39.0,38.807068
110,40.0,41.413773
111,76.7,73.24538
112,60.0,60.576313
113,50.0,39.765064
114,0.0,15.692327
115,0.0,11.876923
116,52.0,42.345192
117,70.0,49.006577
118,67.9,60.70168
119,30.0,19.658773
120,70.0,62.211422
121,39.7,38.49164
122,90.0,85.90411
123,75.0,66.39509
124,60.0,70.020676
125,90.0,86.9981
126,75.2,39.767807
127,72.0,71.772484
128,88.2,79.45783
129,50.0,45.219345
130,0.0,14.527282
131,45.6,45.604195
132,0.0,11.296422
133,41.4,49.102337
134,77.0,77.00404
135,25.0,24.98301
136,47.4,54.79526
137,0.0,18.51224
138,0.0,3.5268052
139,0.0,5.100381
140,61.1,39.972214
141,50.0,54.687294
142,85.6,76.6954
143,50.0,24.46708
144,65.0,49.73597
145,69.2,67.08304
146,0.0,26.129656
147,0.0,9.537129
148,50.0,38.362293
149,46.2,47.675674
150,33.0,30.47082
151,46.2,58.42051
152,45.0,34.185505
153,0.0,24.599089
154,69.1,58.7809
155,0.0,9.537649
156,40.0,24.53872
157,40.0,37.69062
158,54.6,62.34179
159,0.0,0.5291001
160,50.0,36.325535
161,59.0,34.937977
162,25.0,32.88999
163,30.0,26.009655
164,37.6,38.64845
165,0.0,11.696375
166,0.0,3.2504199
167,35.0,30.548983
168,30.0,20.849754
169,18.0,14.643941
170,78.8,74.52177
171,0.0,29.156118
172,52.2,44.899105
173,40.0,39.40504
174,0.0,18.497963
175,0.0,7.432971
176,0.0,13.173678
177,50.0,48.57996
178,0.0,4.2383366
179,0.0,4.8244915
180,60.0,53.082516
181,60.0,44.384598
182,82.0,73.06717
183,25.0,27.197823
184,40.0,47.791397
185,75.0,71.917046
186,50.0,47.034332
187,40.0,26.159523
188,0.0,0.16216433
189,0.0,24.163176
190,50.0,62.82086
191,47.0,51.80828
192,25.0,12.998174
193,40.0,43.901356
194,70.0,70.36548
195,30.0,39.327778
196,50.0,67.07843
197,50.0,38.799355
198,0.0,0.11389938
199,50.0,50.192635
200,50.0,48.73664
201,56.2,50.07209
202,69.1,56.57943
203,35.0,30.673475
204,43.8,55.29032
205,50.0,30.051893
206,22.0,33.628914
207,40.0,46.503212
208,49.8,43.39514
209,55.1,51.73288
210,25.0,30.882013
211,0.0,25.866983
212,50.4,68.4963
213,22.0,27.190683
214,0.0,13.172263
215,20.0,17.45674
216,50.0,10.003717
217,0.0,29.189959
218,20.0,23.307993
219,25.0,46.458527
220,24.0,20.15492
221,0.0,13.095484
222,40.0,35.217014
223,31.5,26.133009
224,65.0,56.694893
225,0.0,2.8719573
226,0.0,17.82685
227,45.0,51.99595
228,0.0,2.2667017
229,0.0,3.8060393
230,52.0,29.347729
231,47.9,51.897755
232,0.0,2.1190684
233,40.0,33.321968
234,0.0,7.5643077
235,59.1,55.04876
236,50.0,52.34532
237,20.0,22.734186
238,50.0,44.1072
239,0.0,2.2513967
240,42.0,50.54858
241,30.0,25.31441
242,54.3,56.28545
243,0.0,27.796587
244,69.3,85.122345
245,55.0,35.425686
246,0.0,0.8694277
247,85.0,87.40686
248,70.0,68.45306
249,0.0,2.333889
250,25.0,28.497433
251,16.9,19.668085
252,40.0,37.337845
253,40.0,36.08848
254,90.0,79.14577
255,49.9,52.978104
256,50.0,54.41126
257,60.0,33.168537
258,0.0,5.2243204
259,30.0,32.24549
260,34.2,33.3079
