,Origin,Predict
0,83.3,84.475525
1,74.4,69.70306
2,64.2,60.67193
3,69.9,68.03256
4,0.0,0.724055
5,59.0,44.857777
6,49.9,63.979717
7,56.6,62.631996
8,55.0,51.152752
9,50.3,42.397976
10,50.0,50.250233
11,0.0,8.440764
12,0.0,28.162546
13,64.8,43.120808
14,55.8,50.387276
15,51.2,61.67207
16,55.0,56.74947
17,49.8,47.955013
18,0.0,0.45719856
19,48.6,41.93039
20,47.0,50.884457
21,41.1,44.03867
22,47.4,45.86452
23,37.9,38.30083
24,50.2,41.187847
25,0.0,10.648171
26,62.8,57.136402
27,55.0,52.159615
28,55.7,39.240223
29,52.3,49.420643
