,Origin,Predict
0,6.0,20.6424
1,24.0,1.599147
2,66.0,68.740875
3,6.0,19.67444
4,12.0,1.750943
5,90.0,21.334778
6,12.0,48.32649
7,0.0,7.014496
8,24.0,9.01535
9,36.0,6.3622584
10,36.0,19.657454
11,258.0,24.458902
12,36.0,32.826557
13,0.0,5.0014906
14,6.0,11.784674
15,0.0,61.175213
16,120.0,18.993704
17,12.0,8.891363
18,30.0,18.64486
19,18.0,4.298934
20,0.0,0.19164382
21,40.0,33.184628
22,0.0,16.247477
23,480.0,13.70365
24,38.0,99.44523
25,0.0,2.5592427
26,9.0,9.670771
27,0.0,5.1527762
28,0.0,17.937534
29,0.0,5.372736
30,6.0,5.561509
31,18.0,31.696285
32,5.0,3.815174
33,83.0,220.95836
34,0.0,10.941974
35,54.0,0.9333155
36,39.0,26.935158
37,0.0,110.181046
38,150.0,59.352455
39,12.0,6.3784604
40,0.0,19.542244
41,9.0,140.45117
42,18.0,20.794338
43,6.0,20.46912
44,18.0,8.448928
45,156.0,155.52151
46,69.0,60.353313
47,66.0,8.395002
48,0.0,8.889386
49,44.0,44.28881
50,0.0,33.404736
51,78.0,75.67847
52,30.0,8.663479
53,0.0,11.787336
54,12.0,42.237965
55,18.0,17.33401
56,36.0,54.262558
57,6.0,6.007916
58,136.0,7.336769
59,0.0,11.757821
60,30.0,8.40404
61,9.0,1.7389287
62,5.0,30.943161
63,0.0,17.283491
64,18.0,10.467582
65,9.0,7.6562705
66,0.0,27.70032
67,18.0,6.347582
68,18.0,9.446627
69,0.0,22.165464
70,6.0,2.798565
71,9.0,34.689693
72,0.0,25.575357
73,18.0,6.155673
74,0.0,3.9427934
75,41.0,5.1424828
76,24.0,8.245506
77,0.0,44.823048
78,0.0,14.709253
79,15.0,27.314009
80,0.0,71.19884
81,42.0,0.1506347
82,0.0,29.847666
83,0.0,3.9698443
84,0.0,8.208821
85,6.0,11.5206585
86,0.0,1.7549242
87,6.0,8.140342
88,0.0,24.676264
89,0.0,10.496507
90,150.0,51.345997
91,0.0,3.528642
92,6.0,5.45459
93,6.0,5.953552
94,12.0,7.403265
95,0.0,22.326916
96,0.0,15.89383
97,0.0,5.9525256
98,18.0,3.0405545
99,12.0,15.228084
100,54.0,1.25195
101,12.0,37.69325
102,0.0,9.576576
103,30.0,3.5629306
