,Origin,Predict
0,360.0,240.1927
1,0.0,79.54916
2,753.0,894.6273
3,218.0,223.3989
4,0.0,13.079349
5,0.0,333.92316
6,0.0,16.484013
7,197.0,159.92667
8,267.0,370.69183
9,151.0,141.92018
10,0.0,25.242542
11,20.0,212.05864
12,476.0,580.5549
13,123.0,148.12021
14,528.0,541.3566
15,0.0,260.11118
16,159.0,60.690502
17,0.0,7.2169538
18,54.0,18.623304
19,79.0,15.38987
20,309.0,402.66263
21,138.0,164.97786
22,153.0,116.04575
23,227.0,398.3546
24,0.0,132.93318
25,110.0,175.27014
26,449.0,204.9956
27,163.0,68.326035
28,506.0,786.64044
29,407.0,305.2948
30,414.0,396.0779
31,109.0,70.27179
32,736.0,713.4346
33,105.0,176.10207
34,0.0,22.985138
35,352.0,440.8451
36,188.0,233.8175
37,71.0,56.238617
38,0.0,9.755633
39,160.0,194.80696
40,39.0,54.775597
41,189.0,109.90401
42,0.0,41.053177
43,506.0,532.8441
44,0.0,38.554558
45,0.0,15.40033
46,172.0,53.41383
47,356.0,446.40057
48,135.0,202.92706
49,0.0,22.250364
50,0.0,9.179939
51,89.0,7.523894
52,564.0,683.82574
53,225.0,416.0295
54,935.0,583.11414
55,441.0,469.1311
56,0.0,125.87237
57,230.0,99.41795
58,774.0,603.8437
59,183.0,262.87747
60,19.0,47.57649
61,489.0,589.99634
62,822.0,694.49475
63,245.0,163.23155
64,0.0,8.81592
65,137.0,136.4924
66,149.0,103.76331
67,231.0,202.98354
68,0.0,608.98846
69,0.0,6.3606195
70,61.0,115.61616
71,151.0,92.65971
72,353.0,95.29981
73,641.0,426.12766
74,648.0,385.77985
75,0.0,35.025253
76,47.0,60.208447
77,183.0,276.48666
78,11.0,9.391584
79,329.0,252.7278
80,104.0,144.32063
81,355.0,355.18652
82,88.0,61.585224
83,425.0,482.75964
84,140.0,154.1397
85,0.0,1.1196694
86,526.0,515.28296
87,92.0,136.77982
88,110.0,259.39417
89,468.0,463.22958
90,0.0,5.245419
91,765.0,433.293
92,87.0,39.526943
