,Origin,Predict
0,16.5,22.523933
1,23.2,20.165295
2,12.7,17.815712
3,11.7,6.103722
4,10.9,13.510196
5,9.5,16.01602
6,0.0,3.490118
7,7.1,8.206587
8,14.1,5.910516
9,12.0,17.347921
10,11.0,12.09604
11,14.1,12.117727
12,15.1,6.672879
13,0.0,0.51025176
14,21.9,26.077831
15,30.2,25.851843
16,30.2,27.948593
17,29.7,27.927225
18,31.8,29.660927
19,0.0,15.611928
20,0.0,11.081654
21,36.5,33.587086
22,38.0,43.48114
23,61.3,50.12096
24,64.1,73.514854
25,98.2,87.00506
26,72.5,65.023315
27,0.0,9.791623
28,36.3,34.52241
29,27.3,27.751835
