,Origin,Predict
0,12.7,15.035016
1,0.0,6.301107
2,47.0,45.322903
3,19.5,19.89654
4,14.7,13.367837
5,41.2,43.77442
6,25.0,22.767553
7,22.7,21.304373
8,21.9,25.431908
9,11.4,12.786428
10,26.4,25.825356
11,14.0,16.865461
12,17.0,16.775309
13,19.1,17.961868
14,24.1,18.335724
15,62.0,65.84018
16,50.4,60.057274
17,14.3,14.943032
18,31.0,25.28501
19,23.3,24.673738
20,15.6,11.504967
21,28.3,21.620295
22,16.2,19.190851
23,0.0,5.751465
24,63.2,51.57182
25,35.3,32.849754
26,30.0,24.694475
27,21.1,19.417013
28,0.0,0.20890749
29,22.7,21.658686
30,38.0,42.30633
31,30.9,30.798182
32,18.3,14.056624
33,24.5,19.911001
34,0.0,0.658838
35,28.4,19.88248
36,0.0,0.75437045
37,30.9,41.25359
38,0.0,0.29031023
39,0.0,0.8246255
40,31.8,35.94288
41,23.2,23.015913
42,19.3,19.483696
43,51.4,40.790363
44,26.8,24.04234
45,26.2,30.363419
46,35.1,39.67786
47,14.0,18.954048
48,72.2,68.45143
49,44.7,35.02905
50,15.0,21.570726
51,40.4,39.499466
52,24.7,15.786573
53,17.0,16.330067
54,22.0,15.45251
55,22.7,23.574045
56,0.0,0.14450401
57,74.4,58.54195
58,0.0,0.53563446
59,36.8,39.471737
60,14.6,11.532964
61,26.2,25.04531
62,0.0,0.98317516
63,19.9,14.2286825
64,21.7,25.562998
65,0.0,0.09193067
66,22.2,20.481592
67,35.4,39.475063
68,47.5,35.758465
69,21.8,20.140015
70,13.8,6.9530945
71,0.0,30.136831
72,0.0,8.1142645
73,23.9,18.777567
74,22.1,6.5045238
75,29.6,33.623444
76,27.5,21.64237
77,26.4,24.650908
78,0.0,1.3587043
79,20.2,22.446274
80,15.7,16.494589
81,0.0,2.7210925
82,17.8,16.710615
83,16.8,17.97215
84,27.4,29.06437
85,0.0,4.339967
86,10.0,10.682556
87,40.5,43.276436
88,24.3,26.677511
89,28.3,27.956667
90,22.2,19.18554
91,40.7,38.175507
92,18.3,15.784646
93,18.8,22.317911
94,23.4,23.779324
95,30.1,30.601662
96,0.0,0.40110686
97,15.2,10.392469
98,56.6,61.401005
99,32.3,31.910543
100,16.5,8.011373
101,20.0,5.1261263
102,33.3,31.65436
103,20.0,21.237547
104,13.8,13.078554
105,0.0,0.40519172
106,0.0,0.35878912
107,17.7,16.802206
108,23.6,23.684004
109,21.9,23.155052
110,23.9,25.234293
111,44.2,2.4202015
112,14.8,17.152899
113,0.0,4.8229623
114,26.6,25.621592
115,17.2,15.551765
116,11.5,7.42486
117,35.1,30.445902
118,15.6,12.693683
119,35.8,36.57135
120,0.0,0.90997887
121,0.0,1.228649
122,0.0,0.35971406
123,28.8,24.985123
124,48.5,60.075737
125,19.3,20.409855
126,27.8,28.192818
127,19.2,21.671864
128,18.9,17.91952
129,19.6,6.1501703
130,0.0,14.970586
131,16.8,28.182411
132,18.9,15.416743
133,14.0,16.364323
134,20.4,30.587902
135,10.9,14.04383
136,33.1,32.582268
137,27.7,23.873426
138,14.5,15.576821
139,0.0,18.079706
140,19.6,22.686926
141,23.4,20.714342
142,0.0,1.3090683
143,15.2,3.5871227
144,0.0,0.42170215
145,37.5,30.24984
146,0.0,0.5162735
147,16.5,20.562737
148,0.0,0.021094194
149,18.9,20.461187
150,35.4,10.865803
151,31.6,24.11722
152,15.8,16.89745
153,14.2,11.824279
154,0.0,0.035741422
155,0.0,0.96177083
156,11.0,12.062175
157,30.6,23.667187
158,15.3,22.234694
159,27.8,30.935728
160,33.1,30.454191
161,13.6,21.081028
162,36.3,43.07249
163,41.8,52.54045
164,21.1,22.701305
165,21.1,14.898047
166,13.1,21.094563
167,17.8,17.432858
168,16.2,16.822754
169,73.5,2.9974961
170,56.3,51.95434
171,35.0,35.434452
172,24.6,18.366476
173,14.8,16.111639
174,25.1,23.229763
175,35.0,43.687675
176,25.9,23.623835
177,12.2,13.080371
178,23.2,21.882704
179,14.5,17.505322
180,0.0,0.24227618
181,0.0,1.9017643
182,28.6,26.893826
183,30.6,27.517048
184,35.7,46.363285
185,36.9,47.301884
186,30.9,25.582642
187,0.0,6.0274405
188,43.1,36.97116
189,25.2,20.3183
190,0.0,33.428318
191,34.2,35.993862
