,Origin,Predict
0,0.0,15.678875
1,220.0,152.5023
2,0.0,17.296906
3,0.0,10.146832
4,0.0,6.374357
5,0.0,50.891758
6,0.0,7.063147
7,0.0,9.022614
8,0.0,1.9938729
9,0.0,3.48611
10,0.0,27.939096
11,0.0,572.54266
12,100.0,16.398989
13,0.0,137.99821
14,1100.0,271.0949
15,220.0,65.808075
16,0.0,422.68616
17,610.0,564.7721
18,0.0,3.6673112
19,100.0,217.55952
20,0.0,55.829643
21,0.0,0.7287576
22,320.0,134.79906
23,260.0,44.529274
24,0.0,4.078639
25,300.0,398.07492
26,500.0,67.82615
27,0.0,11.9102
28,1500.0,136.54684
29,0.0,212.2037
30,40.0,276.62466
31,0.0,20.386873
32,0.0,18.409634
33,0.0,4.506916
34,0.0,12.664718
35,0.0,3.1688623
36,380.0,79.83237
37,0.0,30.10759
38,0.0,6.4664288
39,620.0,860.2326
40,0.0,5.085028
41,0.0,1.7195622
42,180.0,990.07544
43,0.0,8.107418
44,0.0,188.57056
45,0.0,18.394642
46,0.0,3.158551
47,0.0,2.336757
48,720.0,797.24695
49,80.0,85.18964
50,1060.0,1211.197
51,0.0,25.020283
52,0.0,17.980377
53,0.0,1.5128121
54,0.0,486.41946
55,0.0,6.0303974
56,0.0,1.6148103
57,240.0,123.28482
58,0.0,4.0050564
59,0.0,1.874294
60,465.0,294.76443
61,0.0,13.309177
62,600.0,674.0035
63,0.0,13.807789
64,560.0,463.02142
65,180.0,53.244232
66,0.0,541.053
67,0.0,7.832228
68,0.0,8.580175
69,0.0,342.6263
70,0.0,2.9094374
71,1220.0,831.2105
72,0.0,8.273721
73,0.0,14.1395035
74,0.0,0.8762162
75,0.0,1.6763324
76,0.0,250.42944
77,60.0,904.95306
78,0.0,32.46735
79,285.0,632.4578
80,0.0,1.4721477
81,0.0,6.5341234
82,0.0,0.52815104
83,0.0,1.1379513
84,0.0,61.483856
85,0.0,1.5682787
86,0.0,14.427027
87,540.0,221.14171
88,0.0,2.3583343
89,0.0,4.7924633
90,0.0,5.5268683
91,80.0,18.690104
92,0.0,15.066996
93,0.0,3.9638102
94,0.0,4.2512994
95,0.0,29.630949
96,0.0,1.7007427
97,442.0,609.438
98,160.0,10.738559
99,0.0,6.7833605
100,0.0,136.94324
101,0.0,13.32225
102,1100.0,394.0085
103,0.0,4.914599
104,0.0,3.1448872
105,0.0,7.487549
106,40.0,33.135685
107,645.0,740.91925
108,0.0,2.4710793
109,0.0,5.840588
110,0.0,9.364302
111,0.0,11.412404
112,40.0,4.0326724
113,0.0,5.1756353
114,0.0,11.640175
115,0.0,34.692825
116,0.0,3.2674458
117,720.0,659.8575
118,875.0,397.73392
119,0.0,2.8024216
120,0.0,2.7202556
121,400.0,729.7509
122,0.0,14.141241
123,0.0,3.0030992
124,0.0,72.51567
125,0.0,2.3325179
126,260.0,112.365135
127,1460.0,1531.4677
128,0.0,5.270728
129,0.0,63.108433
130,0.0,9.879213
131,0.0,1.2002349
132,160.0,172.85736
133,0.0,1.0896368
134,0.0,0.08978039
135,0.0,6.8018055
136,0.0,17.876198
137,0.0,235.95949
138,0.0,11.181721
139,0.0,10.452287
140,0.0,94.70314
141,425.0,20.413607
142,140.0,284.0888
143,0.0,2.7706625
144,0.0,19.632624
145,0.0,2.2715607
146,0.0,21.903135
147,0.0,37.196068
148,610.0,81.89535
149,100.0,385.55563
150,0.0,68.38861
151,360.0,312.7217
152,1220.0,1182.6844
153,700.0,345.3015
154,0.0,8.760377
155,0.0,3.7878485
156,0.0,7.2897587
157,0.0,11.716118
158,0.0,8.092076
159,160.0,223.02182
160,0.0,1.4090773
161,0.0,146.83775
162,0.0,6.71879
163,0.0,7.129172
164,753.0,391.19763
165,820.0,423.67612
166,0.0,1.3148881
167,0.0,8.264933
168,40.0,2.9176064
169,0.0,501.6763
170,0.0,133.00699
171,0.0,2.5333838
172,0.0,1.7293841
173,0.0,5.7829247
174,80.0,1.7966352
175,280.0,395.6439
176,0.0,191.93524
177,0.0,48.517693
178,40.0,509.65433
179,0.0,1.5608923
180,20.0,71.4706
181,200.0,390.37048
182,0.0,12.722771
183,0.0,809.5524
184,1960.0,484.3714
185,0.0,17.857265
186,0.0,23.772175
187,620.0,527.7885
188,0.0,2.0910416
189,0.0,5.345211
190,100.0,2.2705188
191,0.0,8.480994
192,580.0,1045.5099
193,40.0,13.237181
194,0.0,29.072119
195,0.0,13.586906
196,0.0,3.1262813
197,0.0,1.5297861
198,0.0,177.93166
199,0.0,5.190667
200,0.0,15.187708
201,0.0,476.74677
202,0.0,10.013816
203,0.0,20.839552
204,0.0,1.232153
205,1275.0,661.49915
206,60.0,290.95984
207,0.0,25.109718
208,0.0,374.74182
209,0.0,417.47253
210,0.0,21.216145
211,0.0,10.126917
212,0.0,1.0115803
213,200.0,66.62106
214,0.0,16.746597
215,0.0,29.585623
