,Origin,Predict
0,0.0,0.9166529
1,0.0,0.42279577
2,0.0,0.72233486
3,0.0,6.726817
4,0.0,0.6584122
5,0.0,0.110721625
6,0.0,0.56203073
7,0.0,0.46307266
8,0.0,0.037040517
9,12.0,15.446644
10,0.0,0.09481507
11,0.0,0.03258252
12,6.0,0.4275863
13,0.0,0.9622882
14,0.0,0.18351349
15,0.0,2.490024
16,13.0,24.687094
17,0.0,0.7189252
18,0.0,0.067635596
19,20.0,15.810324
20,0.0,0.062138457
21,0.0,0.15339589
22,0.0,0.21071383
23,0.0,0.024330316
24,0.0,0.48680183
25,10.0,2.086218
26,0.0,0.2372895
27,0.0,0.44834465
28,0.0,7.364896
29,0.0,21.929878
30,4.0,0.04735562
31,0.0,7.9021635
32,0.0,0.42627686
33,0.0,0.028454563
34,0.0,14.658814
35,0.0,0.5675659
36,0.0,0.30667624
37,0.0,0.2280481
38,0.0,1.0256032
39,0.0,35.750576
40,0.0,0.19688262
41,0.0,0.02623859
42,25.0,3.4787526
43,0.0,0.32506028
44,0.0,0.57723427
45,0.0,4.970332
46,0.0,0.058056116
47,0.0,0.20460562
48,0.0,0.11392973
49,0.0,0.28697792
50,0.0,1.2505133
51,0.0,0.14154005
52,0.0,0.0062349983
53,0.0,0.10380613
54,25.0,1.2673134
55,0.0,1.8383967
56,0.0,0.40848577
57,0.0,0.8840774
58,0.0,0.002314467
59,0.0,0.14631024
60,0.0,0.15602069
61,0.0,0.001878045
62,0.0,0.04494737
63,15.0,5.1733394
64,0.0,4.591439
65,0.0,1.0680823
66,0.0,0.5523504
67,0.0,0.8138514
68,0.0,7.2783055
69,22.0,0.1730324
70,0.0,0.10285837
71,0.0,0.1350589
72,0.0,1.6494509
73,0.0,0.17671373
74,0.0,1.2112175
75,0.0,0.093425706
76,0.0,0.015685063
77,0.0,0.23368688
78,0.0,2.79648
79,50.0,0.15208045
80,0.0,12.834204
81,0.0,3.8636405
82,0.0,1.334166
83,0.0,0.20862597
84,0.0,0.10675324
85,0.0,0.64811045
86,0.0,0.91794777
87,0.0,1.9376546
88,0.0,0.76469177
89,11.4,0.5511812
90,0.0,1.1190233
91,0.0,0.27152735
92,0.0,0.20859838
93,0.0,0.38027683
94,0.0,1.0854261
95,0.0,0.119966194
