,Origin,Predict
0,914.0,1072.9077
1,0.0,1.7013876
2,900.0,502.43442
3,560.0,461.23645
4,900.0,682.39636
5,840.0,271.4566
6,563.0,265.90936
7,330.0,303.11566
8,540.0,880.2903
9,2276.0,2556.5298
10,0.0,59.850662
11,0.0,33.185593
12,0.0,36.03481
13,300.0,625.3465
14,1173.0,564.56256
15,0.0,174.463
16,120.0,117.70779
17,1480.0,1464.0609
18,632.0,654.87213
19,785.0,313.56674
20,0.0,34.76435
21,1500.0,978.95544
22,0.0,64.53168
23,450.0,220.76804
24,0.0,1261.797
25,2020.0,1840.0284
26,60.0,270.31854
27,370.0,161.29056
28,330.0,77.20123
29,360.0,363.9943
30,460.0,386.4835
31,30.0,16.234587
32,1566.0,3143.1848
33,2446.0,526.27295
34,23.0,20.29784
35,415.0,495.6939
36,0.0,5.1061254
37,0.0,77.5478
38,0.0,1.1798204
39,0.0,26.236506
40,0.0,187.41508
41,0.0,1304.4371
42,60.0,5.2810664
43,1012.0,453.4121
44,1737.0,531.3804
45,0.0,14.726312
46,570.0,967.46747
47,2550.0,3156.03
48,0.0,1572.213
49,0.0,8.9247055
50,390.0,602.8319
51,378.0,217.62238
52,0.0,57.886635
53,60.0,23.61078
54,624.0,85.10742
55,364.0,543.0411
56,175.0,208.46045
57,560.0,1199.9242
58,0.0,18.306717
59,0.0,65.93847
60,0.0,10.652118
61,366.0,464.93475
62,0.0,25.436491
63,176.0,199.5988
64,0.0,19.070557
65,4494.0,3399.387
66,330.0,153.21591
67,90.0,236.74799
68,180.0,149.53368
69,170.0,134.15625
70,60.0,55.78773
71,790.0,242.33936
72,30.0,257.76605
73,0.0,55.646736
74,30.0,8.319781
75,180.0,355.06458
76,268.0,191.03569
77,1426.0,1634.9281
78,30.0,36.000633
79,0.0,17.60421
80,947.0,803.4013
81,0.0,41.089447
82,88.0,174.0157
83,0.0,54.627064
84,0.0,62.33362
85,3696.0,2286.078
86,360.0,280.885
87,30.0,129.58563
88,2038.0,1068.691
89,90.0,40.336693
90,0.0,53.952602
91,0.0,3.2296958
92,911.0,1328.2362
93,0.0,25.699305
94,881.0,93.84688
95,30.0,72.045296
96,0.0,17.924143
97,278.0,519.8171
98,0.0,45.42815
99,974.0,587.7641
100,0.0,2606.817
101,0.0,34.98029
102,30.0,40.364155
103,0.0,2.714348
104,150.0,119.87456
105,90.0,34.515354
106,0.0,21.844751
107,90.0,47.09483
108,0.0,1.1039623
109,0.0,11.297296
110,600.0,272.5369
111,0.0,63.465282
112,826.0,486.01697
113,1250.0,786.5932
114,450.0,319.63992
115,990.0,310.1414
116,223.0,147.4426
117,1650.0,1219.399
118,810.0,278.11673
119,30.0,94.819595
120,0.0,38.84391
121,0.0,92.674164
122,1320.0,1067.2772
123,1770.0,1294.8556
124,0.0,4.2893524
125,690.0,738.8095
126,1140.0,1914.999
127,519.0,400.7983
128,0.0,100.55298
129,840.0,208.98328
130,271.0,94.653694
131,0.0,146.37132
132,2634.0,2126.8577
133,30.0,31.698496
134,2240.0,2031.3844
135,0.0,20.722569
136,1013.0,708.3437
137,387.0,286.24344
138,30.0,12.313025
139,30.0,28.572115
140,219.0,257.50735
141,30.0,28.017637
142,0.0,42.56084
143,0.0,20.420437
144,44.0,127.729706
145,568.0,979.372
146,60.0,44.746956
147,30.0,8.433433
148,2032.0,2859.7903
149,1145.0,1385.2695
150,102.0,93.78138
151,0.0,3403.711
152,0.0,5.624735
153,0.0,163.85527
154,0.0,7.6611147
155,1050.0,1191.1024
156,332.0,87.27939
157,1473.0,937.0217
158,1770.0,1332.7089
159,40.0,57.95988
160,1760.0,888.8938
161,90.0,115.61816
162,235.0,370.06757
163,600.0,433.60516
164,0.0,33.187157
165,523.0,604.6635
166,30.0,264.61664
167,2050.0,1114.4425
168,610.0,937.9374
169,240.0,197.28981
170,2689.0,3040.555
171,300.0,302.33417
172,0.0,27.923567
173,0.0,10.193397
174,1350.0,779.919
175,60.0,12.891719
176,232.0,360.99023
177,215.0,14.16862
178,30.0,69.37827
179,450.0,571.419
180,600.0,545.4834
181,1253.0,1125.8081
182,180.0,1201.4867
183,0.0,2105.1843
184,894.0,977.6376
185,120.0,253.9253
186,1312.0,945.49536
187,1985.0,26.137016
188,0.0,201.97101
189,300.0,143.81047
190,432.0,235.08952
191,1050.0,688.3458
192,365.0,77.733345
193,0.0,11.663564
194,420.0,587.2346
195,780.0,1224.6257
196,0.0,94.789955
197,1014.0,767.4608
198,690.0,995.31244
199,1052.0,1543.0085
200,0.0,111.4872
201,0.0,45.346123
202,0.0,2.9696078
203,1620.0,628.2204
204,4436.0,2501.1318
205,0.0,9.089224
206,780.0,608.7
207,0.0,23.9308
208,60.0,109.699104
209,0.0,1302.9949
210,0.0,42.961037
211,141.0,134.1095
212,180.0,709.6588
213,1030.0,1209.7097
214,1960.0,1105.8981
215,1790.0,545.5038
216,900.0,523.9569
217,1779.0,1100.6521
218,150.0,85.64931
219,150.0,55.6987
220,1460.0,1564.7997
221,1210.0,1188.0284
222,60.0,22.719578
223,0.0,36.589344
224,1080.0,64.70617
225,30.0,33.654953
226,180.0,169.51027
227,90.0,7.6210513
228,0.0,3.429127
229,0.0,92.49773
230,540.0,377.06488
231,30.0,150.77728
232,840.0,86.64282
233,60.0,76.97535
234,834.0,1559.5316
235,120.0,97.87571
236,0.0,5.7698507
237,775.0,531.80096
238,0.0,23.444645
239,1215.0,454.06265
240,950.0,282.7754
241,0.0,196.85365
242,20.0,28.463552
243,1050.0,660.8737
244,0.0,27.17773
245,0.0,163.89531
246,150.0,115.90116
247,29.0,47.907833
248,30.0,68.923195
249,60.0,171.53369
250,0.0,82.43015
251,60.0,126.77839
252,0.0,44.85496
253,150.0,98.595535
254,450.0,240.68884
255,0.0,170.76155
256,0.0,34.17411
257,0.0,44.587917
258,720.0,399.52893
259,0.0,22.039188
260,0.0,41.427216
261,114.0,102.03499
262,30.0,14.519722
263,990.0,1874.8273
264,744.0,256.9812
265,0.0,92.58837
266,300.0,226.79442
