,Origin,Predict
0,0.0,5.671224
1,0.0,1.0395612
2,20.0,11.674376
3,0.0,0.56546634
4,35.0,30.162388
5,0.0,2.5350816
6,0.0,3.1325767
7,25.0,24.04539
8,17.0,5.04834
9,12.0,15.061934
10,0.0,3.166575
11,0.0,2.924006
12,45.0,32.24215
13,0.0,5.392963
14,15.0,6.648708
15,25.0,23.694885
16,8.0,8.288675
17,0.0,3.134674
18,32.0,18.715942
19,39.7,46.36926
20,0.0,7.445359
21,0.0,1.8745537
22,10.0,8.740513
23,0.0,0.07989724
24,0.0,2.4687564
25,35.0,31.615944
26,17.0,24.430254
27,0.0,0.58140177
28,15.0,7.8183045
29,25.0,24.10874
30,35.0,25.657957
31,0.0,1.1199456
32,0.0,8.770519
33,0.0,3.0234518
34,0.0,6.7881746
35,0.0,7.2399063
36,0.0,0.106964104
37,14.0,11.741778
38,25.0,22.548344
39,0.0,2.0565536
40,22.0,19.408247
41,30.0,26.56204
42,0.0,7.8873363
43,22.7,14.341355
44,15.9,15.499558
45,40.0,46.987877
46,0.0,14.958448
47,0.0,0.55087346
48,22.9,22.910242
49,17.0,15.85444
50,20.5,23.2191
51,30.5,35.038967
52,25.0,21.011192
53,15.0,7.290939
54,8.0,10.082036
55,0.0,0.46344626
56,0.0,0.6036286
57,0.0,6.427617
58,0.0,1.3551444
59,0.0,8.328801
60,0.0,0.8748164
61,16.4,24.339
62,36.0,21.636814
63,30.0,21.907547
64,0.0,16.804583
65,0.0,10.975344
66,0.0,5.856729
67,28.0,23.809738
68,0.0,1.8637954
69,0.0,0.36064816
70,30.0,21.00297
71,0.0,0.53564173
72,30.0,26.267557
73,0.0,4.4177504
74,35.0,39.39948
75,10.0,19.586643
76,0.0,1.7148263
77,15.0,11.767051
78,30.0,31.571932
79,18.2,22.119015
80,20.0,16.351086
81,0.0,0.41589475
82,0.0,4.8086195
83,0.0,6.1857047
84,0.0,0.41984832
85,40.0,20.616781
86,22.0,21.241947
87,0.0,0.037627663
88,22.0,20.1908
89,0.0,3.402204
90,17.0,21.0764
91,10.0,12.462484
92,0.0,13.57213
93,28.2,34.077835
94,20.0,16.01174
95,0.0,0.43585435
96,15.0,16.888083
97,0.0,3.3403695
98,2.0,0.6662877
99,0.0,3.3071463
100,0.0,9.067849
101,0.0,6.844706
102,19.6,19.543486
103,0.0,29.418192
104,20.5,21.849882
105,0.0,1.1931405
106,0.0,2.5823493
107,0.0,7.4597807
108,10.0,0.054930657
109,0.0,1.3274139
110,0.0,5.4974136
111,0.0,5.93943
112,0.0,1.0283144
113,20.0,19.70525
114,0.0,0.5640478
115,22.0,18.557707
116,18.0,9.436394
117,0.0,2.361832
118,0.0,0.8389503
119,15.0,9.426217
120,0.0,0.14754763
121,0.0,5.634211
122,17.0,9.064539
123,0.0,0.62487435
124,0.0,1.247883
125,60.0,78.319695
126,0.0,5.958778
127,25.0,20.442087
128,12.9,12.910057
129,22.0,18.937374
130,0.0,0.85283136
131,0.0,3.1051464
132,17.0,18.750742
133,0.0,0.451217
134,0.0,0.30271417
135,22.0,15.995636
136,0.0,4.80021
137,0.0,0.54453844
