,Origin,Predict
0,10.0,8.947429
1,0.0,5.2755527
2,0.0,0.37078574
3,0.0,3.7719047
4,0.0,2.0866535
5,60.0,34.78212
6,0.0,5.3734922
7,0.0,99.01155
8,50.0,1.11025
9,0.0,4.330768
10,50.0,2.0656884
11,0.0,7.267521
12,0.0,2.9463828
13,0.0,2.8345814
14,0.0,1.5465139
15,0.0,1.6365787
16,90.0,60.86823
17,20.0,0.5106213
18,0.0,5.075205
19,0.0,0.2005468
20,30.0,136.68587
21,0.0,19.3982
22,0.0,1.4764653
23,40.0,70.47736
24,0.0,0.66849995
25,0.0,12.607003
26,0.0,0.08469286
27,0.0,17.12311
28,20.0,126.03729
29,0.0,4.200362
30,0.0,3.0069962
31,0.0,4.237919
32,10.0,114.93855
33,0.0,13.551854
34,0.0,47.532818
35,20.0,37.297077
36,0.0,6.6659408
37,0.0,0.68062526
38,0.0,6.7194653
39,10.0,2.4234753
40,0.0,4.163993
41,0.0,4.5757833
42,0.0,4.4792056
43,0.0,0.37795752
44,0.0,5.1152534
45,100.0,0.35382763
46,0.0,77.673935
47,50.0,30.936172
48,20.0,12.687179
49,120.0,1.912749
50,0.0,0.6371028
51,80.0,10.639541
52,0.0,59.26822
53,0.0,166.74808
54,0.0,0.46929613
55,50.0,22.539543
56,0.0,12.231505
57,0.0,8.005063
58,0.0,49.40182
59,280.0,59.187077
60,0.0,2.1052604
61,0.0,0.9482447
62,0.0,25.118137
63,0.0,0.31570345
64,0.0,7.012199
65,80.0,29.520023
66,0.0,6.075613
67,0.0,4.356742
68,0.0,5.2712755
69,0.0,2.3110974
70,50.0,3.5512967
71,0.0,3.2178543
72,94.0,25.057123
73,0.0,4.095663
74,0.0,4.921549
75,90.0,22.765493
76,0.0,2.636283
77,0.0,2.7518876
78,0.0,8.348768
79,0.0,1.0467298
80,0.0,3.5381505
81,120.0,3.6400669
82,0.0,99.16962
83,0.0,0.33506203
84,0.0,39.22067
85,0.0,0.1557384
86,0.0,1.6262422
87,0.0,7.647678
88,0.0,0.03275883
89,0.0,3.5908177
90,30.0,19.105602
91,0.0,0.06782808
92,0.0,0.32035613
93,0.0,216.46387
94,0.0,6.1500406
95,0.0,5.2469854
96,0.0,2.4327223
97,12.0,1.298168
98,100.0,17.884308
99,0.0,0.7609169
100,0.0,0.30151585
101,0.0,10.325083
102,0.0,3.1295936
103,0.0,1.688248
104,80.0,2.2938993
105,0.0,1.4941944
106,0.0,7.184856
