,Origin,Predict
0,15.0,1.434713
1,0.0,1.4873219
2,0.0,2.3797722
3,15.7,13.987963
4,11.8,10.088768
5,14.5,14.68799
6,21.1,19.893602
7,20.0,0.92553705
8,20.0,20.76826
9,0.0,6.2011557
10,0.0,13.6306925
11,14.2,13.840105
12,5.0,1.469202
13,0.0,10.510802
14,15.0,15.127503
15,18.0,33.826782
16,7.0,8.868376
17,0.0,8.329982
18,0.0,0.05707906
19,25.0,15.73692
20,0.0,0.25612018
21,15.0,15.958556
22,15.0,18.23834
23,13.0,14.787856
24,24.9,23.719978
25,4.0,11.814682
26,0.0,0.24464457
27,0.0,17.857698
28,5.0,14.930854
29,19.4,21.645866
30,19.7,17.62455
31,12.0,15.188969
32,27.2,32.515236
33,23.0,26.842346
34,0.0,0.24552548
35,0.0,2.4740596
36,0.0,12.393367
37,14.0,4.6610694
38,11.0,2.1574428
39,13.0,2.018336
40,13.0,11.5260935
41,0.0,17.730234
42,0.0,11.518581
43,0.0,11.022068
44,20.0,3.2719326
45,7.0,7.726522
46,12.0,11.698996
47,0.0,0.41420528
48,28.0,19.929745
49,18.0,18.540691
50,0.0,1.7170758
51,0.0,7.9559436
52,12.3,11.784931
53,11.0,4.3811326
54,18.0,0.30848888
55,0.0,1.1200558
56,15.0,1.0950081
57,0.0,11.894368
58,17.0,15.26251
59,0.0,2.404345
60,0.0,14.972024
61,13.4,5.221711
62,0.0,16.144714
63,15.0,15.904213
64,27.5,22.632595
65,20.0,8.843508
66,0.0,0.029859468
67,7.0,8.530565
68,12.0,13.389745
69,0.0,0.4152213
70,0.0,14.332405
71,12.0,11.319749
72,0.0,18.380083
73,16.5,15.673823
74,0.0,0.61630154
75,0.0,1.3171461
76,0.0,20.427347
77,0.0,5.9663763
78,17.3,14.141295
79,19.2,1.9532418
80,18.0,12.872739
81,21.5,15.462522
82,0.0,0.13429907
83,8.0,13.695155
84,0.0,18.26338
85,18.0,18.887808
86,13.0,6.360939
87,15.0,15.286531
88,10.0,11.209632
89,0.0,10.711056
90,15.0,12.9960375
91,30.2,22.733856
92,0.0,17.486729
93,0.0,0.06832547
94,0.0,5.1160808
95,16.2,16.088459
96,18.0,17.092981
97,31.0,22.829126
98,0.0,0.17179547
99,13.0,2.3843946
100,24.9,19.26731
101,19.5,16.107752
102,8.0,5.823944
103,25.0,22.847464
104,15.0,8.955577
105,10.0,16.621902
106,0.0,1.334554
107,24.6,13.008957
108,30.4,22.067644
109,0.0,3.776252
110,5.0,6.7776966
111,44.6,32.43785
112,26.5,6.24488
113,11.0,10.05421
114,18.8,18.595478
115,20.0,20.053263
116,19.7,21.958298
117,6.0,7.0912466
118,30.6,30.610056
119,7.1,13.835451
120,14.7,15.625598
121,10.0,8.090708
122,12.0,4.8827114
123,26.7,26.799109
124,19.9,15.060297
125,15.0,3.6636026
126,10.0,4.376405
127,14.0,15.266631
128,0.0,4.608335
129,0.0,0.44255826
130,15.0,12.345546
131,15.0,7.0306544
132,15.0,13.170298
133,0.0,3.8793817
134,0.0,1.9702553
135,15.0,15.142403
136,0.0,3.502534
137,25.3,23.876436
138,18.0,18.794168
139,18.6,16.974777
140,24.2,22.077614
141,18.0,18.150696
142,12.0,0.015185035
143,0.0,16.362646
144,0.0,3.4453163
145,0.0,7.04946
146,0.0,9.394769
147,32.5,29.466728
148,0.0,9.309851
149,0.0,11.139753
150,24.6,15.556189
151,34.0,18.823141
152,10.0,1.6500659
153,0.0,0.6986121
154,6.0,8.459028
155,18.5,14.431658
156,17.7,17.559345
157,10.2,13.194466
158,11.0,7.0969486
159,7.0,4.774278
160,0.0,3.591721
161,0.0,1.2012138
162,9.0,3.4324417
163,13.0,3.8023915
164,15.0,18.677807
165,8.0,4.19542
166,6.8,7.891204
167,12.0,10.073299
168,0.0,4.0399756
169,0.0,0.31973857
170,15.0,23.810005
171,9.0,7.038043
172,12.0,2.8830693
173,16.0,30.406939
174,13.0,23.474619
175,0.0,4.140356
176,15.0,15.316022
177,10.0,8.577918
178,10.0,5.638834
179,20.9,20.041868
180,0.0,0.037466947
181,11.0,7.8955264
182,23.8,18.996908
183,13.0,12.8881
184,0.0,0.28960103
185,11.0,9.29287
186,0.0,0.9325383
187,34.3,32.54352
188,12.0,7.404619
189,15.0,14.817614
190,0.0,0.35400668
191,25.0,29.682146
192,0.0,1.6992913
193,0.0,2.1385744
194,14.5,20.828718
195,17.0,9.601366
196,0.0,10.989481
197,10.0,0.39681748
198,0.0,1.4685192
199,0.0,3.0188003
200,0.0,0.6341782
201,28.2,24.733492
202,0.0,0.45884758
203,0.0,1.6807476
204,25.4,27.984661
205,0.0,5.8713136
206,0.0,15.635535
207,32.3,21.122923
208,0.0,4.433803
209,14.3,2.8606098
210,24.9,26.851059
211,0.0,1.331462
212,15.0,16.70538
213,20.0,18.408129
214,13.0,3.3726919
215,12.2,14.959393
216,6.0,1.875319
217,0.0,0.38137758
218,14.0,17.042099
219,17.0,5.538897
220,30.0,17.612104
221,0.0,0.4541245
222,7.0,6.7608504
223,6.0,5.5206804
224,0.0,1.7429065
225,0.0,1.6297576
226,0.0,2.3025618
227,15.6,13.528564
228,7.0,9.191078
229,15.4,18.296482
230,0.0,11.993285
231,0.0,2.1914718
232,17.6,1.7983713
233,15.0,14.349574
234,15.0,9.385027
235,12.0,9.980867
236,26.0,23.659477
237,13.0,4.7720385
238,0.0,3.504598
239,13.1,15.460495
240,10.0,0.7360116
241,17.0,18.543535
242,0.0,0.08316315
243,13.0,14.775724
244,12.0,14.3157625
245,25.0,16.71238
246,18.0,18.850325
247,0.0,4.479989
248,0.0,1.2764895
249,12.0,6.9404454
250,0.0,0.44735923
251,0.0,0.03201457
