,Origin,Predict
0,35.0,27.184593
1,0.0,0.43224555
2,0.0,1.8770432
3,0.0,11.051746
4,38.0,51.802555
5,0.0,9.701112
6,10.0,17.815378
7,44.2,38.760075
8,0.0,6.2795916
9,0.0,0.34759587
10,25.0,5.48866
11,0.0,6.9664836
12,0.0,4.3481956
13,30.0,25.150696
14,0.0,0.90334684
15,60.0,23.797333
16,20.0,16.929556
17,30.0,15.8012085
18,0.0,5.9044895
19,0.0,2.4459066
20,31.7,25.685293
21,0.0,0.5005087
22,0.0,17.158253
23,0.0,14.1840725
24,22.0,16.982111
25,20.0,5.2842216
26,25.0,25.188257
27,0.0,0.21609932
28,14.0,8.618959
29,0.0,1.5684878
30,0.0,1.2107174
31,42.0,29.098066
32,0.0,5.4675303
33,20.0,4.45359
34,0.0,9.920661
35,0.0,3.3149128
36,0.0,7.548874
37,14.0,9.603561
38,0.0,2.7090592
39,0.0,2.049152
40,6.0,13.702799
41,0.0,1.3531034
42,0.0,0.87737095
43,0.0,0.11539473
44,17.0,3.180631
45,0.0,0.5916278
46,12.0,5.3269606
47,0.0,0.6578042
48,0.0,5.7034917
49,0.0,0.9569598
50,50.0,36.682636
51,0.0,1.634422
52,0.0,0.54555243
53,0.0,1.2162076
54,0.0,3.821277
55,0.0,1.7106158
56,20.0,19.16249
57,0.0,4.2838173
58,39.3,46.96358
59,13.0,9.246543
60,50.0,44.539574
61,0.0,10.4931555
62,0.0,3.574129
63,26.0,21.088024
64,0.0,8.733484
65,0.0,0.93092155
66,31.0,30.094337
67,0.0,37.270588
68,0.0,3.0660794
69,35.0,38.106777
70,17.0,14.940849
71,0.0,1.430072
72,30.0,32.412632
73,0.0,2.8452473
74,20.0,27.340994
75,0.0,1.2497256
76,40.0,45.815792
77,0.0,15.834163
78,68.6,80.76457
79,41.9,33.82497
80,0.0,0.9392171
81,43.1,40.41348
82,0.0,6.8065805
83,0.0,13.707773
84,60.0,64.714905
85,0.0,16.740465
86,0.0,19.57425
87,15.0,31.56926
88,0.0,1.3240677
89,0.0,4.3432236
90,25.0,41.870655
91,18.0,12.072349
92,0.0,3.8244855
93,0.0,0.5558617
94,0.0,5.6801133
95,0.0,2.23382
96,0.0,0.7384414
97,36.0,24.27596
98,27.0,22.464914
99,0.0,0.8449199
100,40.0,35.5237
101,15.0,17.439642
102,56.8,50.0232
103,20.0,8.682812
104,43.8,24.913801
105,0.0,3.7831404
106,0.0,8.38948
107,0.0,2.1247618
108,20.0,27.622688
109,50.0,54.3209
110,0.0,0.5249488
111,15.0,0.50845474
112,0.0,5.61998
113,0.0,1.4558601
114,0.0,2.7494428
115,44.5,33.636932
116,0.0,3.4967391
117,0.0,8.265004
118,20.0,21.45452
119,0.0,2.3823211
120,40.0,40.31483
121,0.0,1.0638022
122,0.0,0.50465673
123,29.8,23.48457
124,0.0,2.9170926
125,0.0,9.396691
126,0.0,1.1738604
127,0.0,22.383478
128,0.0,0.61607474
129,47.0,31.50893
130,26.0,19.099358
131,0.0,4.2790647
132,44.6,40.568913
133,12.0,12.208778
134,0.0,0.39421886
135,0.0,2.444663
136,25.0,13.882878
137,16.2,22.18273
138,0.0,4.943696
139,28.0,30.117077
140,16.0,14.073124
141,15.0,17.61728
142,57.6,64.316765
143,22.0,20.302114
144,49.0,25.863209
145,45.0,23.745304
146,0.0,1.0441171
147,0.0,0.41356888
148,0.0,4.619237
149,15.0,8.855927
150,0.0,2.130335
151,0.0,12.281606
152,60.0,49.42796
153,0.0,2.28712
154,0.0,6.434673
155,31.8,24.850018
156,25.0,13.832312
157,0.0,2.2610536
158,0.0,2.7361734
159,0.0,6.2109666
160,26.4,22.655207
161,30.0,31.3159
162,0.0,8.850128
163,35.0,15.6289425
164,0.0,2.0395248
165,54.6,63.5025
166,0.0,1.2615933
167,12.0,10.422651
168,0.0,2.6934826
169,0.0,22.839325
170,0.0,4.7455463
171,35.0,26.647104
172,0.0,14.387731
173,45.0,24.815382
174,0.0,3.7489343
175,25.0,24.858854
176,0.0,8.835497
177,26.0,22.38732
178,0.0,4.334701
179,31.0,15.406337
180,0.0,15.973297
181,37.0,30.348604
182,35.0,32.59285
183,0.0,2.529478
184,55.0,48.282646
185,21.0,14.605056
186,0.0,2.2375648
187,0.0,2.4005892
188,0.0,0.5056592
189,0.0,3.4315693
190,0.0,2.925898
191,0.0,6.1002502
192,0.0,0.14300472
193,49.2,42.610012
194,0.0,2.6795077
195,47.0,30.906342
196,32.0,30.1306
197,0.0,0.8718883
198,0.0,0.042847224
199,0.0,6.8189225
200,19.6,13.013327
201,0.0,2.1355793
202,25.0,21.759872
203,20.0,9.033151
204,47.7,44.57162
205,25.0,14.576369
206,0.0,2.4565852
207,70.0,39.241623
208,0.0,4.989338
209,0.0,12.578148
210,39.0,46.620083
211,30.4,39.92095
212,0.0,9.40293
213,0.0,3.0341942
214,0.0,5.6278405
215,0.0,4.993426
216,0.0,6.2753005
217,0.0,4.8837166
218,0.0,0.6984755
219,0.0,5.254944
220,60.0,48.58101
221,0.0,4.9025235
222,0.0,2.6378562
223,0.0,0.53738296
224,0.0,3.2178645
225,0.0,1.3401363
226,0.0,13.044392
227,0.0,6.071102
228,0.0,0.12200248
229,0.0,2.3219612
230,0.0,1.7968407
231,0.0,7.5353527
232,0.0,9.22174
233,0.0,8.234209
234,0.0,15.225706
235,0.0,1.3130695
236,35.0,28.271051
237,0.0,2.1523175
238,0.0,4.103673
239,12.0,18.48827
240,48.1,47.97375
241,0.0,7.2132387
242,0.0,0.0047159083
243,42.5,46.309982
244,0.0,1.3428441
245,0.0,3.0831807
246,0.0,2.0171115
