,Origin,Predict
0,0.0,2.6555667
1,10.0,7.4771543
2,0.0,3.2843647
3,10.0,7.1909394
4,0.0,0.72915506
5,6.0,4.1730375
6,14.0,13.836158
7,0.0,1.5965569
8,0.0,0.73522466
9,0.0,2.415607
10,0.0,3.6259618
11,0.0,1.4601978
12,0.0,2.6067932
13,0.0,1.9392004
14,0.0,1.270392
15,16.0,15.76429
16,10.0,12.789573
17,20.0,17.913391
18,12.0,11.722617
19,15.0,17.463182
20,16.0,12.831406
21,0.0,3.2526965
22,16.0,13.299014
23,0.0,1.7878406
24,0.0,1.3318833
25,0.0,2.446082
26,12.0,9.45937
27,0.0,0.30240044
28,0.0,1.9012624
29,15.0,13.344005
