,Origin,Predict
0,0.0,10.294986
1,0.0,141.34966
2,698.0,572.9454
3,120.0,267.37405
4,792.0,495.0965
5,432.0,390.48032
6,0.0,396.6369
7,576.0,305.54034
8,0.0,39.21327
9,528.0,449.81857
10,449.0,275.25955
11,746.0,709.7243
12,0.0,228.50122
13,659.0,1121.3469
14,984.0,1409.8239
15,72.0,198.82193
16,768.0,448.33972
17,1008.0,1055.5321
18,720.0,877.0471
19,510.0,733.9099
20,576.0,470.24118
21,0.0,115.09561
22,216.0,655.9204
23,432.0,1046.4265
24,600.0,491.04532
25,984.0,383.107
26,720.0,496.0475
27,0.0,40.157364
28,928.0,476.41714
29,504.0,966.7865
30,938.0,565.48016
31,300.0,252.7305
32,1081.0,1034.2936
33,0.0,228.80524
34,1310.0,1002.47833
35,792.0,698.4597
36,192.0,870.638
37,867.0,954.6609
38,1392.0,1485.2218
39,1597.0,1102.2251
40,1440.0,973.21783
41,528.0,307.50366
42,1112.0,1215.0608
43,888.0,1103.9379
44,240.0,301.12933
45,408.0,477.1223
46,960.0,487.7397
47,891.0,748.0297
48,528.0,810.4827
49,0.0,377.81573
50,216.0,595.6862
51,672.0,393.1905
52,672.0,342.10574
53,2064.0,1004.9531
54,0.0,149.56186
55,1155.0,1032.8859
56,552.0,642.3376
57,1512.0,2133.9946
58,244.0,610.9849
59,1392.0,846.4559
60,437.0,36.68984
61,812.0,592.449
62,264.0,221.32903
63,912.0,896.567
64,0.0,13.670384
65,1288.0,912.994
66,1032.0,902.8719
67,843.0,1140.5334
68,1080.0,635.4399
69,336.0,156.66011
70,784.0,993.04114
71,0.0,230.02913
72,0.0,0.1907417
73,120.0,101.03361
74,548.0,568.23285
75,1752.0,969.2601
76,840.0,1099.7664
77,350.0,352.83093
78,648.0,215.32068
79,1032.0,1156.4438
80,1056.0,1021.4224
81,0.0,463.8149
82,504.0,802.3412
83,1150.0,1103.8817
84,1311.0,1134.7915
85,696.0,1406.9518
86,744.0,839.4141
87,0.0,168.06798
88,818.0,828.99457
89,0.0,198.74388
90,46.0,19.321178
91,120.0,35.33416
92,864.0,734.8877
93,840.0,294.53845
94,720.0,1067.2325
95,792.0,614.9383
96,318.0,520.1684
97,0.0,988.8865
98,1662.0,988.0243
99,1372.0,1909.0547
100,504.0,1051.0698
101,624.0,479.47668
102,2343.0,1964.8826
103,602.0,306.06403
104,758.0,811.2168
105,520.0,826.24664
106,0.0,151.9615
107,360.0,790.9114
108,769.0,104.01857
109,626.0,622.68835
110,1521.0,636.1657
111,792.0,1228.2189
112,0.0,21.230848
113,888.0,343.42825
114,1474.0,891.78986
115,360.0,277.29578
116,988.0,751.2924
117,594.0,192.0188
118,1728.0,1175.4799
119,0.0,1177.5936
120,0.0,49.300816
121,840.0,1423.0992
122,0.0,161.32956
123,0.0,152.6115
124,264.0,135.60289
125,2088.0,1298.6033
126,0.0,2.1796832
127,816.0,1194.1707
128,912.0,1070.3529
129,0.0,858.4024
130,672.0,364.39114
131,0.0,199.00116
132,554.0,383.99637
133,1416.0,709.00104
134,552.0,152.05794
135,502.0,1504.9817
136,720.0,651.7187
137,0.0,2.7207258
138,0.0,80.44714
139,0.0,1695.3777
140,570.0,673.368
141,1416.0,1350.7391
142,0.0,166.06801
143,504.0,700.6675
144,0.0,221.35716
145,480.0,624.0249
146,288.0,192.37326
147,239.0,215.2677
148,1008.0,857.11707
149,267.0,866.50885
150,528.0,527.2635
151,444.0,510.38354
152,0.0,98.57263
153,480.0,482.85306
154,768.0,810.2006
155,750.0,890.84784
156,960.0,1013.70856
157,0.0,245.66
158,0.0,128.28108
159,888.0,1147.5128
160,360.0,467.90015
161,408.0,788.12274
162,1306.0,834.07007
163,0.0,5.7803226
164,1121.0,1102.3458
165,0.0,29.051157
166,627.0,1092.6603
167,0.0,255.29086
168,0.0,26.015242
169,1583.0,840.19
170,696.0,751.4138
171,242.0,193.39935
172,840.0,355.95084
173,0.0,413.09195
174,384.0,296.47537
175,120.0,101.27621
176,0.0,55.16895
177,1176.0,277.26627
178,0.0,535.64136
179,646.0,1341.874
180,0.0,210.06711
181,264.0,48.79916
182,168.0,339.7127
183,1662.0,1277.3628
184,1128.0,969.98895
185,1492.0,373.85623
186,1215.0,1104.1841
187,0.0,78.9826
188,1416.0,1220.0265
189,0.0,12.251777
190,0.0,6.326801
191,1252.0,586.97406
192,96.0,91.47583
193,1697.0,749.4795
194,444.0,444.1754
195,240.0,1522.6063
196,672.0,553.53705
197,192.0,318.44495
198,0.0,20.001049
199,576.0,715.5482
200,1097.0,643.2967
201,1104.0,789.52515
202,351.0,693.741
203,408.0,135.80865
204,672.0,318.32904
205,1260.0,123.87448
206,0.0,174.02853
207,768.0,427.79697
208,120.0,987.0174
209,624.0,771.8284
210,1227.0,1177.368
211,384.0,692.3531
212,1140.0,1022.037
213,0.0,41.69665
214,338.0,450.7271
215,0.0,55.167126
216,816.0,586.806
217,705.0,410.55157
218,960.0,932.26843
219,0.0,64.2483
220,840.0,1372.0166
221,552.0,409.74933
222,648.0,1184.0499
223,264.0,652.3542
224,968.0,312.97134
225,1275.0,479.76538
226,1752.0,1283.5331
227,0.0,114.45339
228,1276.0,882.1415
229,1368.0,693.1532
230,393.0,1757.7126
231,554.0,817.4699
232,115.0,62.55471
233,168.0,591.0063
234,480.0,672.91895
235,1320.0,627.4801
236,1065.0,1594.0266
237,0.0,243.79271
238,504.0,646.3881
239,866.0,1090.4911
240,1632.0,971.92706
241,648.0,810.32166
242,0.0,68.36987
243,240.0,145.19653
244,528.0,80.911606
245,230.0,588.6025
246,836.0,627.13885
247,698.0,312.40958
248,504.0,311.86258
249,336.0,440.7952
250,2493.0,634.6197
251,0.0,129.96208
252,0.0,95.740295
253,0.0,459.1116
254,120.0,48.35545
255,1439.0,1542.2408
256,0.0,106.90201
257,0.0,249.29906
258,960.0,714.00055
259,360.0,332.8926
260,696.0,666.48737
261,0.0,52.80691
262,120.0,355.01215
263,1272.0,465.65182
264,1339.0,1278.7578
265,1848.0,751.6777
266,1371.0,1341.9089
