,Origin,Predict
0,0.0,3.6030462
1,60.0,24.496483
2,0.0,2.0444908
3,0.0,3.6501317
4,27.0,25.453487
5,0.0,5.8329105
6,244.0,3.103426
7,0.0,21.317564
8,144.0,2.0196075
9,153.0,3.287095
10,0.0,2.311913
11,78.0,163.24544
12,0.0,5.445486
13,60.0,151.83145
14,49.0,28.208864
15,0.0,18.270792
16,8.0,3.500601
17,288.0,98.033775
18,90.0,36.400345
19,0.0,9.233259
20,6.0,5.212846
21,59.0,245.8364
22,4.0,16.929356
23,12.0,8.488826
24,0.0,11.294878
25,2.0,2.0294924
26,0.0,171.41255
27,12.0,34.6689
28,0.0,2.766637
29,0.0,0.7710216
30,0.0,5.402272
31,65.0,9.61202
32,0.0,136.78682
33,0.0,44.07047
34,2.0,4.2631035
35,0.0,8.235575
36,0.0,15.576084
37,0.0,14.670178
38,8.0,61.319294
39,52.0,45.43586
40,42.0,10.495055
41,0.0,2.68898
42,0.0,10.900086
43,18.0,9.200811
44,450.0,0.8575382
45,0.0,5.3969183
46,9.0,30.216116
47,264.0,105.705055
48,5.0,73.244774
49,3.0,4.3035617
50,9.0,13.630696
51,630.0,223.4254
52,46.0,14.720009
53,0.0,3.8251586
54,0.0,0.52192134
55,0.0,12.094817
56,102.0,3.8557947
57,0.0,11.5492115
58,0.0,90.20577
59,21.0,7.178309
60,4.0,5.332695
61,15.0,2.123296
62,0.0,1.9401795
63,0.0,10.190301
64,48.0,229.2804
65,0.0,40.92317
66,0.0,8.1383505
67,2.0,5.5520406
68,6.0,18.676973
69,0.0,24.873276
70,204.0,297.45276
71,159.0,8.481698
72,3.0,26.600275
73,0.0,15.187122
74,0.0,1.1827855
75,228.0,5.0279775
76,0.0,475.61542
77,6.0,0.36841738
78,0.0,7.21906
79,0.0,19.348324
80,0.0,303.13364
81,0.0,11.052402
82,18.0,16.857306
83,48.5,18.774193
84,0.0,129.82625
85,266.0,8.001116
86,0.0,11.233114
87,0.0,16.73761
88,6.0,7.4239454
89,480.0,394.64206
90,726.0,437.5028
91,0.0,30.00281
92,9.0,14.375386
93,0.0,1.0147287
94,0.0,2.0253563
95,12.0,2.2930188
96,60.0,13.935251
97,0.0,11.933354
98,153.0,19.737494
99,0.0,1.7314913
100,0.0,9.5394945
101,150.0,96.227516
102,6.0,15.861843
103,190.0,15.181373
104,0.0,5.9992795
105,60.0,2.5641234
106,4.0,6.9040265
107,12.0,28.743408
108,0.0,124.253525
109,9.0,0.17471053
110,6.0,3.774256
111,0.0,127.698685
112,0.0,3.661272
113,15.0,2.1879
114,46.0,8.951624
115,0.0,50.99845
116,0.0,3.4934497
117,0.0,9.157219
118,0.0,123.58754
119,6.0,79.36512
120,0.0,6.417474
121,60.0,25.961926
122,123.0,30.82309
123,3.0,3.6587281
124,0.0,5.3072834
125,0.0,19.526346
126,60.0,58.039078
127,48.0,111.36005
128,0.0,0.5622256
129,0.0,2.9216042
130,0.0,1.9149702
131,20.0,6.290666
132,6.0,68.51933
133,0.0,3.6541948
134,420.0,31.173676
135,240.0,2.379377
136,6.0,2.4073942
137,0.0,2.7977374
138,240.0,29.955217
139,0.0,24.653625
140,0.0,10.433146
141,24.0,10.092812
142,60.0,44.355354
143,30.0,22.946632
144,60.0,5.696551
145,0.0,3.2032425
146,0.0,10.3044
147,21.0,15.636712
148,0.0,0.052718867
149,21.0,38.524002
150,57.0,12.245774
151,96.0,134.27228
152,0.0,21.394444
153,0.0,6.7360497
154,5.0,0.60823363
155,60.0,77.412926
156,0.0,6.468944
157,6.0,20.318869
158,0.0,7.5434494
159,2.0,15.430103
160,0.0,4.5616026
161,0.0,16.802639
162,600.0,16.523663
163,240.0,344.02368
164,30.0,16.488804
165,0.0,12.190312
166,300.0,335.58392
167,240.0,106.60775
168,154.0,21.101719
