,Origin,Predict
0,13.0,11.625102
1,0.0,14.639753
2,0.0,0.48354322
3,0.0,1.9487734
4,54.0,0.012852551
5,17.0,30.958097
6,0.0,2.105767
7,0.0,0.12987593
8,20.0,0.24203488
9,0.0,0.40709323
10,7.0,7.7023396
11,14.0,7.941355
12,0.0,0.4071154
13,0.0,0.06437076
14,0.0,1.0159168
15,0.0,1.0069664
16,9.5,7.6724825
17,0.0,2.5666885
18,15.0,7.773657
19,0.0,0.24173833
20,0.0,0.77624464
21,0.0,0.8908266
22,8.0,0.4692945
23,8.5,8.773107
24,0.0,1.4899114
25,15.0,17.482582
26,0.0,1.9286741
27,16.7,0.5731975
28,0.0,5.0581264
29,0.0,0.7672631
30,21.2,18.037222
31,0.0,0.034994073
32,0.0,0.04816189
33,0.0,0.5343305
34,0.0,0.97665167
35,0.0,1.4867471
36,0.0,0.5629595
37,0.0,0.61648357
38,14.7,14.17544
39,10.0,1.2703671
40,10.0,11.286148
41,5.5,4.3710794
42,0.0,0.43320134
43,0.0,1.1085758
44,6.0,2.183067
45,0.0,0.59402275
46,6.7,0.8906124
47,0.0,0.3842456
48,0.0,0.69542164
49,0.0,0.87924856
50,23.0,13.142752
51,0.0,3.4475663
52,4.0,7.0894103
53,0.0,0.8352639
54,0.0,1.0909516
55,2.0,6.2999825
56,0.0,0.49950364
57,0.0,0.8600148
58,0.0,1.0768603
59,0.0,1.7193455
60,0.0,1.4287481
61,15.0,7.490944
62,10.0,18.878496
63,0.0,2.7717807
64,0.0,6.4667935
65,0.0,15.644854
66,29.3,29.174046
67,9.0,9.560475
68,0.0,7.542735
69,13.5,6.044668
70,6.0,1.0011928
71,15.5,14.046031
72,0.0,1.03224
73,0.0,0.5731049
74,0.0,2.9405382
75,0.0,0.857134
76,0.0,1.3290546
77,0.0,4.0831566
78,2.0,2.4355977
79,0.0,0.20253025
80,0.0,1.1965806
81,0.0,37.40393
82,11.3,12.444261
83,8.0,11.503289
84,0.0,0.8239369
85,0.0,2.469607
86,0.0,0.52767056
87,0.0,0.2544976
88,0.0,8.896124
89,7.0,9.800119
90,8.3,7.175259
91,0.0,0.66827875
92,0.0,6.9984584
93,0.0,1.0080464
94,0.0,0.7866725
95,0.0,6.093917
96,0.0,7.744911
97,4.0,6.2953176
98,12.0,1.4220989
99,8.2,10.589151
100,4.5,6.4495015
101,25.0,11.279071
102,0.0,1.2493873
103,15.0,16.298067
104,0.0,5.733503
105,25.0,23.817175
106,0.0,2.2156596
107,0.0,0.45560157
108,15.0,0.9916959
109,15.0,1.8658134
110,0.0,2.0002565
111,12.0,13.234019
112,0.0,0.660516
113,4.3,6.927295
114,0.0,0.74895257
115,0.0,0.6931523
116,0.0,2.837427
117,8.5,10.8519
118,17.9,15.03296
119,5.6,7.7625856
120,0.0,0.34139
121,0.0,0.6629374
122,0.0,0.77518314
123,0.0,0.07560193
124,0.0,0.8152609
125,0.0,1.2885838
126,0.0,0.86981505
127,0.0,3.1776912
128,0.0,0.63374984
129,0.0,0.6927442
130,0.0,4.6409802
131,13.5,20.948744
132,12.2,9.62265
133,0.0,2.8341937
134,0.0,0.52258515
135,0.0,1.0535356
136,0.0,0.97160625
137,0.0,5.2908487
138,0.0,11.821589
139,0.0,1.8512698
140,0.0,5.253355
141,0.0,0.6412598
142,10.6,10.390202
143,15.2,14.07683
144,0.0,0.5186594
145,0.0,0.6593127
146,0.0,1.0531312
147,0.0,3.7663019
148,0.0,6.3463416
149,0.0,0.60360205
150,13.0,11.791999
151,0.0,0.70122665
152,0.0,2.077391
153,7.3,8.617505
154,0.0,0.12819903
155,8.0,7.7008514
156,0.0,0.38285515
157,23.0,6.304163
158,0.0,4.850352
159,10.0,11.261705
160,6.0,1.3468013
161,0.0,0.27539667
162,13.5,13.386244
163,0.0,2.0097299
164,0.0,0.5727748
165,0.0,18.423529
166,0.0,3.9573126
167,0.0,0.1447407
168,0.0,0.44643536
169,8.5,0.46227047
170,0.0,10.514942
171,10.0,18.052795
172,10.7,10.680238
173,15.1,13.781988
174,0.0,8.191822
175,10.0,8.426426
176,0.0,0.8245259
177,0.0,10.450544
178,2.0,1.3252956
179,16.0,16.10249
180,0.0,1.7608621
181,0.0,0.74291986
182,0.0,1.1368487
183,0.0,1.1777583
184,10.5,10.487852
185,0.0,1.8563048
186,17.9,15.4807625
187,0.0,0.75172484
188,0.0,0.21968956
189,0.0,0.40799057
190,0.0,1.296154
191,5.0,3.1634688
192,0.0,1.380796
193,0.0,0.49787933
194,2.0,3.9019527
195,0.0,1.289966
196,6.2,8.490195
197,12.8,9.137171
198,0.0,1.0571692
199,4.7,18.085642
200,0.0,0.71664405
201,0.0,0.12945676
