,Origin,Predict
0,85.6,84.28264
1,87.1,98.65933
2,156.0,174.68607
3,54.5,62.426086
4,71.4,66.64237
5,65.0,51.058624
6,0.0,1.8230902
7,54.0,47.367085
8,0.0,26.91214
9,76.7,72.6271
10,90.0,73.88877
11,52.3,61.071796
12,88.0,87.74867
13,89.2,96.4324
14,92.0,78.27693
15,61.8,50.99779
16,78.5,68.45215
17,60.8,71.32479
18,60.6,58.39204
19,65.7,71.96968
20,76.9,76.96539
21,74.5,70.91904
22,105.7,110.839966
23,97.0,104.04378
24,95.0,98.138954
25,51.9,56.201336
26,195.6,172.26436
27,52.8,46.85391
28,85.6,69.41597
29,53.9,51.60222
30,43.1,40.28998
31,0.0,11.7474165
32,88.0,86.53025
33,64.0,44.396793
34,59.0,56.960743
35,78.6,93.26615
36,103.3,101.17878
37,95.4,109.55878
38,97.3,80.33621
39,91.9,96.21239
40,88.5,86.50131
41,66.6,67.65739
42,90.6,97.82742
43,80.5,76.904144
44,84.7,99.19065
45,83.8,63.87808
46,149.6,156.17175
47,103.6,105.37652
48,100.0,98.54045
49,57.7,63.249126
50,112.5,101.85094
51,67.1,63.14015
52,97.2,97.059586
53,72.0,65.240616
54,0.0,7.0766573
55,89.0,82.677155
56,152.1,154.35327
57,53.3,47.624363
58,47.1,45.873936
59,63.3,83.109146
60,0.0,14.972108
61,58.6,74.267624
62,88.1,104.34021
63,64.8,65.22857
64,0.0,3.4204347
65,42.0,47.955425
66,69.0,61.55045
67,108.6,109.83831
68,110.0,90.226204
69,88.8,94.066025
70,0.0,2.045691
71,100.0,102.91426
72,58.6,69.557594
73,79.2,81.241196
74,0.0,4.633727
75,62.1,66.36685
76,90.0,94.04018
77,0.0,35.743134
78,60.5,60.375454
79,47.9,42.72423
80,0.0,27.160248
81,0.0,23.162004
82,91.4,91.97478
83,133.3,135.04477
84,55.0,52.38803
85,91.3,79.507324
86,38.3,45.474068
87,107.0,71.28006
88,64.2,47.3351
89,58.8,52.68049
90,0.0,29.421103
91,88.3,70.85203
92,0.0,12.014677
93,0.0,8.082038
94,98.5,103.59119
95,108.0,88.79768
96,61.7,63.79148
97,0.0,3.1228836
98,38.1,49.86614
99,61.6,63.459774
100,0.0,15.72398
101,95.0,69.71603
102,80.0,72.691376
103,60.0,74.02395
104,73.0,55.30092
105,99.2,108.40434
106,0.0,18.95126
107,0.0,1.5126692
108,133.8,138.69041
109,93.3,99.293274
110,0.0,3.170039
111,69.5,71.169525
112,95.0,89.89396
113,123.3,114.08543
114,110.0,113.52693
115,0.0,26.288425
116,100.0,95.42094
117,60.0,58.682373
118,0.0,11.180932
119,52.0,59.83776
120,77.5,68.87118
121,60.6,64.9771
122,0.0,16.07409
123,80.4,81.768326
124,80.0,82.72385
125,72.9,81.84124
126,95.4,95.95246
127,85.0,57.400066
128,0.0,2.737098
129,87.5,87.40658
130,78.8,71.776825
131,123.3,120.87589
132,0.0,12.35214
133,0.0,0.8572013
134,71.0,72.36226
135,73.3,30.48563
136,60.9,63.069786
137,0.0,10.289416
138,150.0,135.94878
139,83.0,91.48267
140,59.8,54.46663
141,100.0,94.974144
142,36.6,40.70159
143,62.3,74.345474
144,75.0,91.51069
145,86.7,82.59321
146,95.7,96.198746
147,39.2,38.450966
148,0.0,19.55899
149,0.0,25.8047
150,0.0,6.7179484
151,77.5,78.93821
152,73.6,55.465237
153,65.0,73.15516
154,73.8,64.19458
155,63.6,56.93284
156,104.2,103.28409
157,90.0,105.28013
158,155.5,169.04158
159,0.0,22.979717
160,93.3,76.495125
161,0.0,3.7429233
162,150.0,148.06529
163,69.6,81.34761
164,78.3,68.67308
165,85.4,85.42498
166,53.8,53.05512
167,104.0,88.15585
168,125.6,107.987495
169,45.0,50.210842
170,71.7,71.836494
171,71.9,82.673454
172,95.0,100.93591
173,46.3,42.417576
174,59.1,64.47587
175,84.0,88.68723
176,55.9,56.732155
177,0.0,26.217594
178,64.8,62.279984
179,66.7,64.016426
180,71.5,62.241863
181,34.2,57.224945
182,51.4,45.315952
183,83.6,93.4035
184,58.0,59.05454
185,120.3,115.60274
186,70.0,80.529724
187,58.0,52.287647
188,178.1,184.48839
189,65.0,65.16653
190,0.0,12.749705
191,93.9,89.52208
192,84.4,82.5374
193,200.0,199.77031
194,43.0,51.57069
195,75.8,72.77425
196,0.0,12.70712
197,114.0,122.26319
198,80.0,59.090996
199,141.0,74.72813
200,0.0,5.2965994
201,69.4,26.856926
202,91.2,89.72062
203,112.5,121.45174
204,0.0,54.66487
205,0.0,5.2843847
206,0.0,2.91038
207,94.3,87.40026
208,72.0,79.51919
209,73.7,76.18051
210,0.0,6.7515364
211,142.5,138.98552
212,113.8,98.61808
213,60.0,51.514187
214,0.0,24.131453
215,100.0,84.57612
216,71.5,68.26358
217,100.0,103.09152
218,108.9,93.05149
219,74.0,71.844444
220,0.0,38.213158
221,84.4,80.3931
222,70.0,77.17923
223,0.0,27.4665
224,84.2,80.21942
225,72.6,66.731964
226,0.0,10.417489
227,130.0,126.31488
228,97.5,96.392166
229,0.0,4.952178
230,95.2,80.37118
231,0.0,24.367086
232,65.0,68.15713
233,71.4,68.477486
234,59.6,60.309994
235,70.0,46.92153
236,63.6,75.44179
237,87.9,91.59783
238,83.1,58.63802
