,Origin,Predict
0,47.2,36.30068
1,0.0,17.855164
2,0.0,7.8289404
3,51.5,51.917927
4,57.4,59.33543
5,53.3,48.05079
6,61.7,61.525063
7,56.0,60.931034
8,50.8,42.124405
9,0.0,6.170293
10,57.4,56.68949
11,57.2,61.14851
12,53.0,50.28213
13,57.4,62.65566
14,60.1,66.89005
15,57.6,46.573395
16,0.0,0.57841945
17,63.4,60.758526
18,58.4,62.516586
19,57.5,57.98407
20,63.0,58.701817
21,63.1,63.849125
22,58.6,56.802334
23,0.0,2.2005918
24,56.0,55.51683
25,50.7,52.537975
26,52.0,53.813396
27,50.9,54.76469
28,58.4,57.399734
29,63.5,59.816177
