,Origin,Predict
0,0.0,1.1621511
1,0.0,0.09638314
2,0.0,1.8554974
3,0.0,0.32989806
4,60.0,5.0300746
5,0.0,57.074814
6,0.0,0.14053804
7,0.0,2.3350081
8,60.0,63.601734
9,60.0,69.15836
10,0.0,0.6777618
11,0.0,7.2323995
12,60.0,0.3194699
13,0.0,0.32938254
14,0.0,1.4286978
15,60.0,53.894463
16,0.0,0.6648803
17,0.0,1.2393812
18,0.0,1.6438781
19,0.0,0.68102884
20,0.0,45.42691
21,0.0,0.30763337
22,0.0,0.4058877
23,0.0,2.8020408
24,90.0,64.322815
25,60.0,61.186398
26,0.0,0.56423783
27,0.0,0.3402171
28,0.0,3.618767
29,0.0,0.4622874
30,0.0,2.6148245
31,0.0,3.5611837
32,0.0,0.07770407
33,0.0,1.2749436
34,0.0,1.3107555
35,0.0,1.2867427
36,0.0,0.8183081
37,0.0,1.8696812
38,0.0,1.3322846
39,0.0,2.8131225
40,0.0,0.4782172
41,0.0,21.274849
42,0.0,0.35575673
43,0.0,2.5388713
44,0.0,1.0898151
45,60.0,66.773674
46,0.0,0.8144386
47,0.0,0.38730016
48,60.0,56.80368
49,0.0,1.1086768
50,0.0,0.98923415
51,60.0,62.498287
52,0.0,0.02262165
53,60.0,67.40019
54,0.0,1.6580321
55,0.0,0.359052
56,0.0,4.188596
57,0.0,4.120215
58,0.0,25.920067
59,0.0,0.74820256
60,0.0,0.6206177
61,0.0,2.985743
62,60.0,60.14891
63,0.0,1.0480423
64,0.0,62.19904
65,0.0,0.90951186
66,0.0,47.960373
67,0.0,2.2824602
68,60.0,57.957607
69,0.0,16.767584
70,0.0,1.9291545
71,60.0,48.525745
72,60.0,61.813572
73,0.0,1.1194619
74,0.0,1.837559
75,0.0,0.7831249
76,0.0,1.191367
77,60.0,54.421936
78,0.0,2.0085168
79,0.0,0.6535223
80,60.0,0.016602125
81,0.0,1.6124177
82,60.0,1.2177625
83,0.0,0.09675488
84,0.0,0.74516666
85,0.0,0.40549004
86,0.0,4.945304
87,60.0,2.7827106
88,0.0,0.90134096
89,0.0,7.8112707
90,0.0,0.054309808
91,0.0,0.13717294
92,0.0,1.587847
93,0.0,0.3758215
94,0.0,1.6359514
95,0.0,3.0013435
96,0.0,1.3313923
97,0.0,11.969118
98,60.0,59.717083
99,60.0,54.680065
100,0.0,1.5028782
101,0.0,0.29489613
102,0.0,3.712231
103,0.0,0.8389444
104,0.0,0.14862016
105,60.0,58.63906
106,0.0,23.654148
107,60.0,67.94434
108,60.0,7.8762884
109,0.0,0.093903475
110,0.0,0.873176
111,60.0,57.909073
112,0.0,0.49870968
113,60.0,50.437706
114,60.0,71.392365
115,0.0,1.7735108
116,0.0,0.28860474
117,0.0,2.5654442
118,0.0,0.28271514
119,0.0,67.01711
120,0.0,1.5649252
121,60.0,14.794938
122,60.0,51.462456
123,60.0,60.934486
124,0.0,65.23498
125,0.0,0.368696
126,0.0,0.9777758
127,60.0,2.9763772
128,0.0,0.9030989
129,0.0,60.02431
130,0.0,0.60681564
131,0.0,2.2146535
132,0.0,1.7149398
133,0.0,2.7594688
134,0.0,0.2283887
135,60.0,88.08289
136,0.0,0.10499514
137,60.0,82.80501
138,0.0,0.50488687
139,60.0,61.541275
140,0.0,0.36099994
141,0.0,0.26188838
142,60.0,64.95006
143,60.0,21.0189
144,50.0,1.0627728
145,0.0,34.828766
146,0.0,0.30430803
147,0.0,0.33119825
148,0.0,3.5965693
149,0.0,0.7496997
150,0.0,1.2289923
151,0.0,4.6034665
152,0.0,5.075229
153,0.0,0.7717406
154,0.0,0.16388837
155,60.0,56.73721
156,0.0,1.0361549
157,0.0,0.40341035
158,0.0,1.1131159
159,0.0,0.80727196
160,60.0,56.78727
161,60.0,10.933665
162,0.0,1.2777894
163,0.0,0.50040334
164,0.0,0.042948585
