,Origin,Predict
0,10.0,13.357832
1,13.0,11.117051
2,9.2,10.165116
3,16.5,20.1019
4,0.0,6.7453823
5,15.0,12.645541
6,13.0,14.227776
7,15.0,15.119974
8,0.0,10.286206
9,15.0,7.15506
10,18.0,19.985632
11,0.0,15.305876
12,0.0,0.0380191
13,13.0,14.3745165
14,10.0,12.327089
15,18.0,17.485817
16,13.3,13.195406
17,83.0,15.378524
18,0.0,6.424458
19,0.0,0.17695731
20,10.0,9.63031
21,17.0,16.934992
22,0.0,8.319828
23,15.0,13.396886
24,11.0,11.18252
25,0.0,0.8371768
26,16.0,13.238383
27,16.0,19.294237
28,11.5,13.236357
29,15.5,17.86166
30,13.0,3.808631
31,16.0,15.417336
32,15.0,14.170678
33,0.0,1.2066002
34,18.0,15.421458
35,20.0,15.834036
36,12.0,12.188505
37,16.0,14.973695
38,14.5,15.921992
39,16.5,17.386208
40,0.0,1.7962656
41,18.0,15.649031
42,13.0,9.072796
43,13.0,13.140137
44,11.0,13.45564
45,15.0,12.407691
46,15.0,10.296928
47,17.0,18.414131
48,0.0,0.09749991
49,13.0,11.134194
50,12.0,10.510373
51,16.0,15.20148
52,16.0,14.068572
53,13.0,14.428062
54,25.0,24.123207
55,12.0,3.4745045
56,12.5,10.799261
57,0.0,9.891842
58,0.0,0.52690065
59,0.0,0.99855787
60,18.0,2.705491
61,13.0,13.450636
62,0.0,2.357875
63,17.0,19.433512
64,0.0,1.5652915
65,15.5,15.482395
66,21.3,19.321056
67,0.0,0.3273714
68,10.0,8.063534
69,0.0,0.37256515
70,15.0,15.818263
71,0.0,0.5171672
72,13.5,13.767215
73,16.0,16.004343
74,0.0,12.674885
75,16.0,16.020954
76,16.0,16.527864
77,19.0,19.665613
78,17.0,18.198952
79,15.0,15.875283
80,0.0,11.77824
81,10.0,12.121527
82,14.0,13.987477
83,0.0,3.5553172
84,13.0,10.716355
85,18.0,17.217564
86,10.0,13.415699
87,15.0,11.162299
88,15.0,18.079111
89,16.0,17.931944
90,14.0,14.725554
91,10.0,7.6470633
92,15.0,5.6901484
93,15.5,15.406259
94,18.0,19.026958
95,0.0,0.037900843
96,16.0,17.116236
97,18.0,17.884624
98,18.0,17.984224
99,18.0,20.428091
100,15.0,14.498466
101,21.5,21.58933
102,16.0,13.989516
103,12.0,13.55521
104,12.0,5.283531
105,0.0,11.045596
106,16.0,13.847366
107,13.0,12.767213
108,16.0,18.147913
109,0.0,5.861862
110,0.0,4.3544374
111,16.0,13.645971
112,15.0,16.515778
113,10.0,7.165846
114,13.0,10.65236
115,12.0,14.718007
116,13.5,10.081076
117,14.0,14.067425
118,14.0,14.107508
119,10.0,13.574549
120,11.5,11.0100355
121,10.0,9.936417
122,0.0,17.53594
123,14.5,16.43432
124,0.0,0.5598156
125,0.0,10.738985
126,20.0,8.68509
127,22.5,22.68306
128,10.0,11.040649
129,0.0,4.0925236
130,18.0,15.750154
131,10.0,7.7282066
132,12.0,13.572852
133,12.0,11.473579
134,0.0,0.5405302
135,10.0,11.3528385
136,21.0,23.168495
137,14.0,14.195559
138,13.0,11.817006
139,0.0,9.077139
140,20.0,21.88346
141,0.0,0.76736
142,19.0,18.726915
143,16.0,4.8949738
144,12.0,10.972621
145,20.7,22.411068
146,15.0,10.967412
147,15.0,12.040787
148,15.0,14.554766
149,16.0,16.598852
150,0.0,9.008216
151,12.0,11.265744
152,0.0,5.411658
153,20.0,24.241648
154,18.0,8.445113
155,20.0,19.676037
156,0.0,1.8970034
157,0.0,4.529542
158,17.0,15.965745
159,10.0,13.726307
160,0.0,14.29234
161,0.0,14.201754
162,18.0,14.931943
163,13.0,13.062784
164,16.0,18.979954
