,Origin,Predict
0,372.0,3823.0447
1,478.0,2659.0989
2,12900.0,9986.786
3,11100.0,9818.253
4,4240.0,10922.344
5,828.0,6891.0044
6,2610.0,6771.636
7,11330.0,12426.635
8,12580.0,425.78113
9,10770.0,11269.618
10,0.0,423.0581
11,1386.0,3499.032
12,100.0,2688.635
13,0.0,195.12276
14,13865.0,15868.362
15,50.0,16269.953
16,4820.0,14525.93
17,7128.0,7618.7407
18,5500.0,4761.1147
19,0.0,419.06577
20,11795.0,6622.746
21,2724.0,14683.92
22,0.0,30.796783
23,5532.0,6398.4604
24,19074.0,10268.271
25,0.0,2994.5942
26,0.0,9826.247
27,19510.0,1985.3263
28,0.0,434.64938
29,6384.0,9139.471
30,210.0,3404.2158
31,29860.0,22636.354
32,0.0,6784.862
33,2924.0,11382.712
34,18248.0,9461.596
35,26376.0,8548.448
36,0.0,852.29034
37,480.0,3610.0576
38,6397.0,10291.899
39,135.0,2915.1047
40,8484.0,765.13947
41,0.0,925.7409
42,912.0,20124.244
43,15377.0,1881.249
44,0.0,14585.696
45,0.0,1236.2207
46,0.0,782.64996
47,12640.0,7533.042
48,4800.0,49.252613
49,935.0,4137.269
50,13090.0,13744.809
51,0.0,1099.4475
52,0.0,150.93645
53,6710.0,5314.094
54,17158.0,10430.316
55,2180.0,945.83984
56,240.0,10424.223
57,0.0,849.5282
58,0.0,4493.612
59,17400.0,5855.575
60,2640.0,1987.6873
61,22890.0,19473.139
62,3054.0,6538.1104
63,8434.0,5289.2983
64,9550.0,5277.0376
65,18331.0,12284.315
66,8830.0,12215.049
67,504.0,3108.7148
68,5139.0,8256.285
69,0.0,381.6976
70,18500.0,7272.4224
71,0.0,3233.0605
72,288.0,446.58746
73,3086.0,4315.477
74,2816.0,16004.956
75,5330.0,1782.3167
76,1510.0,667.3004
77,0.0,12722.503
78,11900.0,10483.647
79,4560.0,1241.5747
80,3250.0,6391.712
81,2800.0,279.41013
82,0.0,333.15598
83,312.0,7228.396
84,4278.0,179.35873
85,5623.0,21109.76
