,Origin,Predict
0,39.0,44.792202
1,0.0,0.3956869
2,0.0,4.048121
3,44.0,40.83452
4,24.5,27.142965
5,13.0,13.732962
6,49.4,31.110193
7,39.5,47.52805
8,77.5,63.157757
9,0.0,2.4441574
10,97.5,92.27162
11,15.1,4.2570686
12,21.0,25.980928
13,42.0,40.882175
14,18.1,17.06177
15,39.0,26.338388
16,0.0,0.65787214
17,39.7,33.24208
18,11.0,9.790744
19,17.7,18.341383
20,12.7,8.833015
21,17.6,16.080816
22,18.2,22.964365
23,0.0,5.4694314
24,40.7,11.667954
25,0.0,4.876804
26,20.0,16.27785
27,10.7,11.761853
28,14.9,13.753941
29,18.6,24.37135
30,38.2,37.753098
31,9.1,14.840053
32,65.8,66.98153
33,103.0,69.28555
34,20.0,19.832003
35,18.8,21.30115
36,11.8,8.698785
37,9.4,8.369308
38,0.0,37.476112
39,15.3,17.980844
40,30.0,27.747524
41,15.7,18.316261
42,28.7,16.32918
43,16.5,13.722893
44,24.9,25.238747
45,20.6,25.63664
46,13.3,16.540274
47,13.5,16.073042
48,0.0,0.03244257
49,0.0,12.233262
50,33.7,7.561679
51,46.3,33.310425
52,22.0,22.13301
53,13.4,9.166785
54,22.7,17.81316
55,0.0,0.98636866
56,30.6,25.624603
57,27.6,46.570934
58,19.6,21.974863
59,95.5,52.122112
60,11.8,12.847994
61,21.9,26.15382
62,11.1,7.803458
63,37.3,35.55038
64,23.0,23.44079
65,0.0,1.5760912
66,19.6,14.366137
67,0.0,0.5064214
68,48.8,54.22676
69,0.0,47.871887
70,10.3,17.311003
71,16.3,10.9096155
72,19.4,20.842003
73,28.8,35.305187
74,0.0,3.3364336
75,40.5,43.139515
76,14.7,16.288996
77,13.0,17.225761
78,31.3,28.315123
79,22.2,21.880325
80,9.9,15.529003
81,12.7,15.356729
82,37.0,41.480976
83,18.0,22.395975
84,29.8,26.828194
85,20.5,15.584961
86,22.8,24.0755
87,26.0,38.306564
88,30.2,19.653242
89,33.3,30.146204
90,9.9,10.669334
91,26.5,39.39463
92,18.0,21.838863
93,27.0,27.949501
94,16.1,18.637844
95,25.2,24.634815
96,15.0,16.472858
97,13.0,15.199451
98,33.0,40.472195
99,19.7,18.625212
100,28.5,19.90599
101,91.0,39.967228
102,17.3,12.550214
103,63.0,68.6459
104,0.0,0.2806212
105,0.0,0.6391603
106,35.3,4.600741
107,16.7,9.159241
108,46.5,44.852
109,16.4,19.970253
110,14.8,18.915659
111,12.8,20.371786
112,20.3,24.313217
113,42.1,38.445663
114,11.4,14.740481
115,17.5,21.101612
116,45.0,31.641287
117,11.5,10.308794
118,25.5,25.392729
119,28.3,27.203756
120,21.8,23.390984
121,25.6,28.482536
122,11.2,7.497396
123,15.8,15.40938
124,21.2,8.929099
125,39.0,46.89665
126,14.7,16.504356
127,0.0,0.7618955
128,14.1,14.044704
129,16.6,23.519472
130,19.0,15.718176
131,13.1,12.132047
132,0.0,20.928871
133,36.7,39.23892
134,0.0,30.570616
135,45.7,40.98224
136,24.2,23.541983
137,20.0,22.383335
138,35.5,29.134497
139,0.0,20.85867
140,12.9,15.161538
141,25.0,13.600848
142,65.3,59.48717
143,20.0,15.274171
144,26.0,32.339653
145,0.0,3.3626885
146,14.0,22.549446
