,Origin,Predict
0,48.0,0.55985284
1,0.0,16.38629
2,20.0,39.64496
3,0.0,21.938597
4,48.0,39.20489
5,48.0,43.63719
6,48.0,38.1778
7,48.0,38.012337
8,48.0,53.54046
9,30.0,55.81876
10,58.0,49.647114
11,70.0,72.84096
12,18.0,22.202099
13,18.0,24.855045
14,0.0,5.745176
15,80.0,67.82435
16,48.0,57.50831
17,48.0,51.47811
18,48.0,45.29699
19,48.0,48.39017
20,48.0,44.18084
21,48.0,56.64099
22,0.0,2.6471298
23,70.0,39.553005
24,18.0,4.4582577
25,66.0,58.247486
26,58.0,95.68019
27,86.0,65.81316
28,48.0,47.239803
29,58.0,8.914088
30,150.0,16.301882
31,58.0,36.064404
32,48.0,49.42775
33,0.0,0.65326554
34,48.0,78.68713
35,18.0,21.15107
36,48.0,47.90084
37,48.0,42.764675
38,58.0,36.868763
39,48.0,41.20048
40,48.0,35.11304
41,58.0,54.027245
42,68.0,79.65881
43,0.0,8.094204
44,0.0,38.63181
45,200.0,87.26905
46,58.0,78.73201
47,48.0,48.61997
48,0.0,27.57369
49,18.0,16.58463
50,0.0,0.48917985
51,0.0,0.594865
52,48.0,60.95671
53,0.0,56.159527
54,0.0,0.8231963
55,0.0,196.18167
56,257.0,144.14789
57,58.0,50.865772
58,48.0,45.96788
59,58.0,69.58408
60,48.0,73.30128
61,48.0,53.14364
62,18.0,15.771346
63,18.0,15.799941
64,48.0,42.20308
65,48.0,37.49604
66,58.0,30.579695
67,58.0,62.183575
68,48.0,52.81732
69,48.0,45.98846
70,48.0,23.871689
71,48.0,41.391464
72,58.0,10.614571
73,48.0,51.473396
74,48.0,54.338528
75,0.0,1.2710577
76,68.0,22.490013
77,18.0,18.199833
78,38.0,45.776634
79,0.0,4.2731066
80,48.0,49.26418
81,68.0,62.227627
82,18.0,20.78644
83,48.0,50.14191
84,48.0,35.536156
85,56.0,56.47496
86,18.0,2.5896246
87,0.0,1.8719867
88,18.0,16.083326
89,48.0,46.927273
90,48.0,56.708675
91,48.0,46.47536
92,48.0,48.061256
93,58.0,63.14575
