,Origin,Predict
0,0.0,59.251606
1,1685.0,1574.559
2,3598.0,97.079636
3,2375.0,76.66295
4,12115.0,2455.2256
5,31536.0,32250.223
6,8552.0,17312.598
7,614.0,7.560191
8,6835.0,13429.081
9,2417.0,1291.2236
10,720.0,322.16922
11,10224.0,11955.847
12,3120.0,1538.9156
13,4766.0,7521.2207
14,193.0,1960.2971
15,0.0,1688.1549
16,3250.0,1162.8618
17,0.0,734.5404
18,6867.0,948.59753
19,4030.0,1570.8972
20,5713.0,11396.986
21,0.0,126.862564
22,6837.0,6967.647
23,336.0,287.789
24,9670.0,4132.783
25,2246.0,596.1754
26,9634.0,3479.1633
27,372.0,14.97644
28,8529.0,917.10645
29,0.0,149.27397
30,28.0,2837.7278
31,0.0,5293.917
32,1670.0,2550.4011
33,18813.0,15495.674
34,0.0,440.6104
35,0.0,1332.0417
36,28791.0,23438.025
37,0.0,262.23877
38,954.0,1970.085
39,5625.0,4359.1206
40,9710.0,15567.547
41,3864.0,719.22046
42,1308.0,3106.3098
43,5680.0,3456.229
44,1828.0,235.51492
45,1496.0,2559.6494
46,0.0,115.85279
47,0.0,904.36
48,0.0,996.2783
49,14023.0,10099.481
50,18576.0,15309.532
51,0.0,547.16064
52,5348.0,4760.564
53,1200.0,3509.8857
54,2138.0,6814.8345
55,0.0,7477.127
56,5244.0,2834.3328
57,8760.0,6820.599
58,20239.0,13460.056
59,1986.0,9904.867
60,0.0,613.79
61,2676.0,3366.9663
62,1412.0,2163.5845
63,0.0,588.86365
64,222.0,653.8113
65,3275.0,6099.879
66,3087.0,13498.953
67,4737.0,2777.7847
68,0.0,399.52304
69,7047.0,9311.794
70,650.0,153.38097
71,12377.0,6044.5137
72,0.0,470.47894
73,7953.0,7075.97
74,530.0,186.81383
75,2165.0,1676.743
76,0.0,36.534607
77,660.0,867.9029
78,0.0,3119.9346
79,3540.0,3901.3801
80,2198.0,2134.198
81,0.0,649.5056
82,0.0,1063.1552
83,2305.0,2124.3718
84,1155.0,1252.2909
85,1532.0,4608.723
86,3338.0,1060.0038
87,1404.0,792.3153
88,10730.0,13055.583
89,10473.0,5228.4385
