,Origin,Predict
0,42.0,14.062332
1,0.0,0.28092355
2,0.0,4.6724153
3,0.0,0.06909841
4,0.0,0.11915852
5,0.0,0.59487355
6,0.0,0.14948906
7,0.0,0.9982868
8,0.0,41.614876
9,0.0,0.7392466
10,0.0,1.4021603
11,0.0,0.42434645
12,0.0,0.5362547
13,0.0,0.30067056
14,27.0,0.40096647
15,38.0,33.325047
16,0.0,0.36447647
17,0.0,0.07305507
18,46.0,0.17114227
19,0.0,1.4655453
20,0.0,0.18811917
21,0.0,0.10900995
22,0.0,3.5385966
23,40.0,39.221394
24,0.0,37.075462
25,40.0,0.7639478
26,12.0,0.058745977
27,0.0,0.18036622
28,0.0,2.8276553
29,0.0,0.16588171
30,0.0,0.27982625
31,42.0,32.724445
32,0.0,7.0728683
33,0.0,0.5637579
34,32.0,36.096073
35,0.0,0.5538284
36,0.0,0.13914794
37,0.0,0.6987195
38,0.0,0.24629638
39,0.0,0.53445673
40,0.0,35.214546
41,0.0,0.1068883
42,0.0,0.087824225
43,38.0,0.005238299
44,0.0,0.9229096
45,0.0,0.6283496
46,0.0,0.7393912
47,42.0,0.6911863
48,0.0,0.9527155
49,0.0,0.14814498
50,0.0,0.21088019
51,0.0,19.327093
52,0.0,0.2001476
53,36.0,24.137089
54,0.0,2.9190938
55,40.0,44.362156
56,0.0,0.2079093
57,0.0,37.29237
58,0.0,0.044616986
59,0.0,1.1353873
60,0.0,1.3018938
61,0.0,0.33408192
62,0.0,0.37205395
63,0.0,0.84762347
64,0.0,0.58957344
65,18.0,6.40755
66,20.0,5.389586
67,15.0,14.123585
68,0.0,4.338625
69,0.0,0.029923202
70,42.0,46.66154
71,0.0,0.03313859
72,0.0,0.5033962
73,0.0,0.53670263
74,0.0,0.6061824
75,50.0,44.18525
76,33.0,35.117805
77,0.0,0.3660015
78,0.0,0.83780944
79,0.0,0.33851337
80,0.0,1.210026
81,0.0,0.46493894
82,0.0,0.663176
83,0.0,0.06956347
84,0.0,0.6448245
85,0.0,0.10441139
86,40.0,40.799652
87,0.0,8.506455
88,38.0,39.832424
89,31.5,32.778774
90,42.0,42.304924
91,0.0,0.5979874
92,0.0,0.5547682
93,0.0,0.10549169
94,0.0,0.65749115
95,0.0,2.8446746
96,0.0,0.72317725
97,0.0,0.22968498
98,0.0,0.014833943
99,0.0,5.1654925
100,46.0,29.524279
101,0.0,0.25144196
102,0.0,1.0214407
103,15.0,3.3747623
104,0.0,0.30679533
105,0.0,0.17211553
106,0.0,0.40238473
107,0.0,0.45981875
108,0.0,0.83580184
109,0.0,0.53318757
110,0.0,1.0084614
111,0.0,0.8339312
112,0.0,0.11127297
113,0.0,0.6798052
114,0.0,0.3787561
115,60.8,49.928688
116,0.0,0.36117154
117,0.0,0.42508987
118,0.0,0.3122419
119,0.0,1.9935472
120,0.0,0.9877682
121,0.0,0.072067805
122,0.0,0.330184
123,0.0,0.37680283
124,40.0,54.203465
125,41.0,2.0288484
126,0.0,0.61983573
127,0.0,0.3255482
128,0.0,0.11250997
129,0.0,0.4793062
130,0.0,0.47993284
131,0.0,0.38119537
132,0.0,14.931428
133,0.0,47.302002
134,0.0,0.33173326
135,0.0,0.7023104
136,35.0,2.2440238
137,0.0,39.25843
138,40.0,31.67294
139,0.0,0.47140798
140,0.0,0.26893994
141,20.0,0.113997065
142,0.0,0.2771576
143,0.0,0.48322323
144,0.0,0.08092718
145,0.0,0.19097109
146,0.0,1.2356857
147,45.0,37.175274
148,0.0,0.48376787
149,0.0,1.9094018
150,0.0,0.43472373
151,0.0,0.31483918
152,0.0,31.484262
153,0.0,14.218406
154,0.0,0.42165422
155,0.0,0.20910826
156,0.0,3.9658003
157,0.0,0.37422776
158,0.0,0.85974765
159,0.0,0.17433672
160,0.0,1.7461534
161,0.0,0.27369007
162,0.0,0.493915
163,42.0,33.15787
164,0.0,8.6847
165,43.0,32.663357
166,0.0,1.4346917
167,0.0,0.5405806
168,0.0,0.20907614
169,0.0,0.19262137
170,0.0,0.178021
171,0.0,0.24648078
172,0.0,0.027960401
173,0.0,0.5762842
174,0.0,1.5204545
175,35.0,1.0523734
176,0.0,0.1673009
177,0.0,22.913048
178,0.0,35.773148
179,0.0,1.0053283
180,0.0,0.224173
181,0.0,1.3567034
182,0.0,1.1554415
183,0.0,0.10806984
184,0.0,0.21867833
185,0.0,0.76137346
186,0.0,0.7224354
187,0.0,31.032806
188,0.0,0.6384229
189,0.0,0.38658032
190,0.0,2.1205592
191,0.0,1.6994848
192,0.0,0.7907877
193,0.0,0.25493956
194,0.0,0.3441149
195,0.0,28.306938
196,0.0,0.17436998
197,0.0,0.46279266
198,0.0,0.54065585
199,0.0,0.4592268
200,0.0,1.8961699
201,0.0,0.6655238
202,0.0,0.36578128
203,0.0,0.38945428
204,0.0,0.44137788
