,Origin,Predict
0,24.6,24.064955
1,25.3,25.729204
2,0.0,0.67172843
3,23.0,23.055597
4,26.0,22.400768
5,24.7,27.2954
6,25.5,22.559458
7,24.1,27.796034
8,26.0,31.137281
9,0.0,1.2559975
10,26.9,30.343203
11,35.2,33.57637
12,41.8,38.596203
13,38.6,39.09155
14,32.6,33.74468
15,40.0,33.764435
16,0.0,1.981973
17,40.3,40.430588
18,35.2,38.185444
19,29.4,23.521826
20,0.0,12.759672
21,30.5,25.366623
22,37.8,38.267673
23,0.0,6.241487
24,38.7,36.608356
25,39.3,36.67477
26,33.8,34.683666
27,27.9,28.190891
28,29.3,30.899744
29,39.3,36.81174
