,Origin,Predict
0,0.0,7.0612073
1,0.0,1.7092507
2,45.0,6.065635
3,0.0,5.412508
4,26.0,25.745934
5,87.0,7.862928
6,14.0,31.182325
7,0.0,29.879911
8,41.0,192.40411
9,345.0,285.5897
10,0.0,1.9254355
11,115.0,0.7290909
12,0.0,2.2425792
13,0.0,2.1163418
14,59.0,33.68599
15,59.0,20.224234
16,0.0,13.355659
17,20.0,7.955175
18,0.0,4.904778
19,0.0,8.730412
20,30.0,14.43178
21,55.0,70.95039
22,38.0,31.381445
23,79.0,30.851147
24,0.0,22.965765
25,10.0,54.766174
26,18.0,15.172931
27,114.0,63.592785
28,146.0,366.77847
29,34.0,26.998575
30,0.0,1.649792
31,175.0,164.4184
32,12.0,6.6434193
33,11.0,14.52186
34,53.0,50.58578
35,386.0,345.15103
36,0.0,16.245806
37,0.0,10.000679
38,398.0,3.7443602
39,0.0,0.06876186
40,56.0,11.501624
41,12.0,77.3533
42,201.0,208.21205
43,0.0,1.749001
44,12.0,45.682743
45,70.0,20.105171
46,10.0,18.660273
47,275.0,222.78297
48,41.0,42.942017
49,0.0,14.999636
50,83.0,32.93295
51,36.0,24.899767
52,121.0,238.34882
53,0.0,20.321142
54,152.0,14.9400015
55,88.0,68.38328
56,77.0,94.09914
57,0.0,8.862289
58,3.0,12.483849
59,200.0,188.79742
60,106.0,100.539444
61,350.0,221.79315
62,0.0,6.5532584
63,395.0,320.68475
64,0.0,41.01232
65,30.0,64.72567
66,86.0,81.58004
67,0.0,3.373477
68,104.0,127.59406
69,117.0,94.4978
70,0.0,4.3389845
71,394.0,450.69925
72,0.0,31.058397
73,374.0,567.3482
74,0.0,1.224405
75,281.0,110.96589
76,252.0,229.24449
77,0.0,20.755032
78,157.0,151.74596
79,245.0,185.60727
80,0.0,12.498024
81,61.0,10.295576
82,211.0,223.14378
83,24.0,11.272276
84,0.0,3.7589111
85,0.0,1.1304353
86,48.0,36.926178
87,0.0,0.2016382
88,0.0,48.879925
89,499.0,44.931683
90,0.0,38.26205
91,208.0,53.63874
92,109.0,133.62938
93,135.0,66.329445
94,190.0,266.97287
95,215.0,341.23602
96,96.0,29.95088
97,0.0,2.733533
98,0.0,43.237072
99,54.0,0.05751357
100,15.0,0.7920997
101,10.0,32.83613
102,0.0,31.545454
103,68.0,56.037952
104,17.0,22.832672
105,71.0,21.568146
106,310.0,227.61665
107,141.0,41.358307
108,84.0,122.188545
109,31.0,12.334715
110,110.0,228.82643
111,493.0,552.7163
112,18.0,0.7713161
113,104.0,74.95736
114,87.0,93.62455
115,380.0,363.96838
116,15.0,2.830455
117,0.0,4.501189
118,329.0,284.46494
119,0.0,0.42887312
120,0.0,23.181822
121,296.0,195.59526
122,179.0,142.41127
123,73.0,87.9129
124,0.0,18.666727
125,93.0,42.781605
126,0.0,2.7886777
127,212.0,91.14556
128,0.0,4.5556583
129,0.0,7.588567
130,54.0,25.629667
131,18.0,100.91572
132,0.0,11.375266
133,0.0,7.211032
134,782.0,438.82343
135,72.0,10.029743
136,137.0,168.51816
137,24.0,38.922478
138,381.0,267.4601
139,542.0,447.1297
140,271.0,134.24168
141,176.0,14.472346
142,10.0,17.621857
143,0.0,79.56006
