,Origin,Predict
0,0.0,3.0433729
1,0.0,1.574674
2,0.0,7.4912224
3,0.0,77.0408
4,0.0,46.179676
5,64.0,47.35999
6,0.0,5.350733
7,0.0,10.762866
8,0.0,2.1604674
9,0.0,1.767005
10,0.0,35.065414
11,18.0,67.11541
12,42.0,20.343285
13,0.0,1.5977827
14,0.0,12.041949
15,0.0,15.224388
16,50.0,33.500713
17,0.0,13.495424
18,18.0,26.395948
19,0.0,7.356553
20,0.0,8.307094
21,30.0,60.212784
22,0.0,0.95624155
23,18.0,17.902359
24,0.0,78.48941
25,18.0,3.3363657
26,0.0,7.3661346
27,0.0,2.2161565
28,18.0,3.298228
29,0.0,11.742692
30,0.0,20.33101
31,0.0,4.810336
32,18.0,23.799162
33,0.0,2.2687926
34,18.0,1.8776857
35,18.0,28.400402
36,48.0,19.557034
37,18.0,11.296046
38,0.0,12.294434
39,18.0,8.136599
40,0.0,14.340809
41,100.0,73.57948
42,18.0,9.605506
43,0.0,183.78809
44,18.0,18.068459
45,0.0,13.743382
46,0.0,3.2132378
47,0.0,12.952009
48,18.0,6.961867
49,0.0,12.718487
50,18.0,37.103436
51,0.0,13.036485
52,18.0,7.821617
53,18.0,20.969978
54,18.0,2.37424
55,18.0,8.558984
56,18.0,12.628582
57,18.0,6.9781528
58,36.0,101.07301
59,18.0,11.503047
60,0.0,4.581728
61,18.0,0.7780864
62,18.0,5.1215615
63,18.0,31.299604
64,18.0,12.255105
65,18.0,20.862095
66,18.0,22.114178
67,0.0,21.217222
68,18.0,12.994419
69,30.0,6.9590573
70,18.0,40.94758
71,0.0,0.69538265
72,0.0,96.58925
73,0.0,8.812561
74,0.0,4.909548
75,0.0,3.143511
76,18.0,18.594557
77,50.0,63.76713
78,0.0,23.639004
79,26.0,9.428386
80,0.0,0.8629746
81,48.0,37.403465
82,18.0,26.020077
83,18.0,7.7658296
84,18.0,4.2952127
85,0.0,92.52896
86,0.0,12.980127
87,100.0,66.79879
88,0.0,3.2084181
89,78.0,14.456496
90,0.0,2.4385674
91,62.0,90.03976
92,30.0,55.25017
93,52.0,3.880573
94,0.0,13.154705
95,0.0,12.1737995
96,0.0,8.326171
97,54.0,11.240457
98,0.0,2.8213732
99,0.0,1.983072
100,66.0,33.794342
101,30.0,63.56802
102,0.0,8.063023
103,0.0,4.412933
104,0.0,6.1457877
105,18.0,6.0596213
106,0.0,0.89350975
107,18.0,6.643357
108,0.0,5.460149
109,30.0,14.012823
110,18.0,17.095142
111,0.0,2.3428442
112,0.0,1.2840745
113,18.0,6.833359
114,460.0,37.40021
115,18.0,5.724689
116,0.0,3.7828271
117,80.0,80.23032
118,18.0,41.407806
119,18.0,3.666741
120,0.0,3.1980808
121,18.0,6.5826902
122,0.0,8.714303
123,24.0,22.745537
124,0.0,40.457195
125,0.0,29.770416
126,0.0,19.073446
127,0.0,70.43701
128,18.0,10.97674
129,0.0,8.686394
130,0.0,7.9619737
131,0.0,19.25882
132,18.0,17.379913
133,0.0,6.116135
134,0.0,23.449137
135,18.0,11.226622
136,0.0,0.3160758
137,78.0,45.967888
138,0.0,7.464759
139,0.0,13.409906
140,18.0,144.85065
141,0.0,18.526787
142,0.0,15.576865
143,0.0,0.87893844
144,0.0,3.5026433
145,18.0,17.314865
146,18.0,0.65306216
