,Origin,Predict
0,36.5,29.538946
1,15.0,18.44663
2,20.0,24.048143
3,24.0,37.796192
4,0.0,7.567367
5,21.3,17.53633
6,39.5,30.547007
7,33.0,24.472727
8,0.0,14.452294
9,21.0,30.115808
10,26.5,28.014671
11,0.0,0.43845662
12,0.0,22.432123
13,0.0,1.9064311
14,37.0,36.061855
15,12.0,13.234977
16,0.0,1.5199282
17,20.0,25.648329
18,0.0,22.552633
19,22.0,25.497766
20,0.0,4.509636
21,26.0,56.953777
22,48.0,48.030476
23,20.0,15.35892
24,33.0,20.045097
25,0.0,1.3529767
26,39.5,37.543434
27,27.0,16.647667
28,38.0,30.62259
29,30.0,25.113857
30,66.0,72.24018
31,49.0,23.117214
32,0.0,3.1291413
33,16.0,19.23943
34,25.0,0.36588
35,0.0,8.185093
36,30.0,40.431522
37,24.0,20.250078
38,27.0,15.40445
39,24.5,14.903149
40,26.0,2.5632222
41,0.0,29.001804
42,26.0,29.865946
43,0.0,32.30054
44,30.0,38.983875
45,28.0,28.64592
46,0.0,3.3562315
47,0.0,0.5795758
48,23.0,17.559729
49,0.0,1.406632
50,19.3,19.757326
51,25.5,25.681076
52,21.0,21.626955
53,30.5,32.013416
54,18.0,17.514193
55,30.0,21.12303
56,0.0,2.0665274
57,0.0,1.8224947
58,25.0,37.505703
59,22.5,12.932454
60,15.0,15.914011
61,23.5,23.428865
62,36.3,29.277092
63,20.0,22.803965
64,46.7,49.288326
65,26.0,15.644021
66,24.5,18.940159
67,58.0,36.08224
68,0.0,19.336905
69,20.0,18.506876
70,29.0,19.162952
71,40.0,34.55778
72,24.0,20.55357
73,0.0,54.97138
74,70.0,65.44313
75,0.0,25.935724
76,38.5,37.00287
77,20.0,43.844395
78,30.0,61.72159
79,0.0,16.070543
80,15.0,3.313262
81,25.5,19.432987
82,18.7,30.790962
83,24.0,37.076244
84,0.0,0.6341464
85,27.0,25.225456
86,25.0,27.027552
87,18.3,20.760494
88,0.0,14.434873
89,81.0,82.615654
90,26.0,21.990143
91,20.0,35.45449
92,28.0,30.014992
93,0.0,3.2450955
94,37.0,37.96029
95,26.0,29.309687
96,25.0,25.525002
97,34.5,37.23487
98,50.0,54.335377
99,15.0,20.251827
100,52.0,52.113552
101,18.0,28.030657
102,27.7,23.072126
103,25.0,10.282696
104,50.0,36.9244
105,0.0,11.269154
106,52.0,49.43417
107,37.0,46.229023
108,20.0,19.108513
109,0.0,5.1481676
110,32.5,39.806572
111,33.0,35.624424
112,36.0,0.78044754
113,26.0,40.54264
114,21.2,22.004078
115,0.0,18.72055
116,32.0,29.087023
117,0.0,60.000767
118,30.0,24.003063
119,23.3,14.995233
120,18.0,38.996025
121,0.0,0.3223386
122,28.0,9.397145
123,18.0,12.863463
124,34.3,21.195047
125,14.0,27.91187
126,0.0,1.4090872
127,0.0,3.7951474
128,0.0,0.46627238
129,20.7,22.25118
130,0.0,7.4261966
131,33.0,22.799988
132,0.0,41.717285
133,37.5,41.85595
134,46.0,52.261986
135,0.0,0.1322337
136,20.0,37.314327
137,19.0,15.102669
138,23.5,28.3458
139,18.0,16.48598
140,37.5,35.227093
141,25.0,43.9169
142,22.0,18.959871
143,28.0,18.054253
144,51.5,44.110203
145,90.0,94.3577
146,0.0,3.4088275
147,57.7,40.624393
148,19.3,29.176523
149,0.0,0.47377416
150,16.0,9.210887
151,41.0,32.360878
152,50.7,38.100315
153,24.5,11.276027
154,48.5,57.487823
155,39.0,44.349194
156,27.0,24.565554
157,25.5,20.109472
158,0.0,50.846806
159,54.0,41.79465
160,32.0,32.872837
161,33.0,32.978493
162,13.0,17.09737
163,27.0,28.278429
164,52.5,51.914803
165,18.0,2.9268782
166,0.0,0.2319528
167,47.5,41.267464
168,46.0,25.82255
169,0.0,8.887514
170,40.0,35.868156
171,42.0,46.090855
172,0.0,0.32108265
173,19.5,31.630365
174,16.5,15.377141
175,0.0,15.391213
176,28.0,17.593197
177,30.0,24.057291
178,40.0,38.109634
179,0.0,0.9557784
180,25.0,16.225824
181,35.5,26.514172
182,35.0,34.163956
183,28.0,29.461218
184,21.5,31.514925
185,0.0,4.6674347
186,20.0,18.369497
187,0.0,29.525911
188,14.7,16.53262
189,94.0,87.07363
190,47.0,29.277933
191,0.0,0.3542169
192,26.0,34.473484
193,47.0,49.73101
194,0.0,4.220307
195,0.0,0.22286442
196,0.0,0.7654271
197,27.5,29.040997
198,16.5,0.07314866
199,21.5,20.692413
200,36.0,38.988194
201,15.0,18.93957
202,13.0,21.347183
203,0.0,0.63694125
204,41.0,34.89804
205,30.0,26.831842
206,19.3,15.652279
207,17.5,11.029653
208,35.0,33.849934
209,38.0,28.15935
210,37.0,26.492401
211,20.0,3.0089128
212,71.7,58.883747
213,0.0,0.57293
214,20.0,39.220028
215,32.0,33.944824
216,28.0,40.12401
217,42.0,43.346375
218,0.0,2.3171442
219,36.0,30.899158
220,0.0,2.3134494
221,0.0,1.7590572
222,18.0,16.263145
223,19.0,8.57577
224,30.5,30.500837
225,18.3,14.961457
226,27.0,40.522778
227,0.0,1.086234
228,17.3,19.004023
229,20.5,13.163389
230,0.0,0.5291684
231,0.0,29.255882
232,23.5,7.7125187
233,0.0,5.7348003
234,0.0,2.309582
235,31.0,35.342278
236,15.0,17.69801
237,21.3,14.820712
238,0.0,30.5686
239,0.0,2.801391
240,28.0,39.58797
241,20.0,25.11107
242,20.5,18.412477
243,0.0,22.881628
244,34.0,29.430227
245,0.0,0.6785564
246,17.0,12.122325
247,21.5,15.26397
248,26.0,23.112103
249,43.0,14.349638
250,42.0,32.69365
251,26.0,31.2269
252,15.0,17.165272
253,38.0,47.47628
254,38.3,36.767174
255,18.0,20.84076
256,32.0,33.24431
257,42.0,21.852396
258,28.0,27.72875
259,27.5,30.602268
260,19.7,15.9234085
261,26.0,24.035381
