,Origin,Predict
0,0.0,14.4664755
1,65.0,43.474327
2,75.0,44.707844
3,51.0,47.188595
4,32.0,57.872276
5,42.5,46.174282
6,37.2,11.059029
7,40.0,37.851
8,32.5,19.610003
9,40.0,39.569653
10,45.0,37.10211
11,45.5,45.179703
12,38.0,35.760258
13,0.0,9.431814
14,28.0,29.326742
15,42.0,42.607265
16,35.5,29.927921
17,0.0,3.9742894
18,55.5,49.482315
19,29.0,3.1104603
20,41.0,43.673523
21,35.4,45.23194
22,43.0,36.6647
23,28.0,40.490616
24,60.0,56.92162
25,65.0,51.52882
26,0.0,4.7665186
27,40.0,9.873279
28,40.0,44.30538
29,40.0,35.3265
30,42.3,39.03452
31,45.0,49.136353
32,36.0,36.570854
33,39.0,39.677692
34,35.0,23.531696
35,13.0,34.049633
36,35.0,34.332466
37,70.0,70.53212
38,0.0,1.6915942
39,31.0,30.972185
40,36.0,38.13481
41,53.0,4.601291
42,22.0,52.65694
43,56.5,52.920216
44,43.0,32.407173
45,0.0,48.406857
46,70.0,90.21541
47,41.0,36.780865
48,45.0,20.949661
49,42.5,39.59387
50,46.0,55.373184
51,42.0,46.702522
52,0.0,3.141754
53,43.8,46.726948
54,29.0,41.981907
55,35.0,45.886173
56,36.7,33.741688
57,64.0,51.06915
58,43.0,12.245066
59,45.8,44.289932
60,0.0,22.44098
61,38.5,40.090816
62,42.0,31.903416
63,46.0,42.95786
64,40.0,42.47717
65,75.0,35.299053
66,0.0,1.0138317
67,61.0,38.6612
68,37.0,26.91212
69,50.2,42.67462
70,40.0,27.009844
71,35.5,36.11863
72,0.0,11.408202
73,50.0,54.60209
74,81.0,66.22839
75,62.3,58.54256
76,55.0,56.26727
77,44.0,36.88293
78,45.0,58.83119
79,42.0,35.671173
80,55.0,26.9832
81,32.0,31.158176
82,40.0,50.223774
83,0.0,5.821019
84,39.0,35.182175
85,40.0,10.851522
86,39.0,34.14117
87,38.0,43.23391
88,39.0,21.090656
89,0.0,0.31847835
90,57.0,10.248765
91,0.0,13.1729355
92,40.3,25.490839
93,47.0,26.146849
94,52.7,50.41192
95,49.3,35.87658
96,40.0,42.66015
97,42.5,47.33513
98,0.0,10.806272
99,45.0,45.687717
100,39.5,41.671196
101,36.4,32.4874
102,42.3,46.832188
103,42.0,49.689457
104,47.5,51.38164
105,37.5,55.84046
106,48.0,47.698338
107,43.0,45.481777
108,35.0,28.040041
109,0.0,20.01824
