,Origin,Predict
0,743.0,945.1834
1,972.0,854.1531
2,456.0,1180.1146
3,0.0,5.5368347
4,0.0,42.865784
5,0.0,26.115412
6,0.0,277.6886
7,947.0,1071.1774
8,373.0,938.56506
9,0.0,39.435463
10,0.0,1375.9661
11,998.0,250.95134
12,868.0,786.6608
13,2020.0,1567.9053
14,436.0,608.5805
15,475.0,367.7004
16,0.0,177.09773
17,0.0,689.6366
18,290.0,345.17227
19,1037.0,1052.3236
20,1620.0,1421.2512
21,496.0,427.12662
22,102.0,639.8531
23,541.0,84.46777
24,698.0,650.9703
25,1000.0,1619.1805
26,906.0,877.80585
27,403.0,146.96683
28,677.0,346.45685
29,1744.0,1431.4664
30,641.0,94.66417
31,0.0,26.597578
32,513.0,809.3686
33,0.0,11.678259
34,0.0,7.0811815
35,0.0,75.419815
36,541.0,524.144
37,425.0,395.4819
38,382.0,400.1834
39,227.0,64.048836
40,439.0,1172.5149
41,0.0,10.773958
42,614.0,1176.7593
43,398.0,305.49966
44,995.0,1626.7856
45,1671.0,1421.8279
46,673.0,663.3234
47,132.0,60.166733
48,440.0,1719.0344
49,1485.0,817.9319
50,2356.0,2397.6228
51,278.0,554.793
52,155.0,18.981035
53,583.0,392.79196
54,293.0,146.8385
55,162.0,437.28455
56,1170.0,53.122646
57,296.0,185.28612
58,1810.0,594.4992
59,1167.0,1061.079
60,335.0,682.9859
61,348.0,621.8933
62,456.0,148.78648
63,1157.0,1190.219
64,303.0,450.14645
65,805.0,529.2414
66,697.0,203.89058
67,372.0,888.4174
68,557.0,620.9625
69,135.0,189.95274
70,0.0,21.746376
71,250.0,333.88516
72,1179.0,995.98615
73,175.0,172.93637
74,1144.0,847.1944
75,694.0,1124.3152
76,1203.0,449.20874
77,758.0,797.6418
78,415.0,188.69719
79,968.0,248.66714
80,0.0,5.87976
81,857.0,847.1956
82,0.0,13.113773
83,969.0,1376.675
84,1090.0,799.8676
85,752.0,353.2311
86,560.0,803.3516
87,534.0,256.24698
88,0.0,124.42726
89,0.0,23.396616
90,197.0,198.2665
91,530.0,218.55797
92,1581.0,1710.1405
93,1198.0,1011.69977
94,224.0,371.759
95,1131.0,1364.0463
96,661.0,191.03886
97,378.0,247.13194
98,436.0,509.68405
99,0.0,1603.4946
100,564.0,738.7009
101,610.0,1525.9451
102,1582.0,925.65
103,0.0,0.4424532
104,180.0,67.99766
105,0.0,153.68605
106,1392.0,580.983
107,0.0,36.923233
108,542.0,462.00543
109,825.0,1354.9082
110,1538.0,782.37146
111,127.0,23.637865
112,0.0,12.271817
113,1512.0,1348.1653
114,0.0,119.89329
115,0.0,125.4329
116,281.0,319.15903
117,123.0,141.34767
118,0.0,27.983316
119,0.0,719.10754
120,250.0,663.55786
121,582.0,953.3408
122,813.0,299.33408
123,744.0,86.0259
124,969.0,1641.0466
125,1078.0,1048.2185
126,0.0,144.82552
127,2313.0,1369.5723
128,281.0,307.44675
129,573.0,503.50842
130,240.0,498.2121
131,211.0,596.2506
132,0.0,4.2221923
133,0.0,29.229797
134,0.0,62.71666
135,1544.0,1485.0715
136,0.0,9.758413
137,656.0,418.91394
138,389.0,626.4295
139,135.0,233.93614
140,0.0,1.9393474
141,0.0,17.649878
142,0.0,101.15661
143,141.0,621.3287
144,490.0,172.64005
145,1146.0,379.433
146,200.0,137.26091
147,348.0,1020.83545
148,1585.0,1587.4183
149,514.0,528.2772
150,0.0,50.85351
151,585.0,394.26776
152,444.0,880.3975
153,0.0,3.331209
154,1066.0,443.1126
155,947.0,559.3819
156,1090.0,689.28577
157,0.0,25.773396
158,20.0,202.21094
159,0.0,392.3354
160,295.0,349.63098
161,661.0,504.54056
162,1833.0,809.8148
163,793.0,481.9439
164,0.0,84.167046
165,813.0,1012.7553
166,659.0,678.64594
167,538.0,705.3835
168,206.0,139.43143
169,0.0,15.417537
170,0.0,76.46908
171,0.0,31.863258
172,1131.0,624.9517
173,2020.0,1251.7816
174,0.0,13.63327
175,731.0,669.4623
176,332.0,472.858
177,152.0,1088.7343
178,175.0,50.323174
179,0.0,142.12686
180,768.0,175.24165
181,682.0,1379.4955
182,0.0,26.840961
183,93.0,1.074621
184,0.0,80.26791
185,2083.0,2289.0718
186,962.0,33.54041
187,362.0,490.31024
188,0.0,49.977104
189,263.0,512.0812
190,700.0,579.1048
191,0.0,171.19115
192,60.0,123.56469
193,574.0,20.64518
