,Origin,Predict
0,3090.0,3086.726
1,0.0,771.19275
2,4987.0,5143.142
3,2857.0,3042.5212
4,5326.0,6308.6514
5,3505.0,2993.9885
6,2843.0,3403.6692
7,4917.0,4902.9287
8,0.0,979.8479
9,0.0,560.6337
10,3619.0,5222.3687
11,4020.0,6543.791
12,5499.0,4784.512
13,2735.0,3785.409
14,1883.0,553.47296
15,0.0,709.8528
16,2744.0,954.5811
17,0.0,828.9108
18,1105.0,1841.0684
19,2429.0,2051.5835
20,4669.0,5668.6177
21,0.0,390.88376
22,5371.0,7157.2
23,2839.0,2964.435
24,0.0,921.9191
25,0.0,1206.5718
26,3710.0,4909.675
27,0.0,848.6473
28,2827.0,2587.747
29,0.0,676.86115
30,5107.0,5015.6724
31,4587.0,4054.7817
32,1235.0,1945.0106
33,1115.0,964.5803
34,2780.0,6021.8
35,0.0,308.7524
36,0.0,218.6429
37,4253.0,3461.3315
38,2966.0,4177.5376
39,2722.0,3032.5195
40,2425.0,3129.745
41,4402.0,2963.758
42,3849.0,3028.3147
43,6025.0,6307.3623
44,2191.0,2808.1436
45,6644.0,4601.7207
46,3675.0,2352.8562
47,0.0,263.07016
48,0.0,215.00967
49,8598.0,3784.017
50,4994.0,3096.8552
51,3204.0,3294.7966
52,910.0,627.8278
53,5943.0,5282.232
54,1811.0,2256.5237
55,4963.0,6293.956
56,4462.0,2625.4597
57,0.0,1018.0773
58,3637.0,3789.2087
59,2197.0,2519.3284
60,2825.0,1753.3489
61,3078.0,3444.0923
62,4728.0,2057.2988
63,3332.0,3662.341
64,5934.0,6349.9077
65,2568.0,2520.3127
66,1871.0,946.6171
67,3631.0,2888.6914
68,5033.0,5362.9624
69,0.0,638.3488
70,6261.0,4505.4233
71,0.0,4836.929
72,0.0,360.20612
73,5149.0,3247.938
74,4694.0,3040.5762
75,1816.0,1444.2906
76,3671.0,3116.229
77,3099.0,3297.794
78,2643.0,2762.9043
79,0.0,530.1523
80,0.0,355.14185
81,1492.0,1805.0128
82,3250.0,2965.1914
83,3789.0,3409.1294
84,4071.0,4736.04
85,0.0,2291.581
86,0.0,4580.1147
87,2810.0,1321.4573
88,8828.0,7069.917
89,6685.0,5799.179
90,4089.0,4246.7476
91,0.0,584.6263
92,3182.0,1920.0399
93,2448.0,2623.5767
94,5528.0,3124.2693
95,2174.0,2148.247
96,2339.0,2499.9775
97,3140.0,3308.6067
98,3048.0,3614.8682
99,2058.0,2528.3633
100,0.0,246.55351
101,3625.0,5321.788
102,3291.0,2064.5476
103,2614.0,3543.343
104,607.0,423.21948
105,641.0,2076.4917
106,2496.0,3073.3538
107,0.0,37.09408
108,0.0,127.869125
109,5230.0,4916.816
110,4277.0,4086.211
111,4579.0,3130.682
112,5125.0,3620.2273
113,0.0,261.79172
114,3354.0,5679.3857
115,3708.0,1634.3756
116,2491.0,2511.907
117,5776.0,5785.7812
118,1157.0,1654.5381
119,4191.0,3693.3706
120,3663.0,3626.5845
121,0.0,78.61904
122,4665.0,4392.4727
123,0.0,4607.377
124,0.0,447.92468
125,6043.0,5936.189
126,3325.0,2346.6729
127,2669.0,2304.8896
128,2567.0,2898.0454
129,2731.0,3736.4207
130,4847.0,4796.192
131,3903.0,3295.5977
132,0.0,95.0487
133,1521.0,1951.4373
134,4663.0,2250.3035
135,1735.0,1991.622
136,3480.0,3625.0925
137,4825.0,4534.3765
138,1918.0,2077.78
139,4696.0,4501.4204
140,1303.0,1041.2074
141,2099.0,2594.525
142,2105.0,2241.07
143,0.0,4292.4883
144,7745.0,6106.7324
145,3349.0,2600.2861
146,2607.0,1657.4742
147,2320.0,1186.2454
148,3368.0,4503.9575
149,1801.0,1883.4169
150,0.0,1019.81445
151,4551.0,4998.623
152,2320.0,3653.1233
153,3477.0,4331.279
154,1409.0,1862.0907
155,4730.0,4002.4604
156,2596.0,3839.489
157,0.0,142.11552
158,5152.0,5385.289
159,3102.0,1978.7212
160,3672.0,2844.018
161,0.0,514.92065
162,2928.0,4476.8794
163,7639.0,6664.7036
164,2553.0,2199.8792
165,2712.0,2366.9463
166,3875.0,3369.9336
167,2243.0,2065.7512
168,2789.0,3262.2227
169,3278.0,2222.4358
170,1963.0,2608.038
171,4236.0,4087.2537
172,5328.0,3523.1826
173,990.0,2774.9844
174,3614.0,4906.9663
175,3856.0,3531.7246
176,2653.0,1525.2675
177,2456.0,3429.477
178,3576.0,4418.557
179,2134.0,1537.3516
180,5133.0,4470.9336
181,3744.0,4081.7058
182,3668.0,3449.84
183,2327.0,2966.0881
184,3200.0,3044.6794
185,0.0,1015.723
186,4680.0,5573.4126
187,1294.0,2111.7314
188,1664.0,2101.801
189,3724.0,3283.2703
190,897.0,555.388
191,2102.0,800.27844
192,3520.0,3855.7822
193,1672.0,1854.28
194,3142.0,3368.7478
195,4186.0,5343.3096
196,1875.0,2350.9773
197,5219.0,4971.2446
198,0.0,90.90411
199,2943.0,3196.6443
200,0.0,507.03754
201,5098.0,6472.841
202,1189.0,1206.6002
203,4431.0,3638.9553
204,4574.0,5275.355
205,2952.0,3683.7556
206,1990.0,2820.6763
207,2355.0,2354.378
208,1503.0,1955.3723
209,0.0,1877.7394
210,4749.0,8273.564
211,5067.0,4395.1074
212,4902.0,4671.6978
213,4602.0,4799.113
214,3460.0,2136.833
215,4244.0,3421.8726
216,3802.0,3776.603
217,4971.0,3802.171
218,2460.0,2589.5576
219,1763.0,2356.2397
220,1143.0,2129.0278
221,3419.0,3265.3767
222,4297.0,4095.361
223,3049.0,3037.0725
224,2359.0,2641.6946
