,Origin,Predict
0,0.0,1.2955719
1,22.0,27.210184
2,28.0,9.073973
3,25.8,19.54471
4,62.0,38.628242
5,10.0,12.891532
6,20.0,17.526817
7,0.0,1.669102
8,0.0,39.68554
9,0.0,28.646145
10,69.0,35.694675
11,36.0,13.638267
12,23.5,19.484377
13,0.0,3.6677754
14,20.0,9.543302
15,30.0,37.434708
16,34.5,49.000347
17,36.7,44.053337
18,25.0,20.968943
19,52.0,29.671024
20,14.0,25.19807
21,17.0,15.286844
22,21.2,35.341778
23,90.0,57.427143
24,21.0,27.972443
25,25.0,49.892315
26,0.0,6.80684
27,45.0,53.46094
28,35.0,29.049084
29,0.0,2.8357043
30,20.0,3.5302916
31,42.3,51.585552
32,0.0,22.907303
33,22.5,21.059662
34,0.0,7.5029526
35,60.5,62.731033
36,37.5,32.78273
37,37.0,28.535284
38,0.0,0.04597633
39,0.0,31.008217
40,61.0,0.20309055
41,18.0,28.058334
42,55.0,48.45715
43,36.0,28.247303
44,29.0,29.412752
45,46.0,63.84763
46,37.0,48.410183
47,23.5,22.626213
48,24.0,19.1478
49,31.0,26.889557
50,33.5,12.825713
51,0.0,4.5477915
52,15.0,22.748243
53,33.5,27.786734
54,45.5,30.079544
55,45.0,14.481128
56,0.0,1.2818253
57,21.0,18.948677
58,66.0,15.824449
59,44.0,5.6225457
60,25.3,44.621918
61,20.0,23.647232
62,0.0,33.771343
63,18.5,22.906183
64,27.3,37.887875
65,90.0,35.250164
66,15.7,44.595474
67,20.0,86.071106
68,23.0,22.189623
69,0.0,4.675393
70,0.0,13.187651
71,18.0,24.051414
72,72.0,87.791145
73,37.0,31.324263
74,0.0,5.657154
75,25.0,12.886012
76,51.0,31.229372
77,23.0,34.706844
78,0.0,38.36142
79,0.0,2.534185
80,40.0,4.0369525
81,30.0,7.473667
82,17.3,9.874597
83,35.0,32.637512
84,0.0,27.426514
85,0.0,10.9851465
86,22.7,28.116678
87,0.0,10.784696
88,0.0,18.631271
89,38.5,19.494501
90,21.5,26.519909
91,105.0,30.754314
92,20.0,31.67068
93,0.0,2.0290284
94,52.0,42.68659
95,25.0,11.53571
96,27.5,39.195457
97,0.0,23.400719
98,0.0,5.757792
99,36.0,34.82139
100,28.0,41.60513
101,28.0,10.766489
102,71.0,26.563438
103,15.0,22.827597
104,0.0,16.0611
105,12.0,5.5123534
106,23.0,40.316116
107,0.0,16.743835
108,0.0,0.8878387
109,36.0,3.6936417
110,11.7,19.31502
111,14.0,21.45887
112,28.0,48.943253
113,15.7,10.912571
114,25.5,32.954754
115,25.0,35.847343
116,24.0,30.921501
117,26.0,44.210743
118,52.0,40.44675
119,15.0,3.488919
120,25.5,37.869915
121,0.0,13.809386
122,64.0,9.358686
123,115.0,40.341797
124,45.5,58.835083
125,0.0,10.140559
126,37.0,5.710118
127,0.0,16.509562
128,238.0,123.823586
129,0.0,23.261751
130,0.0,3.4625332
131,28.5,28.128176
132,40.0,34.51465
133,15.5,43.16501
134,35.0,28.405148
135,0.0,29.540676
136,0.0,11.4676285
137,27.0,22.907799
138,0.0,0.483706
139,28.3,30.41268
140,54.5,35.787163
141,18.0,33.940285
142,45.0,43.729362
143,33.5,55.064064
144,0.0,0.62570053
145,29.0,30.401827
146,38.7,48.137913
147,21.0,32.692825
148,36.0,23.438591
149,36.0,28.104528
150,27.0,12.540493
151,0.0,4.292781
152,19.0,24.188736
153,23.5,38.030987
154,0.0,4.1883106
155,20.3,23.972404
156,28.2,23.859402
157,38.0,28.656614
158,0.0,16.562096
159,35.0,29.161251
160,17.0,38.94036
161,29.0,46.134083
162,0.0,1.1456796
163,33.0,20.302547
164,0.0,20.27075
165,52.5,35.528202
166,22.0,33.724934
167,30.0,11.372361
168,43.0,19.880009
169,30.0,27.026352
170,0.0,3.9522283
171,42.5,64.66094
172,22.0,38.112892
173,67.0,63.133938
174,25.0,34.42112
175,0.0,9.715923
176,35.0,25.021912
177,36.0,36.56252
178,60.0,33.89205
179,42.0,48.158955
180,22.7,18.017553
181,42.0,44.48685
182,34.0,31.218054
183,63.0,79.30911
184,0.0,6.4939923
185,47.5,45.898968
186,65.0,78.23201
187,35.0,16.774004
188,0.0,13.650303
189,0.0,0.7947824
190,60.0,21.602339
191,15.0,10.684031
192,36.0,14.689538
193,0.0,26.779078
194,60.0,34.686424
195,0.0,25.072279
196,0.0,45.6353
197,22.0,18.208656
198,65.0,39.486507
199,0.0,1.9660666
200,34.0,19.726908
201,58.0,47.81593
202,0.0,0.20232868
203,22.0,31.23284
204,18.7,30.76712
205,32.5,50.230904
206,21.0,26.08873
207,30.0,36.345985
