,Origin,Predict
0,0.0,7.7055793
1,0.0,10.022797
2,0.0,28.103003
3,38.4,39.034683
4,75.0,81.02117
5,71.5,66.00693
6,83.0,71.55349
7,50.0,51.93573
8,66.0,67.476265
9,46.1,61.01563
10,80.0,47.39863
11,40.0,43.327686
12,100.4,91.01794
13,0.0,9.302534
14,0.0,6.2039604
15,35.0,41.328995
16,40.3,38.893238
17,74.8,57.147495
18,25.0,28.542635
19,24.5,21.805098
20,76.6,73.34733
21,50.3,54.264194
22,59.2,58.233467
23,55.6,51.669224
24,38.5,42.567978
25,33.5,26.732859
26,0.0,10.18268
27,71.0,90.80544
28,0.0,31.062092
29,0.0,7.277139
30,80.0,58.79096
31,0.0,6.5865445
32,58.2,47.179367
33,50.0,49.120766
34,74.0,75.33453
35,51.0,45.94927
36,55.3,62.3621
37,55.0,56.061653
38,59.8,64.10729
39,59.0,41.0723
40,42.0,43.503513
41,0.0,6.5696707
42,75.0,66.96405
43,52.2,44.022526
44,66.0,74.272766
45,0.0,2.5638058
46,71.7,59.346615
47,55.5,62.940907
48,0.0,16.590448
49,0.0,0.87601024
50,83.0,86.567894
51,51.0,35.42311
52,65.3,70.68866
53,63.0,59.833073
54,45.0,49.16382
55,60.0,44.74878
56,55.0,56.00113
57,41.0,41.80878
58,87.0,90.44743
59,50.0,56.501656
60,47.1,52.14785
61,0.0,0.43745485
62,0.0,1.7273974
63,52.5,54.261078
64,93.0,68.22795
65,0.0,16.811718
66,0.0,1.2844259
67,0.0,26.735008
68,57.5,51.972504
69,50.0,47.293224
70,70.0,61.16406
71,46.6,44.813564
72,52.0,19.33937
73,58.0,49.598465
74,61.4,58.295074
75,81.0,74.434326
76,64.3,67.38348
77,56.5,68.05874
78,65.0,60.852795
79,71.7,78.37179
80,59.0,53.651695
81,46.0,46.543144
82,57.0,32.728863
83,0.0,30.62206
84,70.0,85.00639
85,63.8,55.23188
86,67.1,54.353
87,0.0,1.191909
88,0.0,16.426378
89,68.8,76.68139
90,0.0,25.467628
91,0.0,24.413916
92,39.9,48.074604
93,33.2,37.816296
94,62.0,62.026005
95,0.0,16.031326
96,45.0,51.542217
97,45.2,54.115128
98,60.0,64.178276
99,66.4,66.80117
100,67.0,54.23611
101,0.0,10.447055
102,0.0,24.39566
103,32.5,40.424515
104,59.0,69.975334
105,57.0,46.744884
106,55.0,58.946514
107,41.5,52.78255
108,0.0,0.39737487
109,44.0,31.195238
110,70.8,72.22064
111,48.0,42.105976
112,46.2,52.18979
113,58.0,47.723167
114,0.0,11.900321
115,0.0,18.549828
116,58.0,43.839836
117,87.7,73.56425
118,64.0,58.778587
119,56.0,53.744946
120,50.0,38.496826
121,0.0,0.3607783
122,41.0,43.22173
123,0.0,12.837765
124,67.5,73.0636
125,0.0,7.7775884
126,71.2,77.07333
127,0.0,35.91643
128,0.0,3.636836
129,63.8,62.946484
130,0.0,7.0023212
131,60.0,59.734093
132,60.0,60.178185
133,89.0,70.91021
134,29.0,31.993587
135,0.0,6.693748
136,62.3,52.74079
137,0.0,23.227942
138,39.8,43.322086
139,0.0,9.396452
140,50.0,48.739967
141,0.0,5.7767277
142,50.0,39.018456
143,46.0,51.498924
144,58.0,39.665028
145,78.5,69.68757
146,55.0,53.66317
147,0.0,14.325083
148,70.3,75.350235
149,87.0,90.88034
150,65.2,68.5188
151,0.0,14.429548
152,42.0,53.602608
153,77.0,69.87555
154,60.3,56.546394
155,56.8,64.96787
156,73.0,69.56702
157,68.7,64.07179
158,47.8,48.229
159,49.0,39.321495
160,55.0,47.243893
161,70.3,67.90036
162,49.5,63.270554
163,50.5,37.15654
164,0.0,9.366037
165,42.0,45.1383
166,48.1,57.72845
167,0.0,4.6001763
168,0.0,0.502667
169,72.7,56.520798
170,0.0,13.635332
171,0.0,9.075938
172,62.3,71.60786
173,0.0,20.521154
174,76.8,84.13168
175,67.4,65.5011
176,0.0,4.8311973
177,61.1,70.14636
178,43.3,60.578354
179,81.0,92.98367
180,66.5,56.91498
181,56.0,69.05362
182,47.8,55.758244
183,88.0,96.79009
184,73.0,68.42683
185,70.2,62.065887
186,68.5,75.312584
187,0.0,1.9154887
188,50.3,50.648014
189,35.0,35.444695
190,85.0,75.211555
191,58.0,50.032524
192,43.0,38.41918
193,54.9,57.32546
194,0.0,18.891294
195,65.0,66.11714
196,39.3,42.772343
197,46.0,35.218807
198,63.5,65.57144
199,51.5,46.80231
200,0.0,7.6925187
201,0.0,2.583951
202,61.5,58.19838
203,48.2,34.694542
204,0.0,0.049165457
205,50.0,37.445953
206,56.2,54.00232
207,55.5,55.91599
208,80.0,63.164196
209,89.2,78.4657
210,51.0,51.485287
211,61.0,54.936054
212,44.2,48.183743
213,0.0,5.1870923
214,75.6,76.665924
215,46.8,39.670723
216,51.0,57.854755
217,48.0,48.711227
218,75.0,73.984245
219,0.0,21.631956
220,53.8,42.505623
221,0.0,0.6942864
222,41.0,37.398186
223,65.8,70.99207
224,0.0,34.936638
225,0.0,10.258467
226,72.6,61.11499
227,65.6,49.317867
228,43.0,44.163246
229,57.2,63.355698
230,84.0,72.69206
231,67.5,66.968864
232,62.0,36.554565
233,0.0,0.866162
234,65.0,66.3467
235,72.2,70.59838
236,40.0,36.148113
237,93.5,87.74543
238,65.0,67.947975
239,39.0,51.503452
240,60.0,64.16845
241,78.3,71.985306
242,0.0,9.455198
243,0.0,1.8664736
244,0.0,1.8596913
245,0.0,10.137015
246,0.0,9.87304
247,60.4,60.14034
248,0.0,5.1153965
249,55.0,44.02888
250,68.0,66.10407
251,0.0,20.722372
252,0.0,1.4932396
253,51.0,38.65912
254,71.7,65.72984
255,47.7,50.399628
256,0.0,17.186407
257,35.0,23.460299
258,54.3,41.319622
259,77.0,67.541405
260,0.0,5.702465
