,Origin,Predict
0,0.0,4.0165496
1,154.0,179.06433
2,0.0,63.787235
3,0.0,1.4513645
4,283.3,255.19408
5,300.0,278.3183
6,150.0,125.806946
7,0.0,0.2818113
8,109.3,111.228455
9,300.0,394.32776
10,0.0,2.7679377
11,130.0,109.829155
12,200.0,216.95758
13,0.0,1.6115124
14,200.0,226.61858
15,153.6,183.44556
16,0.0,1.7319549
17,0.0,1.7048866
18,275.0,226.85168
19,0.0,102.4681
20,0.0,54.300385
21,0.0,4.6363664
22,0.0,6.201815
23,0.0,0.8978515
24,0.0,6.291726
25,0.0,0.6273958
26,0.0,12.378426
27,250.0,271.42404
28,0.0,0.16982098
29,0.0,1.3251371
30,0.0,1.0719973
31,120.0,86.84042
32,250.0,202.11
33,0.0,0.6130575
34,0.0,5.8998837
35,0.0,0.0055832756
36,100.0,101.7858
37,0.0,0.32197934
38,0.0,0.65915555
39,95.7,104.22836
40,100.0,101.60542
41,200.0,171.36203
42,0.0,4.4418154
43,0.0,1.5473987
44,0.0,2.9202318
45,0.0,1.065544
46,250.0,133.30212
47,0.0,2.9136605
48,0.0,54.71969
49,152.8,153.95465
50,0.0,27.872887
51,0.0,0.802563
52,0.0,1.6413442
53,0.0,2.733047
54,0.0,7.6079483
55,0.0,0.8116418
56,0.0,2.2015684
57,200.0,212.28972
58,0.0,9.275594
59,0.0,1.3557323
60,0.0,30.796251
61,159.0,151.33882
62,0.0,2.2858899
63,100.0,96.03257
64,112.0,118.447685
65,300.0,231.82535
66,203.3,205.638
67,0.0,0.7363908
68,0.0,2.328836
69,0.0,4.090256
70,154.0,170.83228
71,100.0,124.14592
72,275.0,207.83456
73,168.0,108.79208
74,0.0,0.23257382
75,0.0,2.108169
76,224.2,135.17938
77,0.0,2.19083
78,0.0,3.3004878
79,0.0,0.7111554
80,0.0,33.83404
81,85.0,102.537415
82,250.0,272.60034
83,0.0,2.8479772
84,0.0,3.7125034
85,0.0,0.39868203
86,100.0,77.72865
87,0.0,89.17877
88,150.0,142.44655
89,0.0,76.506134
90,0.0,0.5731526
