,Origin,Predict
0,25.0,8.6608
1,20.0,0.15953192
2,30.0,27.851227
3,0.0,0.48389667
4,25.0,22.147627
5,25.0,18.933336
6,30.0,25.65655
7,20.0,15.036865
8,18.7,10.023588
9,30.0,28.436308
10,0.0,23.888475
11,0.0,0.14644332
12,0.0,1.0763669
13,20.0,21.091095
14,16.0,15.944921
15,20.0,14.96196
16,20.0,11.38116
17,0.0,0.12530091
18,0.0,9.735453
19,25.0,33.992393
20,25.0,11.891428
21,25.0,27.866438
22,25.0,23.805063
23,20.0,25.112373
24,16.0,17.29014
25,6.0,14.051648
26,0.0,3.2690852
27,30.0,25.728827
28,0.0,0.281699
29,22.0,25.027628
30,0.0,1.7962973
31,25.0,1.9874777
32,0.0,3.760403
33,25.0,14.779078
34,21.0,21.500584
35,25.0,11.57564
36,0.0,2.1992648
37,25.0,28.825586
38,0.0,0.9225237
39,0.0,0.28163397
40,30.0,19.266134
41,0.0,1.4971671
42,22.5,19.05206
43,15.0,12.487526
44,20.0,19.213741
45,0.0,0.66050136
46,0.0,9.48895
47,20.0,19.67049
48,0.0,20.39325
49,25.0,14.633271
50,0.0,0.03541944
51,0.0,0.057358015
52,0.0,0.007874473
53,25.0,11.784993
54,25.0,16.831682
55,0.0,8.925802
56,21.7,24.628124
57,0.0,15.240812
58,0.0,13.128107
59,25.0,13.334614
60,25.0,20.104404
61,0.0,1.9900838
62,16.0,31.107304
63,0.0,2.3416495
64,23.0,17.880283
65,0.0,0.05122811
66,0.0,0.113964185
67,32.0,33.00914
68,0.0,18.626692
69,25.0,18.755547
70,0.0,13.61296
71,21.5,5.331518
72,25.0,32.586098
73,0.0,0.53096485
74,23.0,20.097225
75,23.0,5.291306
76,0.0,1.0160387
77,0.0,0.23877266
78,0.0,18.78742
79,24.5,23.947601
80,20.0,21.829987
81,20.0,23.72668
82,20.0,2.101576
83,0.0,0.0024456342
84,0.0,0.14245942
85,25.0,15.770383
86,25.0,26.954277
87,30.0,29.132242
88,0.0,20.767796
89,22.5,23.936455
90,0.0,7.126196
91,20.0,18.50581
92,0.0,7.1591296
93,0.0,0.37906048
94,20.0,20.1736
95,0.0,0.3213553
96,25.0,0.046645053
97,0.0,0.290513
98,20.0,14.682369
99,0.0,1.1955949
100,20.0,15.888226
101,20.0,9.908966
102,20.0,13.543111
103,0.0,0.19981438
104,16.0,5.1905694
105,0.0,3.6996496
106,0.0,19.872791
107,30.0,17.278456
108,25.0,24.164358
109,45.0,23.83305
110,25.0,26.348738
111,22.5,22.815971
112,12.0,11.470289
113,15.0,17.31298
114,25.0,1.8733164
115,12.0,13.390453
116,16.0,4.908161
117,0.0,1.9873304
118,0.0,0.106328376
119,0.0,3.7277431
120,22.5,20.844545
121,27.5,25.339798
122,0.0,9.271825
123,23.7,15.317831
124,30.0,27.939802
125,0.0,12.411337
126,30.0,27.349474
127,20.0,26.223566
128,30.0,33.70458
129,0.0,0.35756925
130,20.0,14.477752
131,16.0,19.927889
132,0.0,13.168164
133,0.0,3.4509568
134,20.0,0.6841084
135,15.0,6.234632
136,0.0,0.25705478
137,0.0,7.4806037
138,22.0,20.186747
139,18.0,8.1406355
140,0.0,0.20304096
141,0.0,4.3795967
142,0.0,2.0851614
143,0.0,2.5021994
144,0.0,0.29403535
145,0.0,0.23491897
146,0.0,1.7359855
147,0.0,0.029252512
148,20.0,23.094334
149,0.0,0.10660134
150,15.0,15.488165
151,0.0,0.31131807
152,0.0,0.7099848
153,0.0,19.21558
154,26.5,26.90308
155,23.3,24.609669
156,0.0,0.724751
157,18.0,11.758651
158,16.0,16.028732
159,25.0,21.819248
160,25.0,5.3530674
161,0.0,0.09749428
162,20.0,22.780342
163,20.0,10.127086
164,0.0,5.1369457
165,0.0,0.25523034
166,22.5,23.076323
167,0.0,0.054792095
168,22.5,22.530384
169,0.0,0.32739338
170,0.0,20.005669
171,0.0,5.10186
172,0.0,0.13869885
173,0.0,0.95491195
174,0.0,2.9778202
175,0.0,0.015089221
176,20.0,18.923159
177,23.0,19.65742
178,23.4,22.621572
179,20.0,25.470118
180,20.0,34.96446
181,25.0,31.054993
182,0.0,0.17853735
183,25.0,29.954952
184,0.0,0.8272642
185,0.0,1.9234016
186,20.0,24.613852
187,33.0,33.63127
188,0.0,0.19274434
189,16.0,27.887093
190,0.0,0.68224794
191,25.0,20.418251
192,16.0,12.7085495
193,0.0,0.13162649
194,25.0,0.29925638
195,0.0,0.015211643
196,0.0,19.302105
197,0.0,0.2311801
198,0.0,0.5259574
199,0.0,0.02405886
200,31.0,28.701702
201,23.3,20.408
202,20.0,10.939913
203,20.0,18.261358
204,30.0,2.0185308
205,0.0,0.19580662
206,28.0,18.262255
207,0.0,0.07974035
208,20.0,23.263353
209,25.0,23.917828
210,25.0,24.757597
211,20.0,25.677782
212,21.5,13.096027
213,20.0,13.367922
214,0.0,9.775077
215,20.0,19.266754
216,0.0,19.33962
217,0.0,11.104747
218,15.0,17.716497
219,22.5,0.9154731
220,0.0,21.541721
221,0.0,0.1571521
222,0.0,1.2143837
223,0.0,0.06350394
224,0.0,5.3762684
225,0.0,3.364501
226,20.0,2.4503183
227,16.0,3.3314133
228,20.0,20.538563
229,22.0,21.676239
230,30.0,20.501629
231,0.0,0.42971984
232,0.0,0.21870321
233,0.0,2.4405997
234,0.0,5.8047676
235,15.0,23.089397
236,23.5,19.216091
237,0.0,0.28982183
238,0.0,0.7328196
239,20.0,16.921404
240,0.0,14.349275
241,0.0,0.24235997
242,16.0,11.165595
243,0.0,2.1082335
244,0.0,0.28684765
245,0.0,19.589998
246,20.0,19.284508
247,0.0,1.0905122
248,0.0,8.211344
249,0.0,1.2092386
250,25.0,27.125305
251,25.0,0.47727248
252,20.0,11.028255
253,25.0,17.870888
254,20.0,0.15820543
255,0.0,0.32359433
256,0.0,0.4278031
257,20.0,19.328861
258,0.0,12.923323
259,25.0,23.23938
260,0.0,0.020509517
261,0.0,0.16894884
262,22.5,26.188335
263,0.0,0.06328099
264,25.0,13.779545
265,0.0,26.30262
266,25.0,1.4681759
