,Origin,Predict
0,0.0,1.3570603
1,0.0,2.4688246
2,1512.0,1173.3713
3,0.0,24.369545
4,0.0,64.587685
5,422.0,477.35083
6,109.0,263.16565
7,0.0,9.162063
8,843.0,644.076
9,48.0,6.1012673
10,0.0,16.02818
11,0.0,2.8988688
12,0.0,6.4155297
13,708.0,640.4414
14,0.0,8.397163
15,60.0,72.87383
16,71.0,1.5210818
17,672.0,743.0979
18,0.0,1.1300256
19,0.0,13.921819
20,0.0,3.51006
21,0.0,14.275939
22,499.0,387.8407
23,981.0,927.34235
24,941.0,905.0179
25,853.0,886.8078
26,0.0,1.2999862
27,1050.0,1135.4664
28,0.0,16.172089
29,0.0,26.975048
30,624.0,776.91406
31,16.0,50.70565
32,0.0,10.363237
33,202.0,32.260326
34,0.0,24.093365
35,0.0,13.967687
36,0.0,22.82926
37,0.0,8.928158
38,1606.0,1003.92267
39,0.0,32.171295
40,0.0,56.052948
41,744.0,938.2225
42,756.0,792.1858
43,0.0,45.87474
44,307.0,48.914017
45,0.0,9.62468
46,1222.0,877.36896
47,0.0,117.888985
48,0.0,600.85223
49,0.0,0.127422
50,0.0,93.80377
51,0.0,4.7857656
52,0.0,5.6546054
53,24.0,0.34647214
54,1176.0,920.0378
55,767.0,864.08264
56,169.0,195.93054
57,951.0,1070.96
58,0.0,21.747662
59,701.0,1026.0536
60,192.0,101.94022
61,264.0,244.89893
62,0.0,30.57093
63,898.0,732.078
64,120.0,274.2103
65,252.0,109.34036
66,0.0,13.586392
67,790.0,680.45746
68,0.0,46.31529
69,449.0,168.64159
70,75.0,13.469725
71,0.0,35.887325
72,0.0,13.906284
73,0.0,30.093294
74,0.0,6.1298413
75,0.0,2.7046287
76,1060.0,969.17834
77,1324.0,940.2384
78,36.0,25.55522
79,944.0,423.7229
80,696.0,844.4278
81,117.0,103.438324
82,100.0,304.54633
83,0.0,900.57056
84,180.0,87.15951
85,0.0,644.5779
86,0.0,31.192432
87,972.0,705.6057
88,466.0,210.31763
89,129.0,166.98415
90,0.0,21.621107
91,814.0,1229.7621
92,0.0,3.953556
93,144.0,192.07253
94,1178.0,1127.0845
95,0.0,1.8035414
96,0.0,5.898301
97,1152.0,540.3798
98,48.0,4.5537925
99,916.0,987.4458
100,0.0,12.621102
101,761.0,459.19656
102,744.0,729.9685
103,814.0,869.6388
104,0.0,1351.1036
105,600.0,510.61313
106,1251.0,1229.8182
107,96.0,241.05307
108,316.0,22.02908
109,0.0,11.973546
110,120.0,102.83196
111,0.0,12.679826
112,855.0,1287.4717
113,120.0,124.811966
114,0.0,13.889927
115,0.0,10.100213
116,182.0,96.27037
117,0.0,14.080363
118,0.0,9.62931
119,61.0,66.073875
120,1208.0,1133.5887
121,420.0,157.91475
122,870.0,599.1938
123,0.0,38.658466
124,0.0,100.46818
125,1128.0,1129.949
126,0.0,939.2565
127,22.0,32.210636
128,0.0,19.367384
129,0.0,7.1476746
130,0.0,9.850824
131,0.0,12.114818
132,1124.0,926.46954
133,674.0,682.2882
134,0.0,6.8778477
135,996.0,1066.3181
136,0.0,25.009022
137,452.0,30.015121
138,96.0,0.24171732
139,388.0,302.3175
140,408.0,821.7706
141,264.0,201.77473
142,1070.0,960.4056
143,0.0,95.077705
144,1205.0,1190.7571
145,0.0,35.193443
146,219.0,157.4375
147,653.0,538.28876
148,0.0,5.69769
149,0.0,1275.1875
150,723.0,1047.8186
151,673.0,587.8984
152,63.0,35.95522
153,36.0,50.260296
154,0.0,76.519775
155,0.0,4.2370343
156,75.0,14.84332
157,252.0,209.04224
158,264.0,28.24271
159,0.0,24.288076
160,424.0,395.02094
161,20.0,37.10766
162,756.0,729.6497
163,0.0,818.81433
164,0.0,42.28876
165,839.0,1134.5051
166,625.0,636.5793
167,572.0,352.73547
168,903.0,672.8508
169,648.0,858.3405
170,1143.0,1399.7504
171,0.0,18.751396
172,1104.0,967.5758
173,90.0,67.58887
174,0.0,19.811268
175,0.0,13.523904
176,0.0,13.968663
177,701.0,526.49396
178,844.0,797.87244
