,Origin,Predict
0,60.0,230.10884
1,870.0,31.202095
2,360.0,282.12482
3,300.0,420.7937
4,780.0,417.21646
5,0.0,27.872295
6,240.0,199.15184
7,90.0,423.04044
8,600.0,788.823
9,0.0,8.089549
10,180.0,263.13922
11,300.0,185.8384
12,0.0,55.584324
13,0.0,25.987507
14,210.0,246.02992
15,240.0,254.05046
16,240.0,280.1671
17,120.0,194.1121
18,0.0,30.051134
19,420.0,207.86205
20,300.0,191.55502
21,0.0,126.73015
22,382.0,303.12817
23,180.0,296.27255
24,0.0,331.36862
25,0.0,59.453186
26,450.0,389.39832
27,810.0,899.69196
28,60.0,35.45982
29,500.0,572.48315
30,0.0,74.554726
31,270.0,322.8791
32,90.0,238.30942
33,0.0,39.16923
34,0.0,16.458248
35,90.0,253.5995
36,180.0,218.93428
37,260.0,298.991
38,240.0,384.57678
39,300.0,176.0092
40,500.0,597.5233
41,180.0,181.2315
42,280.0,386.32745
43,300.0,368.57913
44,770.0,865.02155
45,0.0,29.839485
46,0.0,358.5188
47,210.0,258.05295
48,0.0,467.99307
49,300.0,523.813
50,240.0,260.94995
51,0.0,2.931758
52,330.0,161.75024
53,430.0,285.47662
54,0.0,12.50163
55,360.0,303.23486
56,0.0,71.926796
57,90.0,62.973873
58,450.0,748.9685
59,350.0,272.93204
60,320.0,335.23483
61,390.0,179.00641
62,480.0,213.67276
63,0.0,359.79785
64,0.0,5.221115
65,300.0,505.97473
66,150.0,17.14502
67,325.0,958.8706
68,210.0,303.45325
69,0.0,3.623573
70,425.0,551.5888
71,440.0,569.9256
72,0.0,211.10133
73,240.0,127.14682
74,600.0,483.69177
75,0.0,68.91331
76,0.0,38.23759
77,240.0,235.95842
78,470.0,192.99255
79,480.0,480.76926
80,372.0,293.85144
81,110.0,109.43727
82,210.0,142.16458
83,240.0,399.38522
84,210.0,355.44904
85,240.0,180.24207
86,0.0,5.1745
87,240.0,290.90564
88,150.0,214.4878
89,210.0,287.1208
90,90.0,314.18097
91,0.0,91.155495
92,240.0,85.56855
93,450.0,303.97394
94,710.0,643.21765
95,240.0,307.55817
96,300.0,247.29509
97,0.0,35.67978
98,300.0,312.44342
99,480.0,379.6418
100,0.0,5.7089334
101,90.0,305.16968
102,240.0,172.53629
103,60.0,44.822826
104,150.0,265.3644
105,300.0,172.14502
106,450.0,105.18875
107,330.0,141.10774
108,360.0,487.301
109,90.0,94.02659
110,180.0,178.91501
111,0.0,49.58309
112,300.0,206.6616
113,0.0,18.477446
114,0.0,28.16392
115,0.0,16.410591
116,540.0,671.4665
117,90.0,351.97662
118,720.0,902.5631
119,0.0,9.809371
120,150.0,18.916327
121,190.0,270.87326
122,240.0,287.8215
123,480.0,15.587636
124,150.0,188.06982
125,330.0,312.70602
126,0.0,21.218018
127,230.0,210.43243
128,180.0,191.26079
129,240.0,42.883274
130,240.0,412.98795
131,150.0,219.0432
132,300.0,510.29065
133,360.0,343.66888
134,180.0,372.26532
135,0.0,4.836466
136,240.0,26.210546
137,0.0,70.054726
138,750.0,128.97926
139,432.0,501.61182
140,240.0,161.15077
141,240.0,300.6348
142,300.0,8.27356
143,300.0,185.46536
144,0.0,13.412794
145,0.0,40.356705
146,0.0,10.41348
147,100.0,53.78643
148,270.0,250.43748
