,Origin,Predict
0,68.0,63.76307
1,0.0,0.14031747
2,47.0,15.528248
3,0.0,0.22753027
4,0.0,1.8820997
5,0.0,0.8891439
6,0.0,3.1439333
7,0.0,0.53711534
8,0.0,0.12091129
9,0.0,1.6309111
10,0.0,0.47127017
11,0.0,0.88625604
12,0.0,0.47139263
13,0.0,0.024449777
14,6.0,1.7625554
15,0.0,0.48167756
16,0.0,0.049499623
17,26.0,10.727681
18,0.0,1.4784513
19,0.0,0.71630543
20,0.0,8.423432
21,0.0,1.891135
22,0.0,0.41036993
23,0.0,0.2754804
24,0.0,0.103643954
25,0.0,0.16423014
26,10.0,0.713459
27,16.0,23.041416
28,0.0,0.71134704
29,0.0,0.9436883
30,0.0,0.7526346
31,0.0,0.18531021
32,0.0,0.4376715
33,4.0,0.6984952
34,0.0,0.5997102
35,0.0,0.44089416
36,0.0,2.179494
37,0.0,1.8445917
38,48.0,96.51826
39,0.0,0.3692959
40,13.0,3.2819705
41,0.0,0.19489986
42,0.0,1.1991466
43,0.0,0.82312214
44,0.0,0.60433304
45,0.0,1.8898404
46,0.0,0.7648187
47,0.0,0.62847835
48,0.0,1.4622136
49,0.0,0.60851896
50,0.0,1.9508405
51,0.0,0.8993839
52,4.0,2.1470127
53,0.0,0.5071313
54,0.0,0.4393861
55,0.0,0.14961341
56,0.0,0.31110656
57,19.0,38.31802
58,0.0,0.12695041
59,0.0,0.5355328
60,0.0,0.29558492
61,0.0,1.0307633
62,0.0,0.6794058
63,103.0,43.388485
64,0.0,0.2434462
65,0.0,0.5559422
66,4.0,0.7264291
67,0.0,0.7981295
68,10.0,29.145184
69,0.0,0.32016638
70,28.0,74.04685
71,0.0,0.15231545
72,0.0,0.54373264
73,0.0,0.24821492
74,0.0,1.6547496
75,0.0,0.6739272
76,0.0,1.0425005
77,0.0,0.17571521
78,0.0,1.3430277
79,0.0,7.9001665
80,0.0,2.203581
81,0.0,0.2313407
82,0.0,0.0037858684
83,83.0,9.113734
84,0.0,0.22530966
85,0.0,0.5660132
86,0.0,0.69183105
87,0.0,0.8428178
88,0.0,0.34259978
89,34.0,19.884405
90,0.0,1.0387926
91,0.0,0.329384
92,2.0,0.6205615
93,24.0,12.098336
94,0.0,0.16600962
95,0.0,0.40737304
96,0.0,0.18659943
97,51.0,84.72825
98,0.0,0.557446
99,0.0,0.24835005
100,0.0,1.1508315
101,0.0,1.5629048
102,33.0,14.128208
103,113.0,25.64806
104,0.0,0.024463214
105,0.0,1.0066701
106,0.0,0.031942423
107,0.0,1.8980461
108,4.0,14.013297
109,0.0,1.0084435
110,9.0,2.6310384
111,0.0,5.3309116
112,5.0,4.677018
113,0.0,1.3673857
114,0.0,1.4033014
115,0.0,0.97576773
116,0.0,0.6945535
117,0.0,1.4765904
118,0.0,0.8576952
119,0.0,0.065614045
120,61.0,55.001965
121,0.0,0.20475057
122,19.0,11.212417
123,0.0,0.16981968
124,12.0,9.326258
125,0.0,4.2958455
126,14.0,21.24352
127,0.0,0.699809
128,0.0,0.363481
129,0.0,0.26375496
130,0.0,0.045293745
131,0.0,0.42204276
132,0.0,2.7456005
133,0.0,0.34398267
134,0.0,0.20594494
135,0.0,0.48978257
136,0.0,0.4429109
