,Origin,Predict
0,60.0,257.77386
1,140.0,46.93484
2,0.0,7.39739
3,70.0,17.386604
4,222.0,233.84784
5,40.0,51.79498
6,0.0,63.449352
7,0.0,12.141088
8,0.0,14.10247
9,180.0,137.47806
10,170.0,199.13034
11,100.0,75.952545
12,20.0,67.913536
13,0.0,45.590652
14,0.0,83.47925
15,0.0,3.7818167
16,0.0,48.555035
17,82.0,63.166515
18,400.0,162.95235
19,36.0,47.346146
20,25.0,165.06682
21,40.0,96.56828
22,0.0,435.29016
23,247.0,301.8206
24,140.0,2.2596085
25,98.0,108.63388
26,420.0,247.91286
27,17.0,14.412136
28,0.0,77.76567
29,340.0,401.49445
30,0.0,26.022861
31,0.0,11.0078945
32,20.0,101.95965
33,134.0,205.62494
34,20.0,16.507877
35,0.0,100.13472
36,210.0,154.45198
37,418.0,44.54471
38,170.0,91.43263
39,0.0,4.6289897
40,120.0,71.693344
41,100.0,99.716545
42,130.0,132.26924
43,605.0,595.8664
44,146.0,35.97099
45,289.0,293.50967
46,0.0,39.427227
47,255.0,92.71934
48,190.0,233.07877
49,890.0,477.13492
50,70.0,82.91066
51,239.0,313.48785
52,0.0,44.42549
53,300.0,139.2474
54,360.0,450.9536
55,0.0,3.7759163
56,120.0,145.54488
57,40.0,64.40428
58,430.0,216.14133
59,120.0,222.91516
60,120.0,55.613567
61,20.0,32.25705
62,387.0,384.73105
63,120.0,272.26447
64,60.0,343.5726
65,229.0,57.343243
66,0.0,8.5216675
67,0.0,38.395332
68,0.0,9.300616
69,0.0,2.1076503
70,341.0,294.5021
71,160.0,198.36073
72,129.0,11.901285
73,0.0,2.6024652
74,509.0,194.73007
75,205.0,202.58684
76,0.0,13.366789
77,85.0,113.48617
78,110.0,74.04836
79,0.0,32.84929
80,163.0,77.81089
81,0.0,42.933777
82,880.0,429.06888
83,304.0,48.44306
84,0.0,12.239458
85,120.0,120.86604
86,0.0,39.65622
87,329.0,285.76904
88,0.0,11.459796
89,0.0,6.8974686
90,0.0,180.82056
91,40.0,36.65557
92,0.0,28.403738
93,90.0,100.048615
94,205.0,188.95096
95,40.0,114.70104
96,124.0,192.24834
97,0.0,90.75879
98,145.0,330.0855
99,0.0,37.97862
100,211.0,176.26941
101,0.0,81.99399
102,520.0,547.60547
103,79.0,31.87366
104,60.0,44.504093
105,215.0,124.79606
106,415.0,385.70786
107,317.0,107.27425
108,130.0,23.193369
109,302.0,385.0568
110,122.0,136.63632
111,201.0,400.94992
112,0.0,1.9306757
113,43.0,23.093195
114,220.0,215.19484
115,60.0,36.637478
116,50.0,29.174484
117,160.0,151.66893
118,20.0,42.276283
119,160.0,537.4356
120,0.0,42.723644
121,20.0,234.53874
122,250.0,160.9132
123,102.0,119.28023
124,20.0,7.9207063
125,110.0,167.44788
126,175.0,204.47229
127,60.0,57.442383
128,107.0,75.15927
129,50.0,117.07824
130,136.0,41.734337
131,0.0,33.075603
132,20.0,40.964725
133,0.0,212.36095
134,0.0,10.540883
135,418.0,163.65651
136,224.0,51.422493
137,32.0,33.6924
138,465.0,270.81033
139,39.0,112.88437
140,0.0,28.477009
141,0.0,27.849602
142,335.0,125.07518
143,78.0,31.89774
144,520.0,900.7607
145,292.0,31.870993
146,20.0,64.58518
147,0.0,39.288425
148,360.0,176.57034
149,170.0,133.0718
150,320.0,306.44284
151,181.0,190.14993
152,60.0,9.499056
153,54.0,19.052464
154,1071.0,208.77145
155,600.0,204.22047
156,0.0,0.124993324
157,140.0,269.2328
158,1440.0,1460.7919
159,0.0,24.618174
160,448.0,263.32294
161,180.0,329.2233
162,68.0,42.925575
163,680.0,11.999774
164,0.0,115.31505
165,46.0,147.94269
166,0.0,143.31818
167,0.0,1.3048576
168,100.0,31.590717
169,243.0,150.59804
170,680.0,341.37823
171,0.0,5.9265437
172,0.0,29.444471
173,295.0,56.72613
174,424.0,576.67084
175,120.0,141.40054
176,161.0,197.18605
177,104.0,81.90921
178,20.0,26.484913
179,260.0,37.965538
180,287.0,363.16278
181,0.0,445.96167
182,0.0,6.499642
183,161.0,407.89923
184,0.0,15.6612215
185,0.0,129.55666
186,0.0,4.4967384
187,97.0,313.69772
188,45.0,137.95811
189,40.0,73.93395
190,95.0,61.264088
191,0.0,38.800053
192,255.0,189.68916
193,240.0,221.40591
194,0.0,20.591702
195,0.0,24.22442
196,160.0,294.4025
197,40.0,10.501025
198,243.0,164.3595
199,62.0,11.874526
200,0.0,7.7388434
201,0.0,8.941649
202,0.0,56.98183
203,190.0,28.451086
204,1019.0,690.28864
205,0.0,13.705238
206,410.0,135.92334
207,0.0,4.9452453
208,0.0,18.957687
209,0.0,141.40442
210,231.0,336.51236
211,40.0,96.15318
212,80.0,137.66206
213,18.0,53.62961
214,283.0,119.931656
215,20.0,77.91855
216,60.0,23.253544
217,0.0,8.597716
218,308.0,185.95067
219,505.0,44.223377
220,0.0,73.20643
221,0.0,29.60264
222,160.0,170.68669
223,145.0,107.15504
224,36.0,177.99121
225,599.0,473.6466
226,291.0,235.72853
227,135.0,127.9256
228,145.0,342.1715
229,108.0,44.573643
230,20.0,206.5881
231,176.0,35.97645
232,0.0,14.8123665
233,140.0,98.093735
234,75.0,117.59338
235,1757.0,325.18976
236,0.0,287.011
237,40.0,28.127005
238,410.0,689.1277
239,260.0,115.2245
240,40.0,34.167156
241,280.0,144.08192
242,80.0,176.14745
243,100.0,104.728004
244,180.0,274.59082
245,110.0,104.1007
246,82.0,386.04712
247,20.0,35.82908
248,558.0,351.0282
249,140.0,27.858894
250,123.0,46.969425
251,0.0,63.255745
252,140.0,177.80249
253,0.0,221.58723
254,586.0,490.08218
255,250.0,96.75459
256,40.0,131.47583
257,235.0,481.37308
258,140.0,76.05635
259,0.0,23.320454
260,152.0,131.8879
261,260.0,169.83713
262,0.0,14.170173
263,18.0,73.401566
264,327.0,16.761883
265,20.0,191.4164
266,0.0,18.964184
