,Origin,Predict
0,40.0,0.49753118
1,40.0,33.08981
2,0.0,0.13806625
3,0.0,1.4831206
4,0.0,1.7523941
5,80.0,56.920937
6,0.0,4.0302105
7,0.0,4.5614953
8,0.0,0.8567772
9,0.0,0.7954999
10,0.0,1.8026822
11,0.0,0.6156885
12,0.0,2.066498
13,0.0,0.3809602
14,0.0,13.523154
15,0.0,0.6973928
16,0.0,0.0039025727
17,0.0,0.009173953
18,0.0,0.13674875
19,0.0,13.441656
20,0.0,2.8957677
21,0.0,0.17730951
22,0.0,2.4636123
23,0.0,0.47790816
24,0.0,0.5504502
25,0.0,1.1936814
26,0.0,4.9380407
27,0.0,2.613587
28,0.0,1.3682345
29,0.0,2.8274717
30,0.0,3.2176046
31,0.0,0.016677428
32,0.0,0.53304833
33,0.0,1.3102404
34,0.0,0.4217296
35,0.0,1.1206876
36,0.0,1.2283883
37,0.0,2.362892
38,40.0,83.11138
39,0.0,15.138357
40,0.0,2.9812639
41,0.0,0.9874528
42,0.0,12.1103735
43,0.0,5.087861
44,0.0,0.05040236
45,0.0,17.650774
46,0.0,1.934337
47,200.0,47.635082
48,0.0,1.7501968
49,0.0,2.144146
50,0.0,3.0498326
51,0.0,3.5264955
52,0.0,1.1382515
53,0.0,2.2332664
54,0.0,2.632294
55,0.0,0.5541824
56,0.0,0.6098555
57,0.0,2.2401445
58,80.0,63.65212
59,0.0,2.2920272
60,0.0,0.6022966
61,0.0,1.6375729
62,0.0,97.965675
63,0.0,1.4157515
64,0.0,3.5651965
65,0.0,2.1727822
66,0.0,2.945956
67,0.0,0.24036701
68,0.0,2.5653877
69,0.0,0.6018178
70,0.0,1.9181497
71,0.0,0.4282145
72,0.0,2.9080892
73,0.0,0.40124467
74,0.0,14.113825
75,0.0,1.9232473
76,0.0,0.35181847
77,0.0,1.8557311
78,0.0,36.518246
79,0.0,2.8538628
80,0.0,2.2577243
81,0.0,0.73719496
82,40.0,44.59724
83,0.0,106.41172
84,0.0,2.1071033
85,0.0,1.2808846
86,0.0,1.4752505
87,0.0,0.14463666
88,0.0,0.05621415
89,0.0,4.426735
90,0.0,4.0566316
91,0.0,0.20630142
92,0.0,0.10569371
93,0.0,3.6431775
94,80.0,69.56055
95,0.0,1.6826819
96,80.0,32.938137
97,0.0,0.69130945
98,0.0,0.25255972
99,0.0,1.0906305
100,0.0,5.264742
101,0.0,18.50459
102,0.0,25.728706
103,0.0,2.1845233
104,0.0,1.827094
105,0.0,1.381131
106,0.0,0.07130045
107,80.0,83.26626
108,0.0,1.1687025
109,0.0,1.9942906
110,0.0,0.35257572
111,0.0,4.221968
112,0.0,1.6414557
113,0.0,40.03332
114,0.0,7.919063
115,0.0,0.98222315
116,0.0,0.31054834
117,0.0,13.834688
118,0.0,2.3915505
119,0.0,3.7980638
120,0.0,0.16402777
121,80.0,74.57169
122,0.0,23.52482
123,21.0,29.9973
124,0.0,5.5987663
125,0.0,19.52274
126,0.0,0.80854124
127,0.0,0.22735068
128,80.0,75.47385
129,0.0,1.6853563
130,0.0,21.140102
131,0.0,1.6428217
132,0.0,0.8884705
133,40.0,77.64608
134,0.0,1.9253447
135,40.0,30.458948
136,0.0,2.4823701
137,0.0,2.831137
138,0.0,0.40483668
139,0.0,0.05905916
140,0.0,0.08805039
141,0.0,2.9257221
142,40.0,39.676163
143,0.0,2.3682153
144,0.0,4.7066545
145,0.0,3.6769686
146,0.0,0.71971035
147,0.0,39.92924
148,40.0,0.11716953
149,80.0,34.72468
150,0.0,0.3681566
151,0.0,0.89394087
152,0.0,2.867228
153,0.0,0.7196809
154,0.0,21.982773
155,0.0,0.9231989
156,40.0,51.009605
157,0.0,1.3304052
158,0.0,2.351328
159,0.0,1.7551078
160,0.0,54.906837
