,Origin,Predict
0,0.0,12.700815
1,0.0,0.24331523
2,84.2,85.820755
3,0.0,0.2747742
4,0.0,1.1003561
5,0.0,0.01741779
6,0.0,1.5009072
7,0.0,0.7775498
8,0.0,6.072287
9,53.3,54.89976
10,0.0,0.27264628
11,38.2,39.519474
12,0.0,4.455349
13,0.0,21.039299
14,0.0,0.4051035
15,0.0,1.4667387
16,0.0,0.3515792
17,44.6,42.751488
18,0.0,0.013299194
19,0.0,2.9338665
20,32.0,57.28634
21,71.9,58.637856
22,0.0,0.082953945
23,0.0,6.9512014
24,0.0,0.2703631
25,44.0,40.078255
26,0.0,0.19044167
27,0.0,8.315789
28,42.4,42.580563
29,72.4,48.96274
30,0.0,0.77349716
31,0.0,0.25034824
32,0.0,0.06263511
33,0.0,0.09987202
34,0.0,0.66650116
35,0.0,1.034053
36,0.0,0.010419249
37,123.9,134.45499
38,0.0,0.8610257
39,0.0,0.4058893
40,0.0,0.51644313
41,0.0,0.28808147
42,85.0,65.9558
43,38.9,42.158234
44,0.0,0.12668854
45,0.0,15.166398
46,0.0,0.11882472
47,0.0,36.798412
48,0.0,0.19694506
49,0.0,0.19991036
50,47.7,49.226467
51,0.0,0.16380744
52,0.0,1.7058418
53,41.4,51.26968
54,0.0,0.05595884
55,0.0,1.631399
56,0.0,0.25967506
57,0.0,1.0778806
58,80.7,75.37842
59,0.0,0.1572223
60,0.0,0.13732266
61,0.0,0.4995169
62,0.0,0.30060416
63,0.0,0.07098779
64,81.6,86.75207
65,0.0,0.18172681
66,0.0,0.2307004
67,0.0,0.0975116
68,0.0,0.45117822
69,69.2,66.913345
70,0.0,0.7966174
71,0.0,0.004732139
72,38.0,40.008045
73,0.0,0.53308237
74,95.0,72.8652
75,65.9,57.22854
76,72.0,67.60586
77,0.0,0.3208932
78,0.0,3.2642043
79,0.0,28.846819
80,89.5,129.76291
81,0.0,0.7173326
82,0.0,0.19372036
83,0.0,32.149014
84,0.0,0.9385396
85,41.5,48.998577
86,0.0,0.23019622
87,0.0,0.12148343
88,0.0,2.9267983
89,38.8,41.978764
90,55.5,72.57638
91,0.0,0.03795114
92,0.0,0.58803254
93,0.0,0.22316343
94,0.0,0.8022014
95,0.0,8.560976
96,0.0,11.165479
97,0.0,2.755961
98,0.0,0.27210623
99,0.0,36.268543
100,77.2,69.687584
101,0.0,0.40869963
102,0.0,0.40222594
103,0.0,0.6081171
104,0.0,0.5846673
105,0.0,0.7365839
106,18.0,14.381702
107,0.0,2.4548395
108,0.0,6.5916743
109,0.0,0.09718896
110,60.0,59.635155
111,0.0,1.2320449
112,0.0,0.46470758
113,0.0,0.21686675
114,0.0,5.046401
115,81.2,85.3166
116,51.7,47.389225
117,68.0,59.18336
118,0.0,1.9742824
119,0.0,0.096556045
120,0.0,1.7268553
121,91.5,76.585724
122,100.7,97.121864
123,48.3,47.218513
124,52.8,50.036007
125,0.0,0.5937028
126,0.0,0.3172184
127,0.0,0.6702622
128,0.0,7.1383076
129,0.0,0.07636202
130,0.0,4.823576
131,0.0,0.08321081
132,65.6,69.913185
133,0.0,9.915652
134,0.0,0.11173085
135,76.8,72.778244
136,0.0,16.37849
137,0.0,0.0005160441
138,0.0,1.3026911
139,0.0,0.2294541
140,0.0,10.567202
141,0.0,0.3042909
142,0.0,2.0353212
143,0.0,0.16990289
144,0.0,0.55106544
145,0.0,7.199726
146,0.0,0.20018153
147,0.0,0.14225161
148,56.9,69.02382
149,0.0,0.15966375
150,117.3,116.84242
151,0.0,14.6877165
152,0.0,0.26724488
153,0.0,0.20095596
154,0.0,32.1597
155,0.0,4.901536
156,0.0,0.096887134
157,58.0,58.165195
158,0.0,2.2830043
159,77.5,87.811386
160,0.0,1.3413233
161,104.2,90.958435
162,75.8,73.14924
163,0.0,6.065178
164,0.0,0.03664448
165,0.0,0.31050062
166,0.0,0.13090174
167,0.0,0.0278095
