,Origin,Predict
0,23.5,23.610088
1,18.7,19.23711
2,20.6,19.255
3,20.4,21.976643
4,20.7,22.854996
5,0.0,1.3869907
6,20.8,21.617508
7,20.6,19.22903
8,22.0,21.548315
9,24.3,26.01545
10,29.8,29.946003
11,32.0,30.971745
12,0.0,2.773161
13,30.8,29.860899
14,28.1,29.168379
15,26.4,27.184483
16,26.5,25.902779
17,25.3,24.7666
18,25.9,28.145828
19,0.0,0.22460663
20,34.4,33.946747
21,35.8,35.20053
22,36.5,36.000393
23,36.8,35.52298
24,34.2,31.129148
25,29.8,30.338266
26,0.0,0.07432264
27,31.8,30.960205
28,31.8,27.720688
29,27.2,25.117609
