,Origin,Predict
0,36.0,38.443634
1,18.6,14.390452
2,20.7,26.049631
3,18.2,14.790093
4,0.0,27.756613
5,22.5,23.124502
6,0.0,0.8220119
7,45.3,38.60005
8,13.9,13.984771
9,28.1,29.494596
10,32.8,32.68883
11,41.0,44.32239
12,31.5,33.90419
13,36.5,40.269615
14,36.4,42.65249
15,27.4,30.781673
16,16.8,14.406237
17,17.8,18.470297
18,0.0,0.22750796
19,19.6,17.42395
20,0.0,1.1141099
21,48.9,53.663776
22,0.0,3.817968
23,26.4,24.56044
24,25.5,24.998943
25,35.3,37.732468
26,23.3,21.02306
27,35.2,39.401966
28,27.9,28.423666
29,15.0,14.203655
30,23.9,25.210669
31,45.2,46.367687
32,21.2,22.86244
33,17.5,17.231785
34,12.9,10.58016
35,14.2,14.311314
36,0.0,6.9770694
37,20.8,19.954685
38,27.7,28.417372
39,26.9,24.289656
40,42.7,36.89233
41,20.3,14.510676
42,18.4,19.009464
43,15.3,17.313698
44,9.8,8.794254
45,24.9,25.319647
46,52.2,43.274017
47,16.4,10.917805
48,31.4,30.999725
49,18.0,15.854276
50,17.2,16.910593
51,21.5,22.51781
52,27.4,26.84999
53,17.6,14.680485
54,46.3,38.832996
55,0.0,2.9500496
56,26.9,28.867876
57,65.2,67.88282
58,16.1,15.252706
59,0.0,8.392986
60,30.6,30.722038
61,16.7,13.196026
62,0.0,0.7308879
63,0.0,12.749779
64,14.1,16.949514
65,12.8,14.504532
66,25.6,30.759064
67,0.0,0.2870319
68,25.8,27.41658
69,25.1,24.15469
70,19.8,18.979118
71,52.1,51.56933
72,0.0,0.43147296
73,38.8,35.262997
74,18.7,23.653507
75,13.8,15.145014
76,15.5,14.71629
77,0.0,5.0930476
78,33.1,31.599745
79,21.8,21.77294
80,24.9,24.933023
81,0.0,0.46118063
82,25.3,22.572617
83,18.1,16.79812
84,0.0,3.245994
85,22.1,22.69831
86,12.5,13.990338
87,29.7,22.720804
88,0.0,1.0819184
89,40.8,36.42599
90,20.2,23.192823
91,23.7,23.831875
92,12.8,12.695577
93,31.3,29.272066
94,19.5,20.978338
95,17.4,20.129164
96,19.8,18.211723
97,18.0,19.150839
98,14.9,14.096091
99,23.5,24.105988
100,31.6,38.28691
101,16.1,15.317549
102,33.5,36.74642
103,0.0,9.03742
104,0.0,2.515557
105,0.0,0.24760453
106,31.3,27.860666
107,11.9,9.449886
108,14.8,11.599306
109,27.5,18.207829
110,68.0,56.98127
111,15.6,15.521344
112,0.0,5.4754844
113,34.4,37.96377
114,26.3,26.759819
115,37.3,35.699562
116,38.1,33.353207
117,21.1,16.94452
118,48.6,49.79317
119,13.6,8.3043585
120,24.4,24.042234
121,13.7,13.200521
122,0.0,1.0612655
123,15.4,14.670522
124,11.7,15.910754
125,13.4,13.20088
126,18.2,11.491267
127,0.0,11.58053
128,25.5,23.940523
129,28.5,26.140316
130,45.2,45.799553
131,26.0,27.438902
132,25.1,21.002716
133,21.0,26.408121
134,0.0,9.03183
135,0.0,6.6389284
136,40.4,41.425804
137,24.2,18.022596
138,12.9,12.177781
139,0.0,2.9066715
140,13.3,12.264653
141,21.1,21.31774
142,20.4,21.567421
143,0.0,4.709405
144,66.9,60.680866
145,22.3,23.00791
146,22.1,21.381325
147,37.9,39.804974
148,16.3,18.877518
149,48.9,47.210163
150,14.8,13.720231
151,16.2,21.472013
152,37.0,35.540657
153,18.3,11.761573
154,0.0,2.7868361
155,33.9,35.43794
156,22.9,22.589018
157,35.5,33.550953
158,17.1,14.44251
159,14.0,15.005511
160,37.5,37.260117
161,20.3,20.48088
162,0.0,8.675873
163,30.0,28.003521
164,45.8,45.89026
165,20.7,14.607293
166,13.4,14.124825
167,0.0,0.9617924
168,36.2,35.133842
169,21.6,24.518166
170,0.0,0.47878182
171,16.6,15.42287
172,28.1,29.597155
173,0.0,0.4709629
174,0.0,1.1163977
175,0.0,0.10442296
176,31.1,28.776068
177,30.1,22.9877
178,53.1,61.57788
179,13.7,15.3001175
180,19.9,19.656124
181,17.7,18.64922
182,14.0,14.780607
183,47.6,48.520935
184,0.0,1.2305307
185,0.0,1.354745
186,16.8,12.893848
187,29.6,29.27473
188,23.8,22.844398
189,35.2,39.733273
190,15.1,14.729561
191,13.8,11.69476
192,22.1,24.406734
193,21.0,18.133436
194,57.8,46.635483
195,38.0,38.00174
196,19.5,16.540388
197,28.8,27.139496
198,30.4,28.535984
199,21.0,20.097538
200,45.2,45.710716
201,15.4,11.570325
202,0.0,4.435818
203,15.2,16.923876
204,63.6,69.63441
205,0.0,1.502673
206,17.0,21.579014
207,16.2,16.669016
208,18.5,19.052216
209,11.8,14.683198
210,34.7,30.263805
211,14.7,19.510244
212,48.8,43.627415
213,0.0,0.5504639
214,0.0,3.3621504
215,15.6,14.003083
216,21.0,18.613695
217,12.9,11.880321
218,52.2,52.704704
219,18.4,16.690086
220,15.7,16.573246
221,19.9,21.380947
222,0.0,4.8749514
223,0.0,5.3295484
224,0.0,3.6087508
225,29.0,28.103878
226,18.8,14.712113
227,14.9,16.940302
228,0.0,3.579804
229,23.4,19.014553
230,17.4,14.554724
231,38.9,40.91851
232,12.0,10.795839
233,0.0,0.91810054
234,25.0,22.145895
235,55.6,54.930916
236,24.2,24.849464
237,14.9,12.417818
238,38.0,36.797485
239,35.3,34.53098
240,25.3,31.134842
241,12.8,15.408619
242,12.5,10.1957655
243,19.4,16.747122
244,20.1,20.943888
245,19.5,19.343193
246,19.5,14.884969
247,18.4,17.100117
248,33.5,33.126102
249,44.5,51.2097
250,11.8,13.371836
251,0.0,0.10670182
252,15.0,14.689928
253,0.0,9.114844
254,40.3,44.735252
255,0.0,3.4082682
256,35.5,24.525158
257,25.7,28.866875
258,18.6,13.835264
259,0.0,1.9679672
260,0.0,2.4054554
