,Origin,Predict
0,46.6,54.163227
1,67.6,58.590343
2,76.6,67.361916
3,0.0,11.870556
4,0.0,219.40898
5,163.4,158.4699
6,104.8,79.693565
7,239.4,234.30382
8,53.5,46.224606
9,0.0,5.1202555
10,73.1,69.13368
11,24.5,23.22535
12,78.4,77.14908
13,169.5,103.175255
14,127.3,146.84425
15,270.9,273.99173
16,0.0,10.714209
17,111.8,119.14252
18,135.1,134.20422
19,0.0,4.6136813
20,0.0,5.6944313
21,170.0,164.79166
22,51.2,44.841293
23,0.0,0.2244945
24,0.0,38.20257
25,42.6,48.036644
26,40.6,26.868675
27,38.4,42.295033
28,173.4,174.86227
29,112.4,109.646736
30,141.3,124.514885
31,160.5,164.53185
32,171.8,130.3135
33,103.4,131.51224
34,0.0,32.13557
35,81.7,78.54526
36,130.0,137.59444
37,46.2,59.90909
38,122.4,93.418755
39,83.9,89.280754
40,66.0,83.87083
41,101.3,108.234146
42,31.1,20.356052
43,95.3,82.2264
44,139.3,157.6017
45,140.5,137.77843
46,0.0,4.608338
47,143.4,163.21236
48,118.9,129.17575
49,0.0,0.97966737
50,0.0,8.330035
51,0.0,33.46969
52,230.0,213.0629
53,0.0,62.34978
54,0.0,75.31328
55,48.7,11.26912
56,108.9,132.49977
57,0.0,13.220865
58,0.0,1.5456878
59,105.4,96.09816
60,47.0,82.06444
61,81.0,94.74906
62,85.0,48.673157
63,36.0,54.205265
64,121.4,113.90462
65,0.0,5.492088
66,71.0,69.02949
67,195.4,172.49182
68,152.5,159.274
69,95.8,108.51556
70,118.7,109.36372
71,72.6,89.20288
72,0.0,8.297789
73,36.8,44.943623
74,36.4,11.41719
75,0.0,2.285483
76,0.0,3.152346
77,182.2,178.76581
78,0.0,2.4155712
79,180.0,167.22913
80,79.9,101.62665
81,0.0,6.8792915
82,69.5,59.02417
83,136.7,123.272224
84,0.0,3.7146912
85,83.8,84.17395
86,146.3,166.4848
87,44.1,41.054073
88,133.9,144.01721
89,133.9,120.94842
90,86.7,12.745416
91,0.0,60.564198
92,107.1,103.5932
93,90.6,83.17651
94,0.0,13.23941
95,74.9,77.454506
96,64.3,60.889038
97,81.2,85.551025
98,90.3,62.04265
99,59.1,62.21019
100,187.1,181.40991
101,99.2,85.56461
102,70.3,68.30575
103,79.6,72.60618
104,44.8,46.203835
105,103.3,122.02928
106,77.0,110.88369
107,84.3,70.199875
108,45.3,34.338387
109,79.7,79.88201
110,84.9,34.161816
111,67.8,81.86312
112,186.0,205.04813
113,131.2,120.97814
114,155.0,153.64734
115,194.6,192.70183
116,43.7,40.694
117,0.0,3.1346147
118,100.7,85.31623
119,48.9,36.873215
120,51.1,46.063873
121,103.8,112.860565
122,447.6,117.83036
123,278.3,279.40607
124,110.6,82.608696
125,110.6,119.62142
126,97.7,93.452644
127,88.9,90.28326
128,122.3,131.5092
129,112.9,111.92395
130,40.7,36.47775
131,73.0,73.79319
132,172.9,141.181
133,0.0,40.081493
134,160.0,157.39856
135,72.4,110.922775
136,141.7,143.54428
137,73.2,84.36565
138,105.1,98.9007
139,81.0,74.3028
140,102.7,119.03726
141,91.8,81.30618
142,0.0,37.97863
143,0.0,0.6101222
144,200.0,239.27373
145,70.6,99.432396
146,144.6,150.00955
147,100.1,101.23218
148,186.2,197.1882
149,196.9,201.75252
150,97.2,115.43605
151,39.9,55.073257
152,43.6,35.89098
153,82.1,77.52483
154,83.3,82.50421
155,66.3,77.83443
156,142.7,148.80888
157,125.9,9.7661
158,0.0,12.178005
159,0.0,2.7794816
160,0.0,0.13085043
161,0.0,7.2577195
162,121.2,96.5714
163,99.0,92.19257
164,0.0,3.2552946
165,0.0,90.495834
166,66.4,34.394188
167,104.9,96.779724
168,103.1,98.18638
169,78.4,88.026855
170,112.8,77.06448
171,69.1,60.686718
172,54.9,62.956337
173,115.0,96.18215
174,69.2,57.485996
175,56.4,52.01017
176,0.0,1.7063171
177,0.0,16.201872
178,0.0,180.72899
179,140.0,145.6371
180,71.1,46.463764
181,65.0,67.55578
182,0.0,10.837514
183,75.6,78.84246
184,62.8,68.946526
185,28.9,36.424534
186,75.8,82.66744
187,103.8,104.22219
188,86.9,85.58205
189,129.9,136.46538
190,91.5,75.499596
191,110.0,107.57513
192,0.0,6.0098042
193,126.4,80.13498
194,0.0,2.0809336
195,94.0,87.827644
196,136.9,74.348495
197,71.6,81.181145
198,0.0,3.5590115
199,70.4,71.32838
200,264.0,228.727
201,81.7,70.26479
202,250.0,249.7648
203,82.0,76.94974
204,145.9,136.90463
205,86.0,86.74627
206,139.3,142.24728
207,0.0,19.276657
208,0.0,11.123151
209,164.8,166.15063
210,148.4,137.38858
211,0.0,38.457474
212,37.7,41.468758
213,81.4,71.199684
214,130.8,137.35858
215,102.3,60.587418
216,0.0,0.34432402
217,39.5,50.71055
218,40.6,40.930386
219,121.7,102.09657
220,75.7,89.210335
221,0.0,1.1258422
222,135.1,121.48891
223,138.6,104.467735
224,174.6,161.8665
225,221.4,209.39966
226,103.2,100.13567
