,Origin,Predict
0,25.0,26.663101
1,25.0,18.715992
2,25.0,26.10684
3,0.0,1.68485
4,0.0,1.7953243
5,30.0,28.943401
6,30.0,13.4377365
7,30.0,33.346806
8,0.0,0.12460948
9,30.0,0.9276751
10,30.0,28.705698
11,30.0,30.029821
12,30.0,29.23956
13,0.0,23.842594
14,0.0,0.10586082
15,0.0,1.8993862
16,25.0,25.514006
17,30.0,31.160192
18,30.0,27.73598
19,0.0,0.33278635
20,0.0,1.4372965
21,25.0,25.833878
22,0.0,1.3760228
23,25.0,23.669205
24,0.0,21.224707
25,30.0,28.36912
26,25.0,24.65231
27,25.0,20.605717
28,25.0,24.55392
29,0.0,10.6813755
30,30.0,23.553503
31,30.0,29.782358
32,0.0,17.548489
33,30.0,28.883045
34,0.0,17.044487
35,0.0,0.25831234
36,30.0,1.137145
37,0.0,6.1861525
38,0.0,0.22827163
39,30.0,30.10165
40,30.0,29.752441
41,0.0,20.015785
42,0.0,31.293468
43,0.0,29.755314
44,25.0,26.872128
45,30.0,15.01752
46,0.0,30.40992
47,0.0,5.066749
48,30.0,27.643682
49,30.0,20.979195
50,0.0,17.803188
51,30.0,28.229708
52,30.0,0.31759873
53,25.0,25.14459
54,25.0,17.604094
55,0.0,21.793173
56,30.0,30.395653
57,30.0,29.081755
58,30.0,28.737614
59,30.0,30.734852
60,25.0,23.590738
61,0.0,18.43258
62,0.0,1.1010146
63,30.0,30.427256
64,30.0,30.318264
65,0.0,20.55518
66,0.0,0.5209501
67,0.0,30.323837
68,30.0,29.152338
69,30.0,2.5494678
70,0.0,30.123283
71,0.0,29.774855
72,25.0,27.691853
73,0.0,15.914848
74,0.0,25.615541
75,0.0,15.697288
76,30.0,29.585148
77,30.0,29.461264
78,30.0,30.364124
79,0.0,1.3575114
80,30.0,29.931894
81,0.0,16.478012
82,25.0,0.9512017
83,30.0,6.9075794
84,25.0,0.51006716
85,25.0,27.286732
86,25.0,24.21191
87,25.0,0.64390236
88,0.0,0.8442558
89,0.0,4.9641643
90,25.0,17.244503
91,25.0,23.273731
92,30.0,27.450796
93,30.0,31.122566
94,0.0,30.851763
95,30.0,33.32535
96,0.0,1.0199156
97,25.0,28.079458
98,0.0,32.15327
99,0.0,18.863459
100,25.0,25.338144
101,0.0,0.5286302
102,0.0,0.20873363
103,30.0,30.236828
104,30.0,30.878206
105,0.0,4.719659
106,25.0,25.325052
107,0.0,1.0588455
108,30.0,30.696354
109,30.0,21.680372
110,30.0,2.4792645
111,25.0,24.649837
112,0.0,0.26925907
113,30.0,20.142275
114,0.0,26.634132
115,30.0,0.929805
116,30.0,27.943123
