,Origin,Predict
0,0.0,32.847668
1,0.0,318.35535
2,0.0,13.515084
3,72.0,3.1746545
4,0.0,22.355753
5,0.0,1.3943828
6,60.0,27.917902
7,0.0,37.574814
8,0.0,49.46252
9,0.0,147.37247
10,0.0,104.9055
11,326.0,158.84137
12,100.0,83.53419
13,180.0,117.38192
14,0.0,317.70694
15,0.0,62.501015
16,0.0,69.64152
17,0.0,2.3320613
18,0.0,2.8952892
19,0.0,0.31640893
20,36.0,68.80649
21,0.0,193.52864
22,0.0,19.215683
23,125.0,69.913025
24,0.0,3.6029356
25,0.0,27.784195
26,40.0,50.44491
27,0.0,13.248202
28,0.0,20.468054
29,2539.0,492.16226
30,0.0,31.21188
31,108.0,82.59295
32,0.0,6.6996727
33,0.0,4.8212633
34,274.0,56.07468
35,140.0,42.86066
36,24.0,27.675987
37,0.0,13.037338
38,301.0,123.61036
39,0.0,50.474056
40,195.0,56.103138
41,0.0,232.63673
42,0.0,150.89633
43,0.0,32.750645
44,0.0,67.975845
45,90.0,108.88917
46,0.0,48.73803
47,0.0,6.766849
48,0.0,77.83189
49,0.0,14.516847
50,63.0,24.719383
51,0.0,14.256407
52,0.0,29.912083
53,0.0,28.835379
54,2177.0,3090.3276
55,398.0,83.616196
56,266.0,81.73156
57,1202.0,1142.5253
58,239.0,61.53718
59,0.0,109.25183
60,36.0,44.121166
61,33.0,104.14019
62,0.0,6.1712437
63,50.0,15.558272
64,0.0,14.947743
65,156.0,69.72632
66,0.0,50.182404
67,0.0,27.166002
68,80.0,16.833841
69,60.0,63.169117
70,0.0,3.1566646
71,36.0,34.065662
72,40.0,18.561325
73,0.0,26.629246
74,286.0,117.48729
75,0.0,17.040579
76,0.0,177.34804
77,469.0,157.60922
78,2027.0,1773.1937
79,150.0,145.73053
80,48.0,88.27084
81,44.0,19.157131
82,1713.0,2864.38
83,0.0,16.646639
84,0.0,10.104132
85,632.0,435.20114
86,22.0,65.12252
87,598.0,472.73254
88,0.0,17.44379
89,0.0,33.591644
90,30.0,33.93667
91,0.0,10.463843
92,22.0,6.087699
93,0.0,49.84318
94,18.0,0.44103998
95,60.0,45.605118
96,183.0,456.7281
97,0.0,6.867393
98,225.0,87.22882
99,215.0,15.698142
100,36.0,1.0614586
101,0.0,9.479253
102,0.0,36.846886
103,0.0,50.371662
104,564.0,199.09787
105,120.0,34.721054
106,60.0,14.016411
107,0.0,6.3788543
108,0.0,23.954649
109,0.0,12.711934
110,0.0,60.19735
111,0.0,25.727104
112,0.0,18.163935
113,0.0,50.616158
114,0.0,9.898179
115,60.0,11.576073
116,0.0,187.19788
117,60.0,2.6653378
118,0.0,5.203675
119,2017.0,774.8816
120,0.0,117.68628
121,0.0,64.4796
122,0.0,4.671115
123,0.0,65.1821
124,0.0,41.852863
125,135.0,124.967415
126,75.0,19.171637
127,0.0,9.621507
128,210.0,324.1607
129,0.0,7.55837
130,480.0,1692.0828
131,0.0,83.67466
132,0.0,17.126453
133,417.0,28.99745
134,0.0,31.05027
135,264.0,187.79967
136,0.0,31.984383
137,3834.0,3080.1548
138,30.0,37.11488
139,0.0,21.425802
140,0.0,15.049642
141,0.0,23.171503
142,0.0,24.807999
143,0.0,13.012914
144,0.0,12.524595
145,0.0,7.418581
146,0.0,25.916351
147,0.0,19.70656
148,0.0,59.680275
149,75.0,32.342247
150,0.0,49.55089
151,0.0,84.087
152,0.0,7.4868064
153,0.0,13.617154
154,0.0,12.016379
155,0.0,18.055038
156,0.0,14.438342
157,949.0,610.31683
158,0.0,40.13962
159,0.0,4.0929856
160,0.0,7.604035
161,0.0,73.17977
162,0.0,1.6256256
163,168.0,150.87802
164,0.0,29.026955
165,705.0,58.09563
166,0.0,2.575894
167,0.0,277.99606
168,154.0,277.18845
169,0.0,69.16523
170,325.0,55.721176
171,0.0,9.465173
172,0.0,34.698513
173,318.0,119.00142
174,100.0,22.659996
175,60.0,46.82303
176,0.0,0.7983959
177,0.0,8.435755
178,0.0,58.605274
179,0.0,55.6346
180,0.0,36.05994
181,137.0,86.36007
182,61.0,119.11233
183,0.0,17.373405
184,0.0,573.8144
185,0.0,13.818397
186,0.0,0.1804498
187,33.0,66.07296
188,165.0,134.57016
189,120.0,38.091934
190,96.0,113.92129
191,48.0,105.23198
192,36.0,37.979122
193,0.0,42.91484
194,1638.0,51.045483
195,0.0,58.702393
196,50.0,66.71909
197,0.0,104.913925
198,0.0,29.859793
199,60.0,38.50088
200,0.0,93.70274
201,0.0,13.185762
202,0.0,32.558147
203,0.0,11.911484
204,78.0,55.98402
205,0.0,19.000332
206,30.0,49.057537
207,0.0,22.452929
208,0.0,18.941631
209,72.0,0.695746
210,0.0,3.9812384
211,0.0,49.59251
212,1428.0,324.76782
213,0.0,88.52538
214,0.0,37.7829
215,0.0,40.78622
216,0.0,162.65424
217,50.0,48.909424
218,215.0,69.788704
219,433.0,172.877
220,0.0,92.20614
221,107.0,156.32738
222,0.0,18.434746
223,0.0,10.691799
224,0.0,61.611496
225,60.0,50.02824
226,0.0,3.2707305
227,0.0,111.801254
228,24.0,5.2609167
229,0.0,9.804506
230,0.0,16.739975
231,0.0,48.294304
232,0.0,83.992165
233,0.0,38.620834
234,240.0,46.83776
235,0.0,14.178515
236,50.0,31.920916
237,0.0,46.492264
238,100.0,71.78838
239,0.0,91.49589
240,0.0,21.212091
241,120.0,14.255086
242,0.0,53.880325
243,569.0,181.43431
244,1296.0,2589.0046
245,0.0,20.062819
246,60.0,44.984238
247,0.0,177.39505
248,120.0,41.89098
249,0.0,126.27261
250,0.0,34.631363
251,120.0,197.89476
252,0.0,54.59411
253,24.0,109.17554
254,100.0,11.811788
255,0.0,15.676062
256,344.0,110.61554
257,36.0,24.775398
258,0.0,0.38333568
259,144.0,157.39737
260,0.0,21.683378
261,260.0,69.00099
262,50.0,28.517187
263,0.0,1.9125551
264,108.0,2.2760372
265,60.0,9.416662
266,0.0,3.2745016
