,Origin,Predict
0,2036.0,2252.2395
1,2889.0,2724.7222
2,0.0,172.6787
3,2875.0,2206.9407
4,4335.0,3286.2905
5,0.0,1549.1332
6,1814.0,2111.8845
7,2954.0,2377.5671
8,3258.0,3073.2986
9,2563.0,2791.4084
10,2096.0,2569.3025
11,0.0,136.43184
12,3364.0,3248.7717
13,1188.0,2505.1045
14,1359.0,2314.417
15,2778.0,900.77905
16,2167.0,2477.715
17,2208.0,1750.6062
18,1269.0,1823.7687
19,2315.0,678.4201
20,0.0,1908.5813
21,2202.0,2023.9352
22,2668.0,2766.4468
23,2017.0,2130.5107
24,0.0,2759.526
25,2798.0,2484.2173
26,2017.0,2169.1553
27,2762.0,2512.1702
28,2971.0,3331.655
29,0.0,307.66663
30,0.0,148.01147
31,1125.0,1379.1578
32,2859.0,3006.8545
33,3190.0,3513.8105
34,3006.0,1150.0255
35,0.0,73.60734
36,3182.0,2289.228
37,2297.0,2996.7605
38,0.0,114.0599
39,2006.0,2618.8345
40,2949.0,3583.8252
41,1522.0,957.72754
42,2311.0,2118.1838
43,1671.0,2452.1628
44,2055.0,1295.1216
45,2923.0,1459.4741
46,0.0,1938.9991
47,2691.0,2027.9375
48,2206.0,2230.737
49,1008.0,1346.2462
50,0.0,615.1199
51,3292.0,4201.087
52,1780.0,2044.2197
53,0.0,566.32245
54,0.0,6.6748576
55,1909.0,1481.4635
56,3766.0,3541.4954
57,2424.0,3047.5679
58,2092.0,2758.924
59,3025.0,3119.0203
60,3412.0,3540.0664
61,2732.0,2278.4917
62,3329.0,1003.07526
63,1861.0,2060.0383
64,2006.0,1906.1398
65,3405.0,3241.808
66,2010.0,1226.5367
67,2628.0,1328.5226
68,0.0,181.13216
69,2952.0,2488.856
70,2069.0,2321.5056
71,1397.0,1345.3694
72,2019.0,1679.4484
73,1668.0,1812.5865
74,3516.0,3074.5955
75,2468.0,2718.4583
76,3552.0,2449.127
77,3045.0,1321.409
78,1705.0,1855.0753
79,0.0,318.93683
80,1996.0,2343.9026
81,2277.0,1839.8807
82,0.0,88.30246
83,2238.0,2224.4497
84,2259.0,2312.0889
85,2427.0,2684.468
86,2920.0,2838.0352
87,0.0,301.46756
88,2417.0,2259.818
89,2103.0,1972.9661
90,2394.0,2693.5215
91,1212.0,1805.1814
92,0.0,147.61548
93,1597.0,1842.4711
94,3250.0,3051.446
95,1552.0,1599.3296
96,3250.0,2141.3186
97,3123.0,2714.8105
98,3388.0,2910.1804
99,3683.0,3010.364
100,2162.0,2180.7153
101,3133.0,2690.679
102,2929.0,3487.5698
103,3134.0,2398.7686
104,2270.0,1202.8806
105,3064.0,3290.1821
106,5048.0,3658.4565
107,1374.0,1315.4686
108,4323.0,4098.1694
109,0.0,55.264854
110,0.0,113.15184
111,3804.0,3194.0403
112,3178.0,1417.6051
113,2873.0,3914.9324
114,0.0,1158.4468
115,3174.0,3271.8782
116,0.0,14.914291
117,1674.0,1705.6814
118,0.0,1828.9119
119,3579.0,3444.0657
120,3665.0,3154.4768
121,0.0,1031.9768
122,3218.0,3465.4475
123,1528.0,2426.7192
124,1493.0,1937.2546
125,3598.0,1905.2006
126,2754.0,2608.8794
127,3199.0,2752.825
128,2574.0,1866.1934
129,2868.0,3787.3237
130,2900.0,3195.374
131,3215.0,3712.6611
132,0.0,43.6694
133,1989.0,2446.7637
134,1806.0,2222.808
135,1136.0,1420.1205
136,2464.0,2628.483
137,2280.0,2559.3843
138,1281.0,1256.744
139,1902.0,1873.3955
140,2464.0,2899.8962
141,0.0,2288.5994
142,0.0,137.43222
143,3797.0,4752.266
144,0.0,195.78822
145,2703.0,4901.8174
146,0.0,198.35199
147,4355.0,4641.277
148,3286.0,2508.1033
149,1515.0,1468.6144
150,0.0,2012.1254
151,0.0,77.96914
152,1858.0,2011.0447
153,2394.0,3277.2825
154,1624.0,1429.1338
155,0.0,85.20053
156,0.0,194.6113
157,2764.0,2688.454
158,2137.0,2472.6199
159,2390.0,1907.7877
160,0.0,6.4465356
161,1917.0,1881.4038
162,3783.0,3428.6118
163,0.0,17.14879
164,2103.0,3459.6462
165,1873.0,1572.5411
166,3713.0,4393.3276
167,0.0,995.8926
168,2153.0,2356.763
169,8510.0,7308.6226
170,2288.0,2165.7642
171,2525.0,2036.1824
172,4005.0,4055.5515
173,2280.0,2925.5938
174,0.0,566.6554
175,2887.0,3172.9001
176,2335.0,2896.1675
177,1466.0,1319.409
178,2329.0,2712.593
179,0.0,861.6772
180,3748.0,3429.5615
181,4133.0,3922.2063
182,4600.0,3203.1667
183,2934.0,2962.0588
184,2427.0,2134.205
185,0.0,7.706777
186,4539.0,719.7542
187,2622.0,2433.6394
188,2350.0,1701.9272
189,1631.0,1809.5455
190,2931.0,2972.8167
191,0.0,2671.0173
192,1823.0,2290.1765
193,4054.0,3184.6538
194,1342.0,2066.6738
195,1777.0,1575.2494
196,2856.0,3181.2915
197,2665.0,3075.5305
198,2950.0,2727.444
199,1923.0,1508.7911
200,4162.0,4704.1694
201,3211.0,3562.658
202,2798.0,3027.0806
203,2294.0,1986.7898
204,2165.0,3009.4492
205,1881.0,1007.4437
206,5420.0,4304.876
207,3184.0,2680.7
208,1745.0,1961.9335
209,1413.0,1419.7557
210,2872.0,3231.7004
211,1068.0,1546.8729
212,2683.0,2299.402
213,2623.0,2428.877
214,2149.0,1986.2401
215,2043.0,2300.1118
216,4762.0,4357.1323
217,2982.0,2915.4883
218,3155.0,3790.0063
219,1402.0,1450.4832
220,0.0,306.35513
221,1628.0,1670.884
222,0.0,1801.4222
223,3963.0,3587.403
224,2546.0,2279.7676
225,2823.0,3448.4712
226,0.0,247.71606
227,0.0,48.88475
228,1802.0,1800.2086
229,1906.0,2076.616
230,3366.0,3468.699
231,2906.0,2640.2803
232,4150.0,4361.4116
233,2212.0,2271.4363
234,2121.0,2304.3892
235,4238.0,3876.92
236,2372.0,2659.827
237,2349.0,2915.2478
238,0.0,987.248
239,2225.0,2310.1562
240,0.0,14.15876
241,2748.0,2832.3613
242,0.0,673.6137
243,3072.0,3190.8408
244,1546.0,1453.4454
245,0.0,1316.4673
246,1775.0,1699.1705
247,1510.0,663.6375
248,3599.0,3480.0432
249,2075.0,1995.7745
250,2022.0,1845.8876
251,1291.0,1730.3295
252,0.0,833.9361
253,0.0,290.15643
254,0.0,28.300335
255,2334.0,2909.604
256,2992.0,2399.813
257,0.0,167.08682
258,2889.0,2955.7234
259,2737.0,2943.915
260,0.0,384.7721
261,3372.0,2692.2766
262,2123.0,2275.1233
263,1519.0,1793.125
264,6059.0,7190.7974
265,3210.0,2834.4465
266,0.0,425.21753
