,Origin,Predict
0,210.5,183.03983
1,0.0,0.40509182
2,76.1,76.736916
3,0.0,1.3186255
4,0.0,0.22264704
5,0.0,128.47063
6,109.0,53.811398
7,0.0,0.66569394
8,101.1,147.778
9,0.0,50.353466
10,83.0,71.25051
11,0.0,0.3952959
12,0.0,0.73626924
13,70.0,50.9029
14,144.7,153.32417
15,0.0,0.7093338
16,0.0,0.5849602
17,0.0,0.056674685
18,0.0,0.53336114
19,0.0,0.7361123
20,142.3,123.840126
21,0.0,1.9147415
22,0.0,0.07242673
23,64.8,56.442295
24,143.5,172.45796
25,164.0,164.76158
26,0.0,0.24773453
27,0.0,1.2814307
28,0.0,0.012269811
29,0.0,0.30680928
30,128.4,115.045715
31,70.0,43.87014
32,0.0,1.4019659
33,0.0,0.47476897
34,50.0,72.42412
35,0.0,1.7559365
36,0.0,0.25357917
37,0.0,0.84087044
38,0.0,1.6203389
39,0.0,0.18820606
40,0.0,0.5551801
41,0.0,2.421492
42,120.0,129.37164
43,0.0,0.86780035
44,126.6,142.61116
45,153.1,71.61735
46,0.0,0.011790497
47,0.0,1.0023164
48,60.0,81.792244
49,100.0,67.92051
50,0.0,0.055018052
51,249.3,180.85431
52,0.0,0.8003882
53,0.0,1.0942446
54,112.8,119.69435
55,0.0,0.07461741
56,162.7,127.77288
57,60.0,21.519682
58,117.1,12.960663
59,61.3,65.83031
60,0.0,0.9993865
61,0.0,0.18486367
62,0.0,0.18128
63,0.0,55.448936
64,0.0,2.9720142
65,55.9,55.24887
66,85.1,28.458382
67,50.0,1.0995383
68,0.0,46.196262
69,84.2,105.29158
70,50.0,50.411472
71,0.0,0.5623248
72,50.0,24.609102
73,0.0,0.23210852
74,0.0,0.7197956
75,176.5,212.38582
76,87.1,78.60594
77,0.0,0.32826614
78,0.0,2.1315827
79,0.0,0.44263816
80,0.0,0.27869102
81,100.0,75.201515
82,70.0,45.956093
83,139.0,13.641633
84,50.0,9.335085
85,0.0,9.628301
86,0.0,21.674765
87,0.0,1.7614181
88,0.0,2.2094812
89,0.0,0.7850753
90,0.0,1.0979668
91,0.0,0.34228122
92,147.8,99.61086
93,144.8,141.33528
94,0.0,1.2191149
95,143.3,132.23366
96,0.0,24.665323
97,0.0,0.20548618
98,0.0,0.270038
99,0.0,0.5648444
100,0.0,7.511395
101,0.0,0.793951
102,0.0,0.13701573
103,0.0,1.1530943
104,0.0,26.276928
105,124.4,76.775734
106,0.0,0.9504766
107,0.0,8.077285
108,0.0,2.1429877
109,0.0,0.117449515
110,0.0,0.09323454
111,0.0,0.3364682
112,0.0,1.4776236
113,116.7,84.44497
114,0.0,16.299744
115,100.8,117.29686
116,0.0,0.8970658
117,87.6,80.91137
118,0.0,0.39969233
119,0.0,3.6541486
120,0.0,2.3446674
121,0.0,0.9443079
122,70.0,37.969154
123,108.6,98.74249
124,0.0,0.760484
125,60.0,66.87987
126,0.0,0.061421614
127,0.0,0.17648159
128,121.1,120.14708
129,0.0,0.48011672
130,0.0,0.36527142
131,112.3,108.083885
132,76.7,90.255035
133,0.0,0.077628374
134,74.5,109.732414
135,0.0,3.3637054
136,100.0,92.128914
137,100.4,100.504585
138,0.0,0.18258612
139,0.0,0.3186372
140,159.3,120.797325
141,0.0,0.8764144
142,164.3,144.31845
143,139.4,122.52199
144,0.0,0.5047402
145,0.0,0.1718602
146,50.0,62.59814
147,0.0,0.29593724
148,0.0,0.24837956
149,0.0,0.10973431
150,0.0,0.14521728
151,0.0,0.33657992
152,132.5,112.5994
153,0.0,0.25748825
154,60.0,61.892673
155,0.0,0.02816623
156,165.7,48.877987
157,0.0,0.6829598
158,0.0,0.45501593
159,112.0,99.98982
160,0.0,42.850334
161,0.0,0.24091718
162,0.0,0.4581828
163,146.3,142.31541
164,0.0,0.33626986
165,0.0,0.7166827
166,0.0,0.14154221
167,92.4,85.85631
