,Origin,Predict
0,0.0,1.7501906
1,12.0,9.714112
2,330.0,14.920775
3,36.0,1.5254979
4,0.0,1.9640311
5,30.0,19.984346
6,14.0,27.83784
7,69.0,30.711174
8,19.0,49.95817
9,39.0,25.781378
10,32.0,31.580164
11,38.0,27.013096
12,43.0,39.519344
13,50.0,34.963127
14,0.0,1.8487437
15,86.0,0.4942379
16,0.0,4.1733313
17,0.0,28.428612
18,42.0,45.05048
19,123.0,11.9931135
20,3.0,6.788164
21,62.0,33.20717
22,36.0,2.01172
23,79.0,11.094036
24,46.0,16.104061
25,46.0,10.504312
26,54.0,30.382385
27,0.0,39.35585
28,16.0,10.30827
29,0.0,3.9572177
30,39.0,45.711494
31,32.0,42.957916
32,59.0,51.86437
33,22.0,10.202553
34,11.0,38.06539
35,0.0,0.8043001
36,0.0,3.2105742
37,0.0,0.18382724
38,10.0,1.7748811
39,36.0,50.58607
40,3.0,4.9565296
41,30.0,140.19666
42,41.0,12.63726
43,0.0,15.488158
44,0.0,24.566883
45,26.0,13.986512
46,12.0,28.294226
47,1.0,13.461773
48,0.0,3.0476522
49,0.0,4.2537856
50,33.0,51.416153
51,54.0,24.965637
52,24.0,52.422737
53,0.0,2.300014
54,0.0,2.7288427
55,30.0,12.214005
56,0.0,4.463587
57,15.0,56.78391
58,23.0,10.692807
59,0.0,0.6433477
60,0.0,12.690047
61,0.0,12.442052
62,25.0,42.657436
63,69.0,21.534704
64,57.0,65.99396
65,0.0,28.057196
66,14.0,7.9062595
67,60.0,7.5800753
68,40.0,41.22002
69,0.0,2.9383326
70,0.0,14.024137
71,0.0,0.56170547
72,0.0,1.304126
73,51.0,14.90544
74,27.0,38.002457
75,48.0,108.08014
76,0.0,15.59846
77,27.0,25.22281
78,56.0,45.80222
79,56.0,7.905135
80,45.0,30.311712
81,0.0,5.7838726
82,20.0,51.762386
83,46.0,13.140755
84,11.0,21.862179
85,0.0,17.313269
86,62.0,65.93681
87,30.0,20.257277
88,8.0,25.210266
89,89.0,12.417053
90,0.0,8.150419
91,12.0,40.820724
92,16.0,21.140875
93,0.0,1.2542528
94,14.0,33.820614
95,0.0,1.6684772
96,0.0,2.0598269
97,0.0,2.7409155
98,171.0,162.91464
99,37.0,27.533323
100,44.0,58.62894
101,0.0,1.2681544
102,50.0,17.09835
103,0.0,0.583324
104,0.0,2.2148738
105,80.0,56.552303
106,18.0,5.7751737
107,14.0,20.029402
108,55.0,32.384384
109,64.0,30.644987
110,39.0,15.910821
111,26.0,32.890385
112,0.0,42.72157
113,53.0,8.64159
114,63.0,45.803524
115,30.0,16.371994
116,61.0,11.731358
117,0.0,16.340883
118,39.0,18.88144
119,45.0,39.045208
120,0.0,1.192671
121,29.0,2.1558056
122,0.0,1.4265114
123,0.0,3.5284872
124,0.0,3.0375547
125,32.0,20.882807
126,0.0,0.9483287
127,53.0,39.28062
128,0.0,10.318966
129,28.0,12.340473
130,34.0,24.009914
131,0.0,5.6443753
132,0.0,2.0519788
133,21.0,20.866392
134,39.0,33.8518
135,27.0,11.09514
136,0.0,0.39171854
137,15.0,1.6531316
138,3.0,9.8687725
139,16.0,12.224888
140,155.0,26.178083
141,0.0,7.118043
142,49.0,41.570587
143,0.0,3.088281
144,0.0,9.473632
145,34.0,28.563097
146,41.0,24.91396
147,20.0,1.2010347
148,45.0,33.500076
149,31.0,30.162104
150,18.0,41.761982
151,0.0,2.0862935
152,18.0,19.663471
153,56.0,15.168271
154,36.0,38.36456
155,56.0,42.72006
156,0.0,21.329872
157,14.0,13.421818
158,73.0,34.92688
159,0.0,10.531042
160,0.0,8.050223
161,66.0,2.2017784
162,36.0,24.704878
163,0.0,3.876607
164,0.0,30.251345
165,45.0,20.643822
166,24.0,37.399864
167,0.0,3.7803817
