,Origin,Predict
0,112.0,116.69632
1,111.6,94.14931
2,0.0,5.188858
3,115.9,120.95692
4,106.2,120.18738
5,114.0,105.02202
6,117.5,107.23381
7,119.0,118.63706
8,105.2,106.61728
9,0.0,8.068732
10,118.6,110.61703
11,105.8,106.65405
12,110.1,107.730255
13,116.9,129.3174
14,115.4,128.7114
15,128.6,122.44487
16,0.0,8.099402
17,138.9,140.0224
18,136.0,165.12076
19,149.2,143.02881
20,138.2,143.62663
21,138.4,141.7161
22,106.1,117.711174
23,0.0,2.021091
24,216.9,190.1744
25,254.2,205.9591
26,127.5,157.32594
27,130.6,150.39969
28,156.3,155.24825
29,116.9,118.96328
