,Origin,Predict
0,0.0,0.47239098
1,0.0,2.2352781
2,0.0,0.7071203
3,0.0,0.5079719
4,0.0,0.13145278
5,0.0,0.3187181
6,0.0,1.9654962
7,0.0,2.637491
8,0.0,0.8764841
9,0.0,0.6980511
10,0.0,2.8378665
11,0.0,1.1729071
12,0.0,1.9795446
13,0.0,3.083327
14,0.0,0.66961646
15,0.0,0.16321318
16,0.0,0.56064546
17,0.0,0.45618707
18,0.0,0.2081972
19,0.0,0.83015764
20,0.0,0.88312185
21,0.0,0.08287688
22,0.0,2.2740977
23,0.0,1.3746644
24,0.0,1.0233827
25,0.0,1.1176397
26,0.0,1.1034459
27,0.0,0.045289274
28,0.0,0.8527769
29,0.0,0.18412855
