,Origin,Predict
0,111.3,107.81507
1,104.2,97.05765
2,111.4,114.740425
3,97.5,103.940186
4,0.0,1.748973
5,118.7,122.90172
6,108.8,105.8395
7,96.3,95.86207
8,99.3,98.77975
9,98.4,101.50345
10,80.7,90.33169
11,0.0,0.50154924
12,106.5,99.80145
13,94.1,103.6704
14,99.2,90.10307
15,85.2,92.61537
16,81.3,92.44655
17,83.8,77.1915
18,0.0,11.310769
19,96.1,99.78554
20,87.3,69.068016
21,0.0,16.75586
22,0.0,14.210632
23,88.6,77.21275
24,82.0,94.23996
25,0.0,4.5423355
26,87.3,85.63865
27,89.3,91.11344
28,82.4,94.13298
29,81.0,81.87284
