,Origin,Predict
0,1055.0,1107.8903
1,632.0,1128.0449
2,0.0,99.35723
3,1312.0,1534.6874
4,1274.0,1134.5562
5,568.0,436.22324
6,1520.0,1487.4628
7,714.0,810.6825
8,1151.0,1165.2354
9,707.0,685.8744
10,542.0,470.9314
11,979.0,106.04072
12,740.0,798.2092
13,935.0,894.57434
14,377.0,379.91
15,1512.0,2440.886
16,933.0,576.46344
17,792.0,584.94836
18,837.0,1036.5153
19,270.0,699.9314
20,923.0,555.7158
21,0.0,14.53241
22,1050.0,940.78326
23,1091.0,570.0049
24,976.0,1106.3505
25,566.0,1322.026
26,854.0,1484.612
27,630.0,221.18346
28,1389.0,1458.2225
29,627.0,942.1904
30,885.0,1079.2957
31,1094.0,528.9738
32,1192.0,1074.4106
33,1234.0,1655.4008
34,1506.0,1288.4833
35,2040.0,1733.7184
36,1029.0,894.1928
37,660.0,909.45624
38,0.0,18.318867
39,0.0,330.1016
40,1494.0,1271.2675
41,0.0,37.974937
42,0.0,17.84094
43,2086.0,1768.9458
44,594.0,606.42084
45,1430.0,1505.1403
46,705.0,936.71094
47,728.0,688.7503
48,653.0,214.94011
49,610.0,259.56177
50,741.0,646.0019
51,471.0,548.6696
52,874.0,886.81573
53,0.0,169.82118
54,1078.0,968.4087
55,1266.0,1132.8634
56,1260.0,1344.0685
57,914.0,980.64465
58,1237.0,1015.1127
59,1897.0,1176.268
60,786.0,967.1631
61,1182.0,956.0932
62,889.0,996.9484
63,514.0,434.02502
64,1193.0,1074.1312
65,1359.0,1188.9644
66,1032.0,1308.2031
67,1053.0,972.02045
68,1533.0,1253.3721
69,1643.0,759.74603
70,1011.0,1156.0286
71,549.0,615.9821
72,1279.0,912.563
73,1282.0,1236.4934
74,0.0,1.1211174
75,0.0,418.57428
76,772.0,876.7697
77,1199.0,914.4352
78,0.0,690.15784
79,924.0,209.92345
80,692.0,843.09357
81,932.0,751.38837
82,608.0,440.6066
83,1370.0,1517.6077
84,0.0,66.74709
85,1263.0,904.60284
86,1233.0,936.2497
87,1131.0,1024.8278
88,1194.0,858.8408
89,573.0,694.79065
90,1487.0,1722.36
91,1133.0,1108.4631
92,906.0,1326.2709
93,468.0,658.5355
94,813.0,1158.306
95,0.0,46.433075
96,1667.0,1272.3729
97,1955.0,1165.6123
98,670.0,1073.3334
99,0.0,3.6854181
100,768.0,1151.3226
101,0.0,2.8671916
102,785.0,1350.7251
103,1861.0,2146.491
104,621.0,1521.467
105,0.0,11.800503
106,997.0,846.25464
107,1025.0,1311.608
108,1615.0,1539.6927
109,0.0,444.51785
110,1068.0,1173.2017
111,355.0,827.08856
112,940.0,1021.4058
113,865.0,564.68677
114,2397.0,2075.9724
115,978.0,1770.3383
116,0.0,161.5592
117,1850.0,1738.2198
118,0.0,171.02196
119,716.0,1045.0005
120,910.0,903.0083
121,1099.0,1041.387
122,0.0,1220.3181
123,659.0,976.06055
124,680.0,592.62933
125,1286.0,1387.8043
126,1252.0,1148.5651
127,1328.0,1089.8108
128,1721.0,1105.8281
129,845.0,805.36237
130,736.0,821.6804
131,1041.0,689.89655
132,1419.0,1102.3873
133,0.0,0.053060547
134,745.0,373.29138
135,0.0,213.98381
136,0.0,46.83372
137,0.0,74.91812
138,1072.0,1114.5354
139,550.0,800.81573
140,0.0,394.2922
141,871.0,1072.9655
142,598.0,354.50833
143,1177.0,411.07498
144,0.0,12.036234
145,669.0,855.83575
146,1368.0,21.79118
147,0.0,370.75714
148,720.0,773.62537
149,872.0,948.07806
150,0.0,52.04762
151,640.0,876.4547
152,0.0,19.686363
153,623.0,628.40656
154,647.0,204.89977
155,1278.0,1330.5376
156,758.0,966.3796
157,1017.0,1000.44385
158,826.0,584.97577
159,1391.0,408.15924
160,0.0,35.83687
161,1218.0,258.19412
162,0.0,53.355747
163,945.0,765.748
164,1299.0,827.79974
165,1032.0,848.78674
166,1028.0,1132.4286
167,1746.0,1773.5646
168,1088.0,1104.9861
169,675.0,737.37427
170,1030.0,995.5083
171,1215.0,1298.2087
172,1588.0,1085.0996
173,810.0,1958.8472
174,981.0,941.55927
175,969.0,895.0598
176,1109.0,1324.6401
177,719.0,88.69358
178,0.0,39.609245
179,702.0,636.44385
180,511.0,509.34982
181,1013.0,920.12054
182,576.0,417.11206
183,561.0,283.38586
184,870.0,359.9526
185,0.0,20.272058
186,862.0,26.4921
187,785.0,610.9032
188,1497.0,1320.4727
189,866.0,790.14166
190,1176.0,1157.3994
191,1090.0,948.7628
192,0.0,14.814248
193,1238.0,881.5876
194,0.0,695.0224
195,0.0,25.14158
196,1151.0,811.3674
197,862.0,785.7989
198,0.0,182.98785
199,1797.0,1152.3143
200,1694.0,1537.2853
201,695.0,917.6673
202,668.0,830.71704
203,1462.0,1656.3118
204,567.0,633.26166
205,0.0,273.1726
206,0.0,90.29078
207,2286.0,1626.6372
208,603.0,898.5093
209,953.0,997.567
210,663.0,804.16693
211,943.0,976.0026
212,0.0,22.659843
213,648.0,604.92413
214,1099.0,977.97363
215,978.0,1180.463
216,0.0,10.69436
217,1103.0,16.041529
218,513.0,401.17053
219,1244.0,1180.4647
220,1587.0,2001.6827
221,1390.0,1480.3318
222,0.0,117.89366
223,949.0,878.55896
224,0.0,14.99452
225,1044.0,1171.1837
226,734.0,1158.9557
227,1537.0,1305.2374
228,525.0,1063.0765
229,0.0,283.19516
230,374.0,126.74064
231,0.0,59.550102
232,2255.0,1696.9117
233,0.0,16.166182
234,1148.0,1097.4778
235,1175.0,2017.2396
236,0.0,9.838465
237,1243.0,906.3934
238,0.0,1068.9104
239,0.0,423.99078
240,1291.0,737.28064
241,750.0,564.7235
242,738.0,1389.7858
243,1405.0,990.1875
244,818.0,698.6911
245,0.0,20.714838
246,658.0,573.243
247,970.0,593.8968
248,907.0,483.43497
249,773.0,1020.501
250,0.0,87.45498
251,1253.0,901.83624
252,895.0,647.8344
253,1136.0,1233.2876
254,841.0,443.25604
255,549.0,690.23303
256,1680.0,1416.792
257,767.0,369.3189
258,1693.0,1835.0521
259,919.0,1402.8491
260,0.0,386.73474
261,1964.0,1917.7216
262,600.0,659.3758
263,1266.0,776.6609
264,1103.0,893.71246
265,504.0,637.9304
266,741.0,769.1399
