,Origin,Predict
0,120.0,135.74791
1,0.0,72.497154
2,698.0,223.45607
3,85.0,71.29051
4,200.0,170.0873
5,1680.0,1235.1263
6,7632.0,9582.029
7,90.0,106.763664
8,2485.0,1635.9849
9,0.0,124.437965
10,146.0,110.822205
11,5810.0,3431.9253
12,212.0,74.55694
13,80.0,17.601131
14,528.0,99.69675
15,90.0,57.634743
16,1072.0,2624.483
17,42.0,36.78457
18,40.0,36.175713
19,254.0,84.48034
20,235.0,103.336624
21,0.0,51.925503
22,40.0,200.3531
23,100.0,61.92943
24,98.0,186.49341
25,507.0,200.97821
26,80.0,47.576363
27,148.0,122.329475
28,7405.0,9418.435
29,8779.0,10324.098
30,0.0,147.76303
31,160.0,33.342495
32,0.0,158.27231
33,0.0,23.661867
34,0.0,41.263584
35,310.0,269.57
36,12563.0,12249.053
37,0.0,47.643833
38,198.0,118.93508
39,716.0,593.41437
40,0.0,24.306597
41,102.0,176.2927
42,80.0,9.466682
43,0.0,199.47238
44,8536.0,7126.024
45,1082.0,1293.0781
46,120.0,1.3314538
47,450.0,85.038605
48,0.0,142.6587
49,20.0,1.3092889
50,100.0,46.85902
51,4324.0,2000.3702
52,1467.0,1887.5762
53,6576.0,9401.422
54,1233.0,756.9576
55,10794.0,11479.302
56,389.0,297.28476
57,0.0,41.470272
58,114.0,5.7851887
59,0.0,6.4406533
60,0.0,13.288702
61,0.0,29.584467
62,0.0,370.39767
63,6814.0,9073.642
64,40.0,86.30616
65,0.0,16.662752
66,237.0,203.5905
67,3771.0,3909.9863
68,591.0,155.70316
69,0.0,15.760496
70,606.0,291.7415
71,480.0,352.2788
72,0.0,20.22388
73,40.0,72.35735
74,2928.0,7408.0054
75,180.0,75.2428
76,3867.0,3474.9302
77,404.0,135.1075
78,0.0,22.87308
79,0.0,56.459084
80,2799.0,294.6024
81,38.0,75.60801
82,4297.0,3229.855
83,110.0,48.3864
84,0.0,9911.788
85,1628.0,1585.3303
86,40.0,34.479805
87,150.0,97.44463
88,20.0,221.24777
89,0.0,108.17275
90,165.0,25.077559
91,0.0,20.490612
92,60.0,19.546503
93,7113.0,6577.133
94,60.0,451.1753
95,7553.0,9646.741
96,0.0,170.5367
97,61.0,61.713062
98,156.0,114.086525
99,60.0,10.287147
100,80.0,121.69922
101,0.0,519.9628
102,0.0,3.534432
103,3526.0,4798.7646
104,4743.0,6337.226
105,85.0,87.21686
106,164.0,44.183487
